"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"5S_rRNA",77,504,709,183,123,195,38,120,144,465,409,397
"A3GALT2",10,31,0,4,0,0,0,0,1,3,0,0
"AANAT",0,0,280,112,0,0,2,3,3,0,0,1
"ABCA1",1,15,4,0,0,0,0,10,90,1,0,6
"ABHD5",0,0,123,45,20,53,0,1,3,0,1,2
"ABR",3,41,14,12,3,41,8,2,53,5,1,4
"ACLY",1,37,0,6,0,0,6,4,6,6,0,0
"ACTA1",1,44,0,0,313,321,0,1,1,16,4,2
"ACVR1B",0,0,21,13,0,0,3,7,34,9,13,8
"ACVR1C",0,0,2,5,0,0,2,1,22,0,2,1
"ADAM12",8,26,5,2,0,0,7,2,12,1,0,0
"ADAM23",3,21,1,3,0,0,2,0,5,0,1,4
"ADAMTS20",0,0,5,0,0,0,0,0,1,2,2,5
"ADAMTS5",0,0,1,1,26,33,0,1,50,4,2,1
"ADAP1",189,204,173,405,0,0,5,1,10,2,1,1
"ADARB2",0,0,0,6,0,0,0,0,2,12,0,1
"AEBP2",0,0,1,5,0,0,3,0,14,1,0,0
"AHCYL1",2,17,6,5,0,0,26,4,24,6,9,1
"AK6",21,41,39,76,38,59,1,0,10,47,33,23
"AKR1D1",6,17,1,4,0,0,0,0,0,6,9,9
"ALX4",1,17,7,1,0,0,0,8,42,1,0,6
"AMDHD1",2,29,90,872,0,0,0,0,0,0,2,0
"AMZ2",0,0,0,0,40,62,0,0,3,0,0,0
"ANKRD66",12,48,0,0,0,0,0,0,0,0,0,0
"ANKS6",10,23,78,0,0,0,1,13,40,64,150,146
"ANOS1",3,38,1,4,0,0,1,0,18,1,3,0
"AOPEP",1,41,6,2,0,0,1,0,3,0,0,0
"AP3B2",3,28,0,11,0,0,10,0,4,3,3,2
"AP3S1",0,0,6,4,0,0,4,0,26,4,2,1
"APBA3",5,15,6,0,0,0,0,1,11,2,6,1
"APCDD1",378,405,0,1,0,0,0,3,11,0,1,2
"APP",5,48,26,23,34,62,22,14,240,67,34,44
"AQP11",5,37,21,31,21,35,13,4,3,1,6,5
"AREL1",56,102,5,1,52,90,5,24,60,8,7,21
"ARF1",0,0,2,0,27,63,2,1,9,378,331,533
"ARHGAP26",4,13,12,4,0,0,6,0,13,3,4,2
"ARHGAP42",3,10,163,13,16,26,1,4,27,14,20,25
"ARHGAP6",6,88,2,5,0,0,0,1,12,0,0,1
"ARHGAP9",3,44,6,8,0,0,7,4,64,2,4,10
"ARHGDIA",7,53,51,6,0,0,3,11,124,12,14,22
"ARHGEF12",1,37,2,5,0,0,5,1,41,1,2,2
"ARHGEF26",2,30,1,2,163,178,3,4,29,4,3,10
"ARID1B",1,34,0,1,0,0,3,0,7,3,1,2
"ARMC6",0,0,15,41,0,0,0,0,0,0,2,0
"ASTN2",22,47,11,47,0,0,46,11,14,0,0,0
"ATE1",2,25,2,4,0,0,4,3,11,7,1,3
"ATG14",0,0,2,2,0,0,3,7,67,10,2,12
"ATG2A",0,0,8,1,0,0,2,1,62,2,1,1
"ATP11B",0,0,0,8,0,0,4,0,8,2,0,0
"ATP1A1",0,0,64,30,0,0,44,32,607,31,20,28
"ATP8A1",27,46,6,7,0,0,2,0,19,10,2,10
"ATP9A",0,0,2,1,0,0,7,1,6,0,0,1
"AXIN2",0,0,5,8,0,0,4,1,6,5,2,4
"B3GALT2",7,14,0,1,0,0,34,28,29,1,0,1
"B3GNT10",63,96,0,0,0,0,0,0,0,0,0,0
"BET1L",29,69,7,25,1,7,2,0,22,25,14,23
"BFSP1",8,55,0,2,59,92,16,0,0,463,285,361
"BHLHE40",3,10,20,29,0,0,31,4,58,32,27,24
"BICD2",3,16,9,0,0,0,4,0,21,8,8,6
"BRK1",1,5,13,4,0,0,3,2,16,7,8,9
"BTBD1",30,74,2,6,0,0,2,1,30,1,0,5
"C11orf68",1,20,3,0,0,0,1,6,6,2,3,4
"C12orf29",1,8,0,2,0,0,6,0,2,269,115,210
"C12orf57",1,27,216,261,0,0,12,4,19,0,0,0
"C12orf65",3,6,1,0,0,0,11,9,20,1,1,2
"C14orf119",48,75,0,0,0,0,0,3,40,3,0,1
"C14orf28",28,55,0,0,0,0,6,1,4,32,53,52
"C16orf72",4,29,11,7,42,57,8,7,121,13,14,11
"C17orf75",259,295,2,31,34,49,3,0,2,5,3,14
"C18orf25",940,975,7,8,0,0,6,0,15,8,6,4
"C18orf32",32,76,2,6,0,0,0,0,20,69,57,54
"C19orf12",1,9,0,0,0,0,0,0,19,0,1,0
"C1orf35",7,36,23,33,25,46,18,91,73,58,73,44
"C1orf50",0,0,3,0,0,0,2,4,9,82,60,75
"C20orf27",1,48,4,1,0,0,2,0,15,3,4,3
"C2orf42",7,45,3,0,0,0,2,1,3,2,0,0
"C2orf49",0,0,0,0,0,0,0,0,4,969,18,23
"C4orf33",0,0,22,7,0,0,0,0,1,0,0,0
"C5orf15",0,0,16,3,0,0,2,2,32,3,4,8
"C5orf22",1,26,0,0,0,0,1,0,7,1,0,2
"C5orf51",1,21,4,1,0,0,1,0,11,1,5,5
"C6orf120",0,0,241,345,53,83,0,0,3,0,0,0
"C6orf62",0,0,386,643,128,141,10,3,41,666,705,662
"C7orf25",7,17,4,2,0,0,4,3,16,0,0,1
"C7orf26",2,16,1,3,0,0,0,1,18,1,2,3
"C8orf82",0,0,0,0,0,0,0,7,6,2,1,0
"C9orf16",313,314,292,907,0,0,7,1,29,549,312,367
"C9orf64",3,13,2,0,0,0,0,0,14,0,0,0
"C9orf72",0,0,1,2,0,0,0,0,7,1,2,9
"CACNA1D",4,32,0,5,0,0,13,0,7,10,0,3
"CACNA2D3",18,19,3,4,0,0,1,0,2,2,0,6
"CACNG2",0,0,16,4,0,0,1,0,3,5,10,16
"CAPN15",18,38,0,0,0,0,0,0,0,1,1,0
"CAPZA2",2,40,20,7,0,0,14,4,146,13,6,9
"CARTPT",359,393,5,0,0,0,0,5,3,0,0,0
"CASP6",564,596,33,3,0,0,3,4,1,601,858,1156
"CBX2",39,60,7,8,6,45,3,0,5,9,14,8
"CCDC88A",10,39,3,3,0,0,6,5,10,2,2,0
"CCNY",1,46,0,0,0,0,0,3,5,0,0,0
"CDC37",0,0,32,16,0,0,24,11,63,29,12,24
"CDH2",0,0,18,3,0,0,5,4,85,4,9,10
"CDH20",2,13,1,0,0,0,4,3,5,0,0,0
"CDH4",3,39,7,6,0,0,3,3,14,0,0,0
"CDH6",4,8,0,5,0,0,0,0,0,3,0,0
"CDHR1",6,22,15,74,39,66,102,4,20,63,35,32
"CDK2AP1",76,84,6,10,0,0,14,5,6,0,0,0
"CDKL5",2488,2523,700,7469,0,0,1,0,0,2,0,0
"CDYL2",0,0,1,4,0,0,1,1,11,23,13,20
"CEBPZ",0,0,3,6,0,0,4,4,33,4,2,7
"CHMP6",20,35,18,72,0,0,4,0,13,20,9,13
"CHN1",1,19,0,0,0,0,1,1,6,0,4,1
"CHORDC1",16,20,2,5,0,0,1,0,18,3,0,1
"CHRNA1",0,0,0,0,26,47,0,0,1,1,0,0
"CHST13",0,0,8,1,198,199,2,2,11,184,361,345
"CIR1",0,0,5,8,0,0,8,2,63,1,4,16
"CKMT1A",0,0,6,2,0,0,1,11,33,1,0,0
"CLPB",1,34,0,3,0,0,0,0,9,1,1,0
"CMKLR1",4,38,0,0,0,0,1,4,13,1,0,2
"CNNM1",96,139,2091,5486,0,0,96,9,10,216,70,69
"CNP",0,0,8,0,0,0,0,6,67,1,4,11
"COA4",3,20,0,0,0,0,0,0,9,0,0,0
"COG5",1157,1158,5393,6099,29,30,16,7,29,2,8,5
"COLGALT1",88,130,86,142,0,0,129,27,62,81,85,85
"COMTD1",22,56,2247,10795,2221,2231,13,1,74,9661,7492,6599
"COPS6",1,33,27,23,0,0,9,0,78,2,1,6
"CORO1C",0,0,1,1,0,0,6,3,17,2,2,0
"COX5B",0,0,2,9,0,0,8,3,57,7,2,4
"CPEB4",2,30,8,4,0,0,4,2,20,0,0,0
"CPZ",0,0,7,2,0,0,0,1,158,0,8,6
"CRYBB3",15,36,0,0,0,0,0,0,6,0,0,0
"CSK",0,0,5,0,0,0,1,4,95,3,3,1
"CSNK1D",2,45,82,33,0,0,7,2,31,6,1,2
"CSRNP3",17,56,8,66,0,0,3,0,0,1,0,0
"CTBP1",0,0,3,0,0,0,5,1,10,1,1,1
"CTNNB1",1,16,13,7,0,0,8,3,84,12,18,18
"CTSZ",24,26,38,30,0,0,0,0,3,18,26,51
"CUL3",13,25,8,5,5,16,10,0,18,10,36,32
"CYP19A1",21,64,1,4,0,0,0,0,0,0,0,3
"CYTH2",1,49,0,7,0,0,0,0,6,3,0,3
"CYTL1",2,3,41,4,0,0,0,4,35,5,15,32
"DCAF1",0,0,0,3,0,0,2,3,54,3,2,6
"DCAF7",422,443,54,482,0,0,121,3,53,48,25,11
"DCTN6",5,21,1151,1618,61,80,203,129,240,1112,1241,1172
"DDA1",0,0,2,1,0,0,1,0,3,113,58,82
"DDAH1",1,13,2,1,0,0,6,4,21,2,4,7
"DDX39A",0,0,14,5,0,0,3,7,168,6,6,10
"DDX41",0,0,5,2,0,0,2,0,33,1,3,3
"DDX5",2,47,14,10,21,52,12,3,47,9,6,12
"DENND5B",2,37,5,11,38,46,6,3,24,5,1,4
"DGKD",0,0,13,4,0,0,12,1,90,2,0,0
"DHX15",0,0,0,1,0,0,8,0,14,8,0,4
"DIP2C",9,56,10,20,0,0,43,9,35,2,6,0
"DISP3",232,278,4,0,22,41,0,2,7,0,1,4
"DLK1",7,44,0,3,0,0,0,0,0,0,0,0
"DMXL1",1,43,3,0,0,0,2,1,31,9,8,6
"DNAJA4",528,551,3026,633,0,0,3,22,34,930,1683,1884
"DOCK2",8,42,4,7,0,0,39,5,58,5,1,2
"DOCK9",0,0,14,6,46,47,0,37,48,6,1,6
"DPP9",1,37,3,2,0,0,0,3,8,2,2,5
"DPYSL2",148,168,2,39,0,0,25,3,1,4,3,2
"DSCAML1",7,33,0,3,0,0,1,0,0,0,0,1
"DUSP7",1,46,6,2,0,0,5,0,8,2,0,0
"DXO",527,547,530,460,420,453,133,59,25,529,417,500
"DYNC1I1",8,51,0,23,0,0,8,0,2,5,2,6
"DYNC1I2",211,245,185,273,434,453,3,3,62,318,145,268
"EARS2",0,0,0,0,0,0,7,2,5,0,0,2
"EBF1",7,75,10,2,0,0,1,0,59,0,0,1
"ECHDC1",305,317,1,1,0,0,2,0,5,4,4,2
"ECM2",2,14,21,3,0,0,3,53,138,2,2,1
"EGFLAM",1,43,0,3,0,0,8,0,6,4,5,0
"EIF4E3",2,38,5,0,0,0,0,1,7,0,0,4
"EIF4EBP2",0,0,5,1,0,0,2,0,13,6,3,6
"EIF4ENIF1",10,33,3,14,0,0,3,3,24,9,3,4
"EIF4G1",0,0,9,5,15,57,6,1,41,3,1,4
"EIF5AL1",0,0,253,484,0,0,0,1,24,376,254,408
"ELFN1",0,0,0,1,0,0,5,0,0,1,5,2
"ENTPD7",1,5,3,5,0,0,0,0,1,4,4,3
"ENY2",58,84,11,0,0,0,1,3,32,0,5,0
"ERF",0,0,4,2,0,0,6,1,11,0,0,1
"ERG28",1,40,918,572,0,0,3,0,1,257,1099,1023
"ERMP1",1,49,1,0,0,0,124,30,28,12,2,9
"ETV6",0,0,2,2,0,0,0,1,19,3,4,5
"EVC2",2,48,3,3,0,0,9,21,28,0,0,2
"EZH1",0,0,13,4,0,0,6,2,176,14,13,10
"F2R",0,0,20,4,0,0,1,4,31,6,2,9
"F2RL2",0,0,6,0,0,0,0,0,12,0,0,1
"FABP6",0,0,0,0,15,45,0,0,20,1,3,9
"FABP7",2,45,6,2,0,0,0,3,62,82,20,41
"FADS6",1,14,3,0,0,0,0,0,11,0,1,0
"FAHD2A",52,76,2,9,0,0,1,2,35,4,1,3
"FAM110A",0,0,4,4,0,0,5,1,9,0,1,0
"FAM53C",41,54,1,6,51,58,1,2,7,26,50,15
"FAR2",4,45,402,1009,0,0,10,1,14,5,2,7
"FARP1",1,45,8,15,0,0,3,1,24,4,4,2
"FAT4",2,34,8,4,0,0,6,5,34,0,2,2
"FBLN2",0,0,5,0,0,0,4,2,66,12,1,3
"FBN1",0,0,44,1,25,41,8,29,464,14,7,5
"FBXO40",207,247,525,258,0,0,0,0,0,0,4,3
"FBXO46",0,0,6,7,0,0,0,0,8,4,4,1
"FCHSD2",7,43,15,8,0,0,0,0,32,4,5,11
"FDX1",258,268,296,1838,0,0,10,3,33,529,207,310
"FGF13",8,11,1,8,0,0,4,0,1,3,1,2
"FGF6",1,39,0,1,0,0,0,2,0,2,3,5
"FGFR1",0,0,6,3,0,0,0,6,90,1,5,3
"FH",37,42,1154,1383,0,0,8,2,35,111,56,95
"FILIP1L",1,21,2,1,0,0,1,0,11,1,0,0
"FLNB",0,0,8,0,0,0,2,4,44,3,1,2
"FOXC1",1,18,10,0,0,0,0,4,45,1,2,3
"FOXN2",1,21,1,0,0,0,0,2,19,1,0,1
"FOXQ1",2,19,11,0,0,0,4,0,3,4,10,7
"FRMD1",5,19,0,1,0,0,2,1,16,1,3,1
"FRMD4A",1,2,7,3,0,0,8,3,12,1,1,0
"FUCA1",3,44,0,2,0,0,21,1,37,2,2,4
"FYN",0,0,2,0,0,0,12,7,40,5,3,5
"G6PC2",0,0,9,9,0,0,0,0,1,16,18,51
"GABRA5",54,73,0,0,30,34,8,0,1,1,0,0
"GADD45B",15,29,5,19,17,20,12,2,14,14,20,18
"GALNT10",1,14,0,1,0,0,9,2,9,2,0,0
"GALNT3",1,33,93,429,0,0,1,0,0,0,0,0
"GALNT5",325,330,146,725,39,62,21,40,11,0,7,9
"GARNL3",1,17,2,0,0,0,1,0,6,1,0,0
"GAS7",90,93,109,16,0,0,1,0,20,2,1,0
"GCA",7,37,72,4,0,0,2,0,115,6,12,17
"GCDH",0,0,5,7,0,0,10,9,26,6,11,15
"GFOD1",25,72,3,18,0,0,4,4,5,3,1,9
"GHITM",2,14,8,11,0,0,8,1,126,6,6,2
"GID4",3,90,1,9,0,0,2,0,8,6,2,1
"GJA5",0,0,5,0,0,0,1,3,75,1,2,3
"GJD2",1,47,0,6,0,0,1,0,2,8,2,0
"GLUL",10,31,18,11,0,0,10,6,96,9,7,6
"GMEB2",0,0,1,6,0,0,0,0,7,2,5,14
"GMFG",99,101,6,4,0,0,7,7,41,14,4,10
"GNA12",0,0,27,0,0,0,5,3,72,1,0,1
"GNAZ",0,0,9,2,0,0,8,0,20,7,0,0
"GNG5",1,15,5,1,66,90,5,5,28,2,1,4
"GOT1",1,29,680,5208,28,59,11,3,33,3749,1648,1429
"GPAT4",4,24,6,8,0,0,16,2,25,2,4,8
"GPATCH2L",2,18,3,9,0,0,1,3,10,12,23,14
"GPR137B",266,275,1,1,0,0,4,0,8,0,0,1
"GPR180",7,30,0,8,107,111,6,0,1,8,3,1
"GPR82",5,12,0,3,0,0,0,0,4,0,0,0
"GPRC5D",8,42,0,0,0,0,1,0,2,3,1,0
"GPS2",312,321,1458,1218,0,0,8,6,20,232,245,206
"GRB14",3,7,0,0,0,0,0,0,10,0,0,0
"GTPBP1",5,6,3,11,0,0,7,0,16,0,4,2
"GTPBP2",0,0,0,0,0,0,11,3,21,17,13,23
"GXYLT1",3,36,0,0,0,0,2,1,11,0,2,2
"HDAC2",0,0,1,4,0,0,3250,1322,3030,0,2,0
"HERPUD2",1,23,6,3,0,0,9,2,65,16,7,10
"HGFAC",1,49,2,0,0,0,3,12,64,0,0,0
"HINT1",0,0,10,1,0,0,2,4,204,5,3,8
"HNRNPUL1",11,52,515,443,45,78,55,38,147,77,58,117
"IFT122",10,48,27,35,0,0,3,0,5,1,1,0
"IGFBP3",5,9,0,0,0,0,0,0,0,0,0,0
"IGFBP4",0,0,17,0,0,0,1,0,51,1,1,9
"IKZF4",0,0,0,0,0,0,9,2,11,1,0,1
"IKZF5",6,47,163,181,0,0,5,0,2,2,6,7
"ILK",0,0,7,0,0,0,4,0,72,1,0,1
"ILRUN",1,34,4,10,0,0,3,0,10,26,24,13
"INAFM2",1,23,2,0,0,0,4,2,6,1,0,2
"INHBC",4,26,0,9,44,60,24,0,12,15,12,8
"INPP5A",0,0,220,35,0,0,1,1,15,3,2,3
"INSC",0,0,1,0,0,0,0,0,13,3,3,5
"INSM2",1,33,3,0,0,0,6,3,9,0,0,1
"INSYN2A",4,7,1,3,0,0,0,0,5,3,0,3
"IPP",0,0,9,24,0,0,2,0,8,0,2,2
"IQSEC1",2,47,15,13,0,0,1,0,11,3,1,0
"ISCU",0,0,110,171,0,0,1,2,31,1,0,0
"ISYNA1",20,30,8,26,0,0,8,0,21,23,15,9
"ITGA7",1,6,2,0,0,0,1,0,16,2,2,1
"ITM2A",4,24,283,112,0,0,59,12,372,126,155,293
"ITM2C",1,41,0,6,0,0,19,4,9,13,11,8
"JAZF1",0,0,2373,1572,0,0,0,0,1,0,2,3
"JMJD8",394,436,1056,1565,18,27,0,3,13,1799,1203,1896
"JMY",6,39,8,9,0,0,22,2,14,7,6,9
"JUND",3,6,2,6,0,0,6,3,4,1,3,1
"KCNA5",22,62,2,44,67,77,42,0,0,26,10,7
"KCNB1",2,34,3,26,13,15,8,0,2,19,8,9
"KCNB2",1,16,0,14,0,0,8,0,0,0,2,1
"KCNH7",14,59,4,0,0,0,3,0,0,1,4,4
"KCNIP2",1,49,0,2,0,0,11,2,3,8,3,7
"KCNIP3",0,0,3,7,0,0,10,0,12,8,11,6
"KCNMA1",9,13,1,7,32,69,4,2,6,4,4,8
"KCNMB4",1,22,1,5,0,0,0,0,0,2,1,3
"KCNQ4",1,46,0,2,0,0,3,12,8,1,0,1
"KCNS2",5,40,0,1,0,0,2,0,0,0,2,1
"KCTD15",431,474,435,699,0,0,144,97,176,1,4,0
"KDM1B",0,0,6,5,0,0,6,2,18,3,1,1
"KDM7A",5,32,1269,2533,0,0,5,4,10,1925,2128,2060
"KHSRP",18,19,2,4,0,0,5,4,18,2,1,0
"KIAA0895L",7,36,1,5,0,0,0,0,3,1,0,5
"KIF21A",1,42,2,6,0,0,11,1,12,8,4,0
"KIF2A",6,18,4,8,0,0,9,1,15,10,11,6
"KIF5B",5,17,0,0,0,0,0,0,4,2,1,0
"KLHL11",1,7,7,6,0,0,7,1,27,7,6,6
"KLHL12",0,0,0,5,0,0,65,45,72,1,0,0
"KLHL28",8,19,0,0,0,0,56,16,22,2,2,1
"KMT2A",1,32,1,2,9,12,2,0,30,3,2,3
"LAMA2",0,0,50,1,0,0,3,12,275,1,5,10
"LAMP5",0,0,0,13,0,0,3,0,3,5,2,6
"LAPTM4B",0,0,1,0,9,49,31,2,9,2,2,1
"LARP4B",0,0,7,4,0,0,0,0,6,0,1,0
"LEPROT",0,0,40,3,0,0,0,8,118,14,7,13
"LEPROTL1",0,0,2,7,0,0,1,0,5,6,1,6
"LGR6",10,57,2,1,0,0,0,0,5,1,3,4
"LIMD1",1,42,23,3,0,0,0,2,17,6,9,8
"LIN28A",1,25,3,1,0,0,0,0,0,51,50,38
"LIX1L",2,37,20,7,0,0,35,23,41,27,21,27
"LLGL1",646,670,1369,1265,0,0,9,5,33,6,2,8
"LONRF3",2,5,0,10,44,52,9,3,15,7,11,13
"LPIN2",4,34,3,4,0,0,8,6,26,0,1,4
"LRFN2",0,0,1,28,36,56,2,0,0,4,3,0
"LRIT2",4,6,3,11,0,0,8,0,5,17,12,7
"LRRC17",2,45,14,10,0,0,2,6,46,1,16,1
"LTBP3",1,16,25,3,0,0,4,12,266,4,4,10
"LTN1",0,0,3,0,0,0,0,0,17,5,12,12
"MAF",1,37,14,3,0,0,0,0,11,1,4,5
"MAFB",0,0,7,1,0,0,6,1,29,4,4,3
"MAFG",0,0,1,0,0,0,0,0,0,6,5,11
"MAMDC2",0,0,467,525,0,0,0,2,25,1,1,5
"MANEAL",1,44,0,5,0,0,6,0,0,6,0,2
"MAP11",7,20,0,2,0,0,2,0,1,0,0,0
"MAP2K6",1,3,9,1,0,0,2,1,31,2,1,7
"MAP3K13",3,7,3,5,76,78,3,0,4,9,7,4
"MAPKAPK2",0,0,6,3,10,39,2,0,11,5,4,5
"MARF1",0,0,3,272,0,0,1,0,30,5,0,2
"MARK4",2,41,0,3,0,0,1,2,2,10,8,11
"MAX",0,0,6,1,0,0,5,3,20,0,4,4
"MBNL2",1,33,5,4,0,0,0,0,9,4,1,1
"MCMDC2",78,106,47,149,48,82,0,0,0,92,152,149
"MCOLN3",302,320,53,295,0,0,1,2,1,4,0,1
"MCUB",85,88,42,16,63,87,1,11,108,2,3,6
"MED9",24,64,2,0,0,0,0,1,6,59,106,59
"MEF2D",1,20,4,0,0,0,3,3,31,1,0,1
"MEP1B",0,0,0,0,0,0,144,63,95,0,0,0
"METTL7A",18,24,5,1,0,0,0,0,0,1,0,1
"MFAP2",2,19,1,0,0,0,0,0,133,0,0,0
"MFSD3",0,0,3,10,1,2,0,0,10,1,0,0
"MID1IP1",0,0,0,6,0,0,6,0,15,1,0,1
"MINAR1",0,0,0,0,0,0,5,8,15,0,0,0
"MME",2,5,25,3,8,33,3,5,61,0,13,7
"MMP23B",1,2,6,15,0,0,0,1,17,0,1,0
"MOK",36,40,30,58,0,0,3,2,1,82,33,24
"MPDZ",7,15,13,5,0,0,16,3,60,4,4,5
"MRAS",0,0,5,6,0,0,2,0,29,4,0,2
"MRPS12",4,34,7,10,0,0,12,3,27,4,8,5
"MSL3",6,29,2,19,0,0,2,2,34,4,1,6
"MSMP",155,192,2,2,0,0,253,162,232,0,0,0
"MSRB1",1,38,5,1,0,0,8,5,92,1,8,10
"MTCH1",1,20,1,0,0,0,0,1,48,0,1,2
"MTERF4",3,7,4,1,0,0,0,1,12,3,2,1
"MTMR4",1,49,3,0,0,0,2,2,23,6,0,7
"MTSS1",1,4,5,5,0,0,0,1,10,0,3,4
"MXI1",9,25,8,72,0,0,35,6,35,12,6,5
"MYH6",18,51,0,2,29,48,0,0,0,6,4,0
"MYH9",14,43,164,36,0,0,17,56,1099,60,18,25
"MYO1D",0,0,7,23,1,34,1,0,14,0,0,0
"MYO9A",1,25,6,6,21,60,3,7,50,5,1,1
"MYT1L",5,32,1,5,0,0,6,1,2,0,0,1
"Metazoa_SRP",5,62,0,1,0,0,0,0,74,0,0,3
"NAA15",2,11,5,6,0,0,6,3,80,6,5,4
"NASP",3,27,1,1,0,0,7,10,12,3,0,4
"NBEA",51,85,28,29,41,76,32,0,11,20,17,34
"NBL1",2,29,19,1,0,0,0,2,314,3,6,16
"NCBP1",36,42,83,56,25,42,114,57,46,2,3,0
"NCKAP1L",2,6,6,1,0,0,0,2,31,0,0,1
"NCKAP5",1,7,1,1,18,28,2,3,3,2,0,0
"NCSTN",0,0,3,1,0,0,9,3,42,1,7,2
"NDUFA13",1,8,6,10,0,0,3,4,134,2,13,6
"NDUFB1",22,29,4,1,60,67,3,4,57,2,8,10
"NDUFS1",3,38,17,16,0,0,49,7,105,13,15,11
"NEK9",4,36,4,2,0,0,1,1,29,3,1,3
"NELL1",1,10,1,2,0,0,0,0,0,5,0,2
"NEMF",72,112,11,7,89,112,150,37,97,5,3,6
"NFX1",28,30,7,9,0,0,7,2,59,8,0,0
"NIPAL2",0,0,103,111,0,0,21,5,8,5,16,5
"NPAS3",0,0,0,1,0,0,10,1,5,0,0,0
"NPC1L1",0,0,0,0,26,64,7,0,3,13,3,4
"NR2E3",0,0,4,14,0,0,63,3,32,4,0,2
"NR2F2",1,44,5,1,0,0,6,1,2,2,0,2
"NR2F6",1,30,1,2,0,0,4,1,52,1,0,1
"NRCAM",0,0,6,4,37,43,13,13,3,1,1,2
"NRP1",2,30,52,4,0,0,3,2,91,21,11,18
"NSG1",2,32,394,360,0,0,1,0,0,0,0,0
"NT5C3B",288,292,3865,400,0,0,7,1,44,1,3,5
"NT5E",3,33,223,421,433,458,0,1,2,376,469,514
"NTN1",1,10,2,1,0,0,0,0,2,21,21,21
"OGDH",0,0,11,13,0,0,4,6,55,14,5,5
"OSBPL10",2,7,2,2,0,0,3,2,89,5,0,1
"OSBPL8",0,0,3,6,0,0,4,3,11,13,7,13
"OTOP1",2,6,0,2,16,51,0,0,0,0,0,0
"OTOR",1,8,3,0,0,0,0,0,5,3,2,0
"OTUB2",54,60,169,156,0,0,3,1,2,4,1,4
"OTUD7A",11,15,2,1,0,0,1,23,10,1,0,1
"P3H4",20,62,0,2,33,43,2,0,0,528,594,959
"PABPN1L",157,178,531,656,12,27,1,5,18,507,1129,713
"PAIP2",2,38,7,8,4,45,8,2,113,2,1,0
"PAIP2B",0,0,17,11,6,38,6,1,45,6,8,4
"PAK3",8,10,218,49,0,0,1,0,3,1,4,6
"PALM",0,0,1,0,0,0,1,4,31,0,7,0
"PBLD",13,41,25,35,0,0,0,5,32,9,3,25
"PCBD2",0,0,2,0,0,0,1,0,14,6,0,1
"PCBP2",1,27,174,1848,341,365,15,8,86,368,142,287
"PCDH20",0,0,2,6,0,0,0,1,0,1,2,5
"PCDHAC2",0,0,5,2,14,15,11,0,21,7,4,6
"PCLO",1,12,0,3,0,0,28,0,4,8,2,1
"PCYT2",0,0,1,5,0,0,19,3,8,8,5,5
"PDCL3",1,5,138,21,0,0,24,54,557,44,50,61
"PDE3A",8,49,0,0,0,0,3,2,1,13,8,19
"PDE7B",0,0,9,5,0,0,0,0,2,0,0,0
"PDPR",1,18,5,2,0,0,7,5,11,1,0,1
"PER2",6,21,10,6,0,0,3,0,6,5,6,7
"PGPEP1",4,6,1,0,0,0,0,0,2,1,5,6
"PHB2",0,0,7,20,0,0,40,7,60,31,17,42
"PHF21B",6,29,5,14,0,0,1,0,1,1,0,0
"PIAS1",2,48,10,5,0,0,3,23,7,1,6,2
"PIK3CA",1,4,5,13,0,0,1,0,12,9,4,2
"PIP4K2B",1,10,1,4,1,12,12,5,90,2265,3114,3101
"PITPNM2",162,235,773,753,0,0,11,26,106,7,7,5
"PKP4",4,37,3,8,0,0,4,0,30,7,3,9
"PLCB2",1,49,0,0,0,0,0,8,0,0,0,1
"PLCB4",52,91,9,28,0,0,11,3,4,31,14,17
"PLEKHA5",7,23,0,6,0,0,3,2,24,5,1,5
"PLEKHH3",1,25,1,2,0,0,0,2,21,6,1,5
"PLXNA2",0,0,5,1,0,0,0,0,1,0,3,10
"PLXND1",2,14,23,34,0,0,4,11,155,10,2,5
"PM20D2",0,0,3,0,213,252,0,0,3,3,2,2
"PNP",2,6,0,0,0,0,1,1,22,2,2,1
"PPFIA1",1,22,7,1,0,0,1,3,45,2,2,4
"PPP1CA",1,17,21,4,0,0,2,0,101,5,12,11
"PPP1CB",50,78,659,479,144,184,104,55,72,97,54,112
"PPP1R1B",11,41,0,3,0,0,0,0,4,1,1,5
"PPP2R2C",38,82,0,3,0,0,6,9,30,0,3,0
"PPP2R3B",69,80,263,968,0,0,146,20,36,547,397,489
"PPTC7",8,13,1,6,0,0,4,1,25,14,16,20
"PRDM15",1,25,0,9,0,0,3,4,4,1,6,2
"PRDX6",0,0,38,21,0,0,0,0,2,0,0,0
"PRKAB2",73,84,1,1,0,0,1,1,4,0,0,0
"PRKAR2B",0,0,0,2,26,36,0,0,6,1,1,3
"PRKCB",1,20,8,0,0,0,0,1,4,0,0,0
"PRKD3",11,58,1,2,0,0,28,5,25,3,3,2
"PRPSAP1",2,10,1,4,31,36,0,2,12,3,0,0
"PRRC2B",8,37,28,6,0,0,16,12,66,15,8,25
"PRSS23",2,20,14,10,240,255,5,2,107,8,9,17
"PSMA4",29,70,11,4,0,0,3,9,113,7,6,10
"PSTK",0,0,345,484,60,65,6,4,4,8,7,6
