"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"slc4a11",0,0,5,3,0,0,3,2,18,3,0,5
"slc4a1a",1,21,8,5,0,0,2,21,371,15,8,9
"slc4a1ap",57,69,95,98,16,59,115,7,76,14,2,9
"slc4a2b",0,0,24,9,0,0,2,4,34,1,6,7
"slc4a3",1,18,0,0,0,0,4,0,7,0,4,0
"slc4a4a",8,24,10,13,0,0,9,2,4,1,2,6
"slc4a4b",2,39,6,6,0,0,10,2,20,7,1,3
"slc51a",2,10,5,11,0,0,0,0,1,0,0,0
"slc52a2",0,0,0,0,0,0,4,9,9,0,0,0
"slc5a1",0,0,4,4,0,0,0,0,0,26,10,27
"slc5a2",529,570,0,2,0,0,9,2,2,0,0,2
"slc5a7a",15,57,0,0,0,0,0,0,0,0,0,0
"slc5a9",5,33,0,0,0,0,0,0,0,0,0,0
"slc6a11a",5,26,4,0,0,0,0,6,6,0,0,0
"slc6a14",0,0,1,0,14,42,0,0,9,0,0,0
"slc6a15",1,11,257,139,0,0,6,0,13,1,8,2
"slc6a16a",41,80,2,82,0,0,2,0,3,111,21,33
"slc6a17",0,0,2,11,0,0,8,0,3,0,0,0
"slc6a18",1,21,6,1,0,0,5,3,1,0,0,0
"slc6a1a",2,21,0,23,1,10,37,0,1,5,2,2
"slc6a1l",1,31,0,3,0,0,15,0,0,12,4,2
"slc6a22.1",3,4,1,4,237,280,1,3,2,0,0,0
"slc6a22.2",6,27,3,1,0,0,0,0,1,0,0,0
"slc6a4a",0,0,9,1,0,0,1,0,65,2,3,5
"slc6a6b",4,34,11,77,0,0,35,7,47,61,49,47
"slc6a7",0,0,5,0,0,0,1,0,5,0,0,0
"slc6a9",1,42,8,30,0,0,12,1,2,2,5,3
"slc7a10a",2,46,2,5,0,0,6,2,64,8,3,6
"slc7a2",0,0,1,0,0,0,1,7,54,0,0,4
"slc7a3a",3,32,10,4,0,0,2,5,12,5,8,12
"slc7a5",47,93,5,39,0,0,193,34,28,140,52,86
"slc7a6os",0,0,14,10,0,0,11,1,51,18,18,17
"slc7a7",3,44,120,224,0,0,1,0,5,1,0,2
"slc7a8a",2,6,12,4,39,77,1,23,22,8,6,5
"slc9a1b",0,0,10,2,0,0,0,1,21,18,7,16
"slc9a2",0,0,716,181,31,73,0,0,0,0,0,0
"slc9a3r1b",1,19,19,0,0,0,4,4,133,15,5,3
"slc9a5",2,46,1,0,0,0,2,3,0,7,5,8
"slc9a7",69,94,158,284,29,61,39,1,8,33,23,26
"slc9a8",0,0,2,5,0,0,3,1,26,3,7,3
"slco1c1",4,45,0,0,29,56,0,2,9,0,1,3
"slco1d1",1,42,2,1,0,0,5,0,0,0,0,0
"slco2a1",0,0,5,1,0,0,2,4,98,5,3,1
"slco2b1",0,0,10,2,0,0,0,0,19,1,10,11
"slco3a1",0,0,5,9,15,51,17,5,53,10,13,9
"slco5a1a",119,121,855,160,0,0,3,2,8,2,0,0
"slit1a",9,17,27,16,0,0,6,12,119,1,1,3
"slit2",1,15,1,4,0,0,2,3,13,2,0,1
"slit3",2,7,4,1,0,0,3,6,26,1,0,7
"slitrk3b",0,0,0,0,0,0,66,15,17,0,0,0
"slka",4,18,11,2,0,0,5,3,40,1,3,6
"slmapa",0,0,9,13,0,0,4,3,9,12,7,8
"slmapb",0,0,2,9,0,0,26,0,17,3,5,9
"sltm",433,461,9,15,0,0,23,8,80,27,5,8
"slx1b",301,303,1832,397,16,49,2,2,18,13,16,19
"smad1",2,36,7,0,0,0,1,3,26,3,1,2
"smad2",4,6,10,1,0,0,0,0,6,9,10,9
"smad3b",16,54,12,26,56,89,86,26,30,25,31,23
"smad4a",0,0,3,1,0,0,1,0,6,3,8,8
"smad7",5,30,18,2,0,0,7,6,74,5,14,3
"smarca2",1,43,26,8,0,0,8,7,53,11,5,3
"smarca5",0,0,11,26,0,0,5,7,64,1,1,1
"smarcad1a",0,0,1601,189,0,0,12,20,52,1,0,0
"smarcc1b",4,6,83,37,0,0,7,4,23,14,3,8
"smarcc2",2,44,3,2,0,0,3,3,15,3,4,0
"smarcd1",1,22,3,3,0,0,6,0,28,1,1,0
"smarcd2",2,8,3,0,0,0,0,1,25,3,5,4
"smarcd3b",0,0,5,25,0,0,2,1,16,3,5,7
"smarce1",3,28,5,3,0,0,2,2,30,2,2,5
"smc1al",0,0,17,9,0,0,5,4,104,6,4,7
"smc2",0,0,19,13,0,0,4,5,11,19,8,15
"smc3",1,3,12,8,0,0,10,5,70,8,2,3
"smc4",241,264,1308,481,0,0,14,23,36,8,2,3
"smc6",22,24,1,9,26,35,63,0,7,47,12,17
"smchd1",0,0,0,1,0,0,4,0,19,0,0,5
"smcr8b",1,18,11,3,71,94,2,2,9,1,2,1
"smdt1b",0,0,103,39,43,54,12,0,41,77,65,125
"smek1",0,0,7,2,0,0,2,5,65,2,5,9
"smg1",2,31,3,3,0,0,3,2,48,2,1,3
"smg5",0,0,2,3,0,0,4,2,49,10,8,11
"smg6",0,0,4,3,0,0,8,4,48,9,5,4
"smg8",1,20,1,3,0,0,4,5,8,6,1,2
"smim13",0,0,0,2,0,0,2,4,20,0,2,8
"smim14",0,0,22,7,0,0,0,0,23,13,19,28
"smim19",17,21,290,79,31,46,0,0,7,0,0,5
"smim4",93,131,58,88,426,465,5,16,7,255,164,157
"smim8",0,0,112,130,13,30,1,3,58,0,1,3
"smn1",0,0,51,63,0,0,0,0,20,28,42,37
"smndc1",1,12,440,3866,1427,1462,13,6,77,18,9,13
"smo",0,0,6,1,0,0,0,2,33,0,0,0
"smpd1",0,0,2,0,165,178,0,0,10,231,330,472
"smpdl3b",226,259,263,313,52,75,0,0,6,447,433,504
"smpx",6,11,3,8,0,0,1,1,6,10,1,5
"sms",19,29,9,8,0,0,2,1,3,31,5,20
"smtna",1,25,1,3,0,0,0,0,5,0,0,0
"smurf2",25,36,9,84,0,0,5,4,28,2,1,0
"smyd1b",0,0,76,60,0,0,0,0,0,30,104,2
"smyd2a",10,26,2,2,0,0,3,0,4,5,0,3
"smyd5",0,0,2,3,27,33,0,1,20,0,2,4
"snai1a",2,39,6,6,0,0,0,2,25,10,9,6
"snai2",0,0,4,1,0,0,0,5,21,0,1,0
"snap25a",4,24,0,55,0,0,91,2,20,60,40,33
"snap29",0,0,1,0,0,0,4,2,15,1,1,8
"snap47",2,49,0,9,0,0,40,27,37,2,0,1
"snap91b",16,56,0,3,0,0,16,0,5,5,2,3
"snapc5",0,0,6,7,0,0,7,2,19,5,7,5
"sncb",3,30,1,19,0,0,12,0,5,8,4,4
"sncgb",0,0,7,130,0,0,107,2,3,52,30,21
"snd1",2,21,9,11,0,0,8,4,157,1,6,17
"snf8",53,59,2,0,688,710,5,5,29,1,5,3
"snrka",2,44,3,0,0,0,1,1,17,3,4,1
"snrnp200",2,29,6,10,30,62,356,228,701,13,7,6
"snrnp25",2,3,0,0,0,0,82,83,128,0,0,1
"snrnp40",0,0,36,51,0,0,0,1,6,0,0,1
"snrpa",0,0,0,2,28,47,0,0,0,0,5,1
"snrpb",9,50,22,7,0,0,12,14,110,13,13,28
"snrpd1",7,37,10,4,0,0,0,0,36,2,5,0
