species,module,module_size,correlation,FDR,genes_passing_MM,genes_passing_aligned_GS,genes_passing_GS_pvalue,supported_hub_count,maximum_MM,median_MM,maximum_aligned_GS
On,magenta,202,0.9213597761125775,0.0024880905905499367,161,189,199,158,0.9950553833968298,0.8905412651051621,0.9955334695179091
Pn,lightgreen,70,0.8422028913680637,0.035247129854519305,59,63,68,56,0.991885897330699,0.8828031939486114,0.9996837344118198
