eigengene,species,module,correlation,pvalue,FDR,absolute_correlation,direction,expression_pattern,module_size,passes_FDR,passes_correlation,selected_for_hub_analysis
MEroyalblue,Mz,royalblue,0.1925996462561018,0.5486979978321287,0.6788016468026334,0.1925996462561018,Positive,Mz higher,59,FALSE,FALSE,FALSE
MEgreen,Mz,green,-0.15247158162265917,0.6361670065446025,0.7411654445179834,0.15247158162265917,Negative,Mz lower,339,FALSE,FALSE,FALSE
MEmagenta,Mz,magenta,-0.1179134727503532,0.7151347922472056,0.8017544494121127,0.1179134727503532,Negative,Mz lower,202,FALSE,FALSE,FALSE
MEturquoise,Mz,turquoise,-0.11228762858852552,0.7282602915493357,0.8017544494121127,0.11228762858852552,Negative,Mz lower,1584,FALSE,FALSE,FALSE
MEblue,Mz,blue,0.08482960697026748,0.7932297145178988,0.8514638674072926,0.08482960697026748,Positive,Mz higher,917,FALSE,FALSE,FALSE
MEbrown,Mz,brown,-0.045454036681364024,0.8884480302956406,0.9352084529427795,0.045454036681364024,Negative,Mz lower,745,FALSE,FALSE,FALSE
MEpink,Mz,pink,-0.020672044733298416,0.94915636485788,0.9571324687642487,0.020672044733298416,Negative,Mz lower,246,FALSE,FALSE,FALSE
MEturquoise,Nb,turquoise,-0.7560952189111962,0.004437569656281259,0.17750278625125038,0.7560952189111962,Negative,Nb lower,1584,FALSE,TRUE,FALSE
MEroyalblue,Nb,royalblue,-0.6873475856719223,0.013514336363561369,0.22300536578542135,0.6873475856719223,Negative,Nb lower,59,FALSE,TRUE,FALSE
MEpink,Nb,pink,-0.6707031667169419,0.01697204584893399,0.22300536578542135,0.6707031667169419,Negative,Nb lower,246,FALSE,TRUE,FALSE
MEgreen,Nb,green,0.6388456405433874,0.025339230761180113,0.22300536578542135,0.6388456405433874,Positive,Nb higher,339,FALSE,TRUE,FALSE
MEsalmon,Nb,salmon,0.6053796569865921,0.036986234187637974,0.22300536578542135,0.6053796569865921,Positive,Nb higher,141,FALSE,TRUE,FALSE
MEgreenyellow,Nb,greenyellow,-0.5961614009593094,0.04077067761638091,0.22300536578542135,0.5961614009593094,Negative,Nb lower,189,FALSE,TRUE,FALSE
MEbrown,Nb,brown,-0.5955749099379822,0.04102039136666264,0.22300536578542135,0.5955749099379822,Negative,Nb lower,745,FALSE,TRUE,FALSE
MEyellow,Nb,yellow,-0.5524483624880374,0.06251101871119523,0.2554416259529368,0.5524483624880374,Negative,Nb lower,494,FALSE,TRUE,FALSE
MElightcyan,Nb,lightcyan,0.539605913845956,0.07018090846297806,0.2554416259529368,0.539605913845956,Positive,Nb higher,77,FALSE,TRUE,FALSE
MElightyellow,Nb,lightyellow,-0.5345740909338043,0.07335498024873793,0.2588999302896633,0.5345740909338043,Negative,Nb lower,64,FALSE,TRUE,FALSE
MEgrey60,Nb,grey60,0.531178659692303,0.07555159852184859,0.2590340520749094,0.531178659692303,Positive,Nb higher,71,FALSE,TRUE,FALSE
MEblue,Nb,blue,-0.5245093931458347,0.07999635993939366,0.25944765385749297,0.5245093931458347,Negative,Nb lower,917,FALSE,TRUE,FALSE
MEblack,Nb,black,-0.510104756601962,0.09019704754603552,0.26583297576755593,0.510104756601962,Negative,Nb lower,304,FALSE,TRUE,FALSE
MEtan,Nb,tan,-0.5038216789181234,0.09490908979292868,0.26583297576755593,0.5038216789181234,Negative,Nb lower,170,FALSE,TRUE,FALSE
MEpurple,Nb,purple,0.49420825076046554,0.10243431295971951,0.27315816789258535,0.49420825076046554,Positive,Nb higher,190,FALSE,FALSE,FALSE
MEred,Nb,red,-0.4546102972407296,0.1375946983763769,0.33022727610330455,0.4546102972407296,Negative,Nb lower,329,FALSE,FALSE,FALSE
MEmidnightblue,Nb,midnightblue,-0.44392527166639795,0.14826663756390263,0.3356980473144965,0.44392527166639795,Negative,Nb lower,78,FALSE,FALSE,FALSE
MEmagenta,Nb,magenta,-0.4038750649358604,0.19290450037903245,0.39911275940489477,0.4038750649358604,Negative,Nb lower,202,FALSE,FALSE,FALSE
MEdarkred,Nb,darkred,0.39900236205000694,0.19884197927759498,0.4034400716411257,0.39900236205000694,Positive,Nb higher,49,FALSE,FALSE,FALSE
MElightgreen,Nb,lightgreen,-0.3653950003515009,0.24281813490953053,0.4319944103845951,0.3653950003515009,Negative,Nb lower,70,FALSE,FALSE,FALSE
MEdarkturquoise,Nb,darkturquoise,0.2673790975816689,0.40081878736951304,0.5528534998200181,0.2673790975816689,Positive,Nb higher,44,FALSE,FALSE,FALSE
MEcyan,Nb,cyan,0.1655054618322958,0.6072150954246995,0.7214436777323162,0.1655054618322958,Positive,Nb higher,96,FALSE,FALSE,FALSE
MEdarkgreen,Nb,darkgreen,0.1595480134223694,0.6203871056390273,0.7298671831047381,0.1595480134223694,Positive,Nb higher,44,FALSE,FALSE,FALSE
MEmagenta,On,magenta,0.9213597761125775,2.0734088254582805e-5,0.0024880905905499367,0.9213597761125775,Positive,On higher,202,TRUE,TRUE,TRUE
MEturquoise,On,turquoise,0.6191755265029705,0.03180053840491312,0.22300536578542135,0.6191755265029705,Positive,On higher,1584,FALSE,TRUE,FALSE
MEblue,On,blue,0.6111595908739309,0.03474530949250333,0.22300536578542135,0.6111595908739309,Positive,On higher,917,FALSE,TRUE,FALSE
MEred,On,red,-0.5972723444658152,0.0403006265208938,0.22300536578542135,0.5972723444658152,Negative,On lower,329,FALSE,TRUE,FALSE
MEdarkgreen,On,darkgreen,-0.567152675043737,0.054466521769274474,0.2554416259529368,0.567152675043737,Negative,On lower,44,FALSE,TRUE,FALSE
MEcyan,On,cyan,-0.5570301403160773,0.05992143574379145,0.2554416259529368,0.5570301403160773,Negative,On lower,96,FALSE,TRUE,FALSE
MEdarkturquoise,On,darkturquoise,-0.5004919058074289,0.09747209111477051,0.26583297576755593,0.5004919058074289,Negative,On lower,44,FALSE,TRUE,FALSE
MEsalmon,On,salmon,0.3845391694394116,0.21711910496143244,0.4103341677449856,0.3845391694394116,Positive,On higher,141,FALSE,FALSE,FALSE
MEgreen,On,green,0.3832123117419739,0.21884488946399233,0.4103341677449856,0.3832123117419739,Positive,On higher,339,FALSE,FALSE,FALSE
MEblack,On,black,0.3629991923892552,0.24615509505803868,0.4319944103845951,0.3629991923892552,Positive,On higher,304,FALSE,FALSE,FALSE
MElightcyan,On,lightcyan,-0.34768188662731614,0.26812321824113905,0.4564786808214465,0.34768188662731614,Negative,On lower,77,FALSE,FALSE,FALSE
MEmidnightblue,On,midnightblue,0.3427959686569839,0.2753604941112668,0.4564786808214465,0.3427959686569839,Positive,On higher,78,FALSE,FALSE,FALSE
MEdarkred,On,darkred,-0.3117501660094504,0.3239179661424483,0.49202729034295944,0.3117501660094504,Negative,On lower,49,FALSE,FALSE,FALSE
MEtan,On,tan,-0.2831577643998807,0.3724875051680159,0.5258647131783754,0.2831577643998807,Negative,On lower,170,FALSE,FALSE,FALSE
MEgreenyellow,On,greenyellow,-0.260483576295567,0.4135312840906723,0.5639062964872804,0.260483576295567,Negative,On lower,189,FALSE,FALSE,FALSE
MEpurple,On,purple,-0.23573824320006626,0.4607554679151922,0.6009853929328594,0.23573824320006626,Negative,On lower,190,FALSE,FALSE,FALSE
MElightyellow,On,lightyellow,0.22590033884682767,0.48020387740603154,0.60679411217905,0.22590033884682767,Positive,On higher,64,FALSE,FALSE,FALSE
MEyellow,On,yellow,-0.13711328961761843,0.6708891276249365,0.7667304315713559,0.13711328961761843,Negative,On lower,494,FALSE,FALSE,FALSE
MEroyalblue,On,royalblue,0.13039713739981995,0.6862655364191663,0.7769043808518864,0.13039713739981995,Positive,On higher,59,FALSE,FALSE,FALSE
MElightgreen,On,lightgreen,0.08421493874044168,0.7946996095801399,0.8514638674072926,0.08421493874044168,Positive,On higher,70,FALSE,FALSE,FALSE
MEgrey60,On,grey60,-0.07455920458569026,0.8178676842710615,0.8685320540931627,0.07455920458569026,Negative,On lower,71,FALSE,FALSE,FALSE
MEbrown,On,brown,0.03767451792119533,0.9074606038044406,0.9387523487632145,0.03767451792119533,Positive,On higher,745,FALSE,FALSE,FALSE
MEpink,On,pink,0.028672676350144893,0.9295156254340635,0.9533493594195522,0.028672676350144893,Positive,On higher,246,FALSE,FALSE,FALSE
MElightgreen,Pn,lightgreen,0.8422028913680637,5.874521642419884e-4,0.035247129854519305,0.8422028913680637,Positive,Pn higher,70,TRUE,TRUE,TRUE
MEgreenyellow,Pn,greenyellow,0.7179671664232008,0.008549148088699658,0.22300536578542135,0.7179671664232008,Positive,Pn higher,189,FALSE,TRUE,FALSE
MEdarkred,Pn,darkred,0.6636949719097855,0.01860676663015963,0.22300536578542135,0.6636949719097855,Positive,Pn higher,49,FALSE,TRUE,FALSE
MEdarkgreen,Pn,darkgreen,0.6292508144998372,0.028358905701409986,0.22300536578542135,0.6292508144998372,Positive,Pn higher,44,FALSE,TRUE,FALSE
MEtan,Pn,tan,0.6099980079133095,0.03518765120380815,0.22300536578542135,0.6099980079133095,Positive,Pn higher,170,FALSE,TRUE,FALSE
MEdarkturquoise,Pn,darkturquoise,-0.6069177074617632,0.03638013359021131,0.22300536578542135,0.6069177074617632,Negative,Pn lower,44,FALSE,TRUE,FALSE
MEsalmon,Pn,salmon,-0.6037964543684783,0.037617615676428455,0.22300536578542135,0.6037964543684783,Negative,Pn lower,141,FALSE,TRUE,FALSE
MEmidnightblue,Pn,midnightblue,-0.5915972762267081,0.04274269510887242,0.22300536578542135,0.5915972762267081,Negative,Pn lower,78,FALSE,TRUE,FALSE
MEcyan,Pn,cyan,0.5672125056536977,0.05443535288216726,0.2554416259529368,0.5672125056536977,Positive,Pn higher,96,FALSE,TRUE,FALSE
MEgrey60,Pn,grey60,-0.515296393299567,0.08642474607015208,0.26583297576755593,0.515296393299567,Negative,Pn lower,71,FALSE,TRUE,FALSE
MEred,Pn,red,0.5032983837311412,0.09530884803596146,0.26583297576755593,0.5032983837311412,Positive,Pn higher,329,FALSE,TRUE,FALSE
MEroyalblue,Pn,royalblue,0.44767575134524196,0.14446223364711092,0.3356980473144965,0.44767575134524196,Positive,Pn higher,59,FALSE,FALSE,FALSE
MElightyellow,Pn,lightyellow,0.3966725709066531,0.20172003582056286,0.4034400716411257,0.3966725709066531,Positive,Pn higher,64,FALSE,FALSE,FALSE
MEpurple,Pn,purple,-0.36140046881677024,0.24839678597114218,0.4319944103845951,0.36140046881677024,Negative,Pn lower,190,FALSE,FALSE,FALSE
MEyellow,Pn,yellow,-0.3013011598833346,0.34124652046829884,0.5025387803860338,0.3013011598833346,Negative,Pn lower,494,FALSE,FALSE,FALSE
MElightcyan,Pn,lightcyan,-0.3000219675783688,0.34340149993045643,0.5025387803860338,0.3000219675783688,Negative,Pn lower,77,FALSE,FALSE,FALSE
MEblack,Pn,black,-0.24122004932744578,0.4500820550677034,0.6001094067569378,0.24122004932744578,Negative,Pn lower,304,FALSE,FALSE,FALSE
MEblue,Pn,blue,0.23158457594357873,0.46892124016134595,0.6050596647243174,0.23158457594357873,Positive,Pn higher,917,FALSE,FALSE,FALSE
MEgreen,Pn,green,-0.22581276319382,0.4803786721417479,0.60679411217905,0.22581276319382,Negative,Pn lower,339,FALSE,FALSE,FALSE
MEturquoise,Pn,turquoise,-0.18966476099494292,0.5549215847297899,0.6794958180364775,0.18966476099494292,Negative,Pn lower,1584,FALSE,FALSE,FALSE
MEmagenta,Pn,magenta,-0.13931182167716974,0.6658804060025606,0.7667304315713559,0.13931182167716974,Negative,Pn lower,202,FALSE,FALSE,FALSE
MEbrown,Pn,brown,-0.08915184781050058,0.7829113454691949,0.8514638674072926,0.08915184781050058,Negative,Pn lower,745,FALSE,FALSE,FALSE
MEpink,Pn,pink,0.03880578831704033,0.9046928677457854,0.9387523487632145,0.03880578831704033,Positive,Pn higher,246,FALSE,FALSE,FALSE
