species,module,module_size,n_MM_070_GS_060,n_MM_075_GS_065,n_MM_080_GS_070,n_MM_080_GS_080,n_MM_090_GS_080,n_full_current_criteria
On,magenta,202,180,174,158,127,73,158
Pn,lightgreen,70,64,63,56,41,17,56
