gene_id,module,MM.darkturquoise,MM.grey60,MM.lightcyan,MM.purple,MM.green,MM.salmon,MM.lightgreen,MM.greenyellow,MM.lightyellow,MM.royalblue,MM.red,MM.tan,MM.cyan,MM.darkgreen,MM.darkred,MM.blue,MM.magenta,MM.turquoise,MM.brown,MM.pink,MM.black,MM.midnightblue,MM.yellow,MM.grey,p.MM.darkturquoise,p.MM.grey60,p.MM.lightcyan,p.MM.purple,p.MM.green,p.MM.salmon,p.MM.lightgreen,p.MM.greenyellow,p.MM.lightyellow,p.MM.royalblue,p.MM.red,p.MM.tan,p.MM.cyan,p.MM.darkgreen,p.MM.darkred,p.MM.blue,p.MM.magenta,p.MM.turquoise,p.MM.brown,p.MM.pink,p.MM.black,p.MM.midnightblue,p.MM.yellow,p.MM.grey,GS.Ab,GS.Mz,GS.Nb,GS.On,GS.Pn,p.GS.Ab,p.GS.Mz,p.GS.Nb,p.GS.On,p.GS.Pn
A3GALT2,brown,0.48971338802653075,-0.3328197117698828,0.3502303627882521,0.4055636583969975,-0.6860256468828334,-0.07753778691082724,-0.32117219341882114,0.40250602434182214,0.2092002783292553,0.048959858543824654,0.35538440496417384,-0.13963610747969973,-0.3895083811041113,0.2366307943121293,-0.35181620448408596,-0.4349012815519877,-0.3726983227057491,0.3545785057526584,0.7332446190583229,0.6833846884626629,-0.143084408362717,0.40167149751642717,0.5880239344818168,-0.012588485379993837,0.10608554179099293,0.2904813230111412,0.26439232082964437,0.19087274659772122,0.013768063780089601,0.8107057054602178,0.3087151106078858,0.19456151500567645,0.5140541552230851,0.8798971061104341,0.2569394090280342,0.6651426679407895,0.2107291402163169,0.4590095628350974,0.2620859552435651,0.15768160470711595,0.23281162697333557,0.25809659593216494,0.006657581587114392,0.014285472038194401,0.6573148786814254,0.1955758696095775,0.0443330741526116,0.9690270690818805,0.8737903512791666,-0.022410034464205864,-0.323337125612694,-0.2831890627056009,-0.1712781563176427,2.032830137641671e-4,0.944887218067701,0.30527896753522293,0.3724323712010543,0.5945530429214807
AANAT,black,-0.04788523979228539,0.4632290215104201,-0.43917794737027027,-0.293716965942178,0.1920648027427376,-0.1091415566676269,0.04035987417463731,-0.19872016868728892,-0.3380045802873889,0.21252555341708743,-0.30433337857596754,0.378733686202679,-0.1987154756483899,-0.8967529533146282,-0.3496459767357635,0.32646904419953227,0.6328425765879016,0.37214175232927277,-0.07002216868398452,0.011926633447356949,0.9265138215758624,0.22629365286447967,0.46830808337244306,-0.03760793455790937,0.8825169584507344,0.12935854775765948,0.15317350444534406,0.3541293335176473,0.5498300004543324,0.7356298668775656,0.9008922753088696,0.5358132975568488,0.28256527956474653,0.5072320772182575,0.33616748742858116,0.22473094722815815,0.5358231278058885,7.751794494487863e-5,0.2652451746343281,0.3003459628948224,0.027199678506679214,0.23356540790319713,0.8288013980497874,0.9706548664254931,1.4904967906585267e-5,0.47941921031901313,0.12465888557987827,0.9076235346178072,-0.36719285756967734,0.5713455705270432,-0.36719285756967734,0.4599098715138371,-0.31958725710345226,0.2403316617836119,0.05231228246293597,0.2403316617836119,0.13249129485306024,0.3112442511731563
ABCA1,turquoise,-0.21744318432490967,-0.12591838708517283,-0.6136260343975631,0.0024735162127175747,-0.03321917428977964,0.25791320908249965,0.13689647257295873,0.15968754613505143,0.11510803365059365,-0.18054608304529174,-0.1993261558773829,0.007884339168892182,-0.4968251888647223,-0.30695114481791536,-0.21334336978932866,0.3725699649269984,0.5115682848344802,0.7704208795087223,0.3868737333617188,-0.04338709729042625,0.3095576157698035,0.2929680606605189,0.303156988128677,0.25734523650991087,0.49721710172508704,0.6965809285959357,0.03381927721562963,0.9939128808523494,0.9183698523076242,0.4183206661298521,0.6713837533184934,0.6200774040001334,0.7216714701036215,0.5744405280977156,0.5345446116742139,0.9805987421686568,0.10034767315893874,0.3318157674169262,0.5055604122456832,0.23298533723848078,0.08912259273053186,0.0033657936124164016,0.21410266162273042,0.8934946031928528,0.32751339963776716,0.35541526405746615,0.3381330899723469,0.41938265966322896,0.17510084833170336,-0.14364044438721832,-0.42932457341893265,0.4858267659529093,-0.14339980985798018,0.5862245826491614,0.6560555832841906,0.16368556179684593,0.10931164651897864,0.6566004652330238
ABHD5,grey60,0.4173224841711769,0.9017687704268168,-0.14549510015930492,0.016498248309610296,0.46593950030943526,0.06983985115528363,-0.2663185040687101,-0.5832032886329546,-0.8252698628780187,-0.38228436049840764,-0.19718178032800665,0.21511540526400108,0.34888807598390886,-0.5129253728049133,-0.013271466983483752,-0.10853552651556832,-0.10385831786757883,-0.44696053081022,-0.5066520049469864,-0.6625524451434858,0.43085078100669355,-0.14090266659706555,0.12646936593581845,0.16632185970772073,0.17709185625837395,6.0958829632875665e-5,0.6518611630387203,0.9594135735325299,0.12683640614590516,0.8292413576135426,0.4027611163568606,0.046544274592455005,9.489406928474535e-4,0.2200567353755885,0.5390397564947214,0.5019466569152895,0.26635362382188665,0.08813403933625441,0.9673474180178355,0.7370518472458849,0.7480515642187278,0.14518283897222936,0.09276645839613042,0.018883810297117328,0.16202827683380902,0.6622639092252078,0.6953093346417135,0.605418244843698,-0.47604203691867647,0.6828573194710205,0.4236144749862303,-0.21212673385039563,-0.3304608110163773,0.1177197138551539,0.014390486876440664,0.16998094390849372,0.508048172057439,0.29412381672191235
ABR,turquoise,0.23611500797545468,0.24283005932044888,0.04332481798668665,0.20766568783529885,0.17180925813311793,0.46580678188584385,-0.38706217646873514,-0.33442860825273113,-0.17529855719998733,-0.03145819100279931,-0.39457999789189757,-0.3115020287957343,-0.5173308970702475,-0.5540550205185599,-0.5039034452253639,0.14447531201553257,0.3845874721402966,0.48694328807089515,0.3944746984575855,0.11345260690066425,0.3302423668634922,0.48896590193147443,0.2901175751865705,0.06033832822263106,0.46001810399938947,0.44696983904263876,0.8936467195155473,0.5172159513928116,0.5933932225766574,0.12695914866145736,0.21386029140272234,0.28801165047670385,0.5857950772214366,0.9226854176548175,0.20432667023106177,0.3243237831718091,0.08497606907462191,0.06159428346704472,0.09484672843549319,0.6541663408300505,0.21705643538016225,0.10837829742799472,0.20445837845438744,0.7255366810559549,0.294462422299684,0.10670101247154572,0.3603323580672868,0.8522295948936802,0.16602718453737034,0.1164147936884202,-0.08439463895936347,0.47365593043453,-0.6441079408210995,0.6060665790814459,0.7186245616753262,0.7942698174479548,0.11983280511636248,0.023785749343986202
ACTA1,green,0.06122881756852392,0.18252248994356365,0.492463281409981,0.6316730797697829,0.3653094197688242,0.6004018974916638,-0.1066733230158587,-0.10680483731974806,-0.30412160499768986,-0.671114446562128,-0.36971178172634483,-0.3922666080948336,-0.015925877522074236,0.4114533613087146,0.61505124148614565,-0.6580746762519273,-0.44760597133190677,-0.4884618099714759,-0.3474312605196261,-0.4436721500837809,-0.6542890907894883,-0.5903460886742223,-0.43680981026526006,0.0385953324699271,0.8500703641180873,0.5701868584413803,0.10384165541137025,0.027573297893916326,0.24293687180834916,0.03899719579902178,0.7414260167819829,0.7411168677500095,0.33652087788475893,0.016879509103768207,0.23687339198429375,0.2072321954878182,0.9608206618357218,0.18388998695306463,0.0332923108556995,0.019998757451181712,0.14453243753109166,0.10711741313543803,0.26849175970693534,0.14852568800138724,0.020978233163015305,0.04329488324900509,0.15565949907151194,0.9052076905719195,0.1079325636774644,-0.5016045739554522,0.7749249835763997,-0.3512916814058359,0.023161366677655955,0.7384673821557244,0.09661054343674946,0.0030734554249046025,0.26284749771510324,0.9430420736829512
ACVR1B,blue,-0.5015761300415108,-0.1303094072969436,-0.8875170381194071,-0.8476000622563906,0.017398690953645286,-0.4229622188464476,0.4145542085850167,3.138961546133353e-5,0.2886046833612005,0.45475225151168175,0.19222888785846753,0.44844176278910797,0.27846624017005855,-0.349558366930305,-0.24206057786752566,0.9345558300957054,0.5881981475382219,0.35424646476680255,-0.12056559492880072,-0.1136588005395617,0.5537187375038563,0.2538997711229118,-0.03228800855749168,-0.22709874989042803,0.09663250390416427,0.6864671303596313,1.1707868374858533e-4,4.983689401418999e-4,0.9572001860763368,0.17070960447189004,0.18027841844133075,0.9999227521183021,0.36295659126988644,0.13745636655740223,0.5494826095163823,0.14369301107055907,0.38079986134143684,0.2653731695454923,0.4484559928723696,8.465179903674976e-6,0.044254582158740716,0.2585742533886046,0.7089714457183119,0.7250549225089911,0.06178538454671717,0.4258534408133643,0.920651574694917,0.4778148666843286,-0.5737911758364426,0.30876810857147624,-0.5737911758364426,0.4772072843135829,0.24472906992938076,0.051083728613720236,0.32881337180529213,0.051083728613720236,0.11669676855878869,0.4433122497677153
ADAM12,turquoise,0.167700755366055,-0.26476622042894127,-0.04263471036715337,0.03293229700766185,-0.3610493288372224,0.15431065978891373,-0.37036339289464437,-0.010103578835009841,0.3155784232715461,0.12391653313555136,-0.10407271528213466,-0.3164292852018926,-0.7629868163457808,-0.4169980959428318,-0.7753497880839199,0.15834506921854707,0.42644276321390434,0.8177751656271672,0.6380645718404347,0.5945372441702496,0.31975752998235646,0.8086140967120271,0.5306401241560361,0.2889488978940768,0.6023879252466784,0.40561243145974246,0.8953325168050554,0.9190727550044646,0.2488907465795208,0.6320523078883871,0.23598362235107578,0.9751391079199625,0.31769231412763127,0.7012069873593951,0.7475463901517474,0.31631763005497116,0.003893945478644868,0.1774634240887839,0.0030469162675129152,0.6230594591374474,0.1668440201372305,0.0011551047951623733,0.025575919393711486,0.04146486089669458,0.3109719917216483,0.001452111307641894,0.07590408294565278,0.3623586420747519,0.5468921597784333,0.02447131800135187,-0.5420502945135942,0.5331068002134723,-0.5583355714610909,0.06575418042122708,0.9398256751447396,0.0686736449223882,0.07429877262116795,0.05919748933648255
ADAMTS5,green,-0.18583145215547123,0.5215845424589473,-0.17254433380452053,0.26287326023643187,0.8429579273859205,0.5085771571579075,0.18525627577012915,-0.35565860000221156,-0.5329664142621632,-0.4684895833658141,-0.562366637227523,-0.08655870697043562,0.12255326235333529,-0.11623633246406356,0.501566682605428,0.08175239744538253,0.1738997970306454,-0.30148612938620367,-0.44447689690038206,-0.8131800560531498,-0.05460926408842602,-0.5147802682775409,-0.44769028496992147,-0.1746482385564815,0.5630936718872557,0.08200065692748393,0.5917894032971351,0.4091031832368778,5.742995204183861e-4,0.09132783045755814,0.564324062188295,0.256546384597952,0.07438950570744758,0.12449304262526477,0.05700044038748342,0.7890981336156251,0.704362702814554,0.7190404503509462,0.09663979865227734,0.8005945466065353,0.5888363961377179,0.3409355167609337,0.14770309570197956,0.0012975526343505905,0.8661429473349898,0.08679489772728752,0.14444761450018914,0.5872083001739176,-0.5401509151526782,-0.20426360464644333,0.5834493680217566,0.17038219683552,-0.03184545191252351,0.06984289470908257,0.5242554526609539,0.046429553883091605,0.5965116099432302,0.9217362061771149
ADAP1,yellow,0.5947185522953374,0.10003272404196124,0.04327070164355355,0.140572755260088,-0.5627645621709438,-0.28348046473478433,-0.3589261683912636,0.1713203929178367,-0.1324984681661496,0.20033898940194966,0.2497390887749536,0.21375528977411293,-0.3823206575945567,-0.42127411690189,-0.6490777955745825,-0.19812520216687976,-0.018396947801022103,0.47975755641196005,0.6446290242786626,0.6164032106784368,0.5590064423475548,0.5794696913334946,0.9637196421210904,0.16052166015302755,0.04138695492908332,0.7570807515775847,0.8937789005932849,0.6630133615541673,0.05678669016446596,0.37191925191490505,0.25188974649313217,0.5944607747508887,0.6814425481208826,0.5324270083931475,0.43373216705324535,0.504719348108698,0.22000925783646186,0.1726045568841329,0.02238322379745151,0.5370601493333431,0.9547466854383925,0.11447842642593041,0.02363577891375418,0.03279788730520088,0.05882782516634554,0.04830946661648698,4.6576284333371764e-7,0.6182272182942785,0.5618271113108289,0.5773852482388311,-0.53719829301826,-0.09962687510946755,-0.4185043368591357,0.05729114842463412,0.04931519399571918,0.07168760272041455,0.7580402967549167,0.1757422309519292
