species,module,correlation,absolute_correlation,direction,expression_pattern,pvalue,FDR,module_size
On,magenta,0.9213597761125775,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,202
Pn,lightgreen,0.8422028913680637,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,70
