"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
2059.22214750764,-17.3052660149748,4.44665393752152,6.73417364231975e-30,5.66882737210477e-26,"zgc:85843"
10366.2163674878,-19.9766127948835,4.19380400079785,3.02299643667737e-22,1.27237920019751e-18,"gnai3"
11756.7239825063,-20.5418918815122,4.27657955511579,4.91126931724333e-22,1.37810217041848e-18,"pcsk2"
17920.2652668455,-19.2341822253673,4.10162471658698,7.69716891138761e-22,1.61986919740152e-18,"map2k1"
16416.3090774323,-18.1973270128402,3.98765363601458,1.29445470896251e-20,1.81611995667441e-17,"nudcd2"
1410.68621928444,-17.308340770526,3.856339813823,1.17967753103531e-20,1.81611995667441e-17,"nubp2"
39911.3571037753,-18.2507735438317,4.00193487930465,2.16414106388303e-20,2.60253421082391e-17,"ddah2"
769.785410766655,7.5727075977426,0.874051815303881,4.53513742618409e-19,4.77209835670221e-16,"pink1"
337.425387646976,-7.76355977120134,0.906574735317545,5.99439195010049e-19,5.60675460399399e-16,"rbm25b"
3311.68995499101,-18.5511087254944,4.11397809289664,2.50283102548374e-18,2.10688315725221e-15,"mcee"
839.137813987493,-7.4934356240516,0.900380753758931,4.36342460131461e-18,3.33920984489694e-15,"rabepk"
13450.2662524996,7.97152174521671,0.949768112433232,7.30414414342518e-18,4.72971426148871e-15,"gpr174"
592.765560995086,-15.7626224616081,3.68622222470195,7.23919053300859e-18,4.72971426148871e-15,"enosf1"
3635.09184327507,-18.645592085236,4.16159920182079,1.7418094500766e-17,1.04732513933892e-14,"sh3d19"
1551.12495876757,-15.3750674186167,3.66137506177628,3.21149363947566e-17,1.80229023047374e-14,"herc4"
765.568309439314,-16.3401276437321,3.8133060969594,4.7975535666378e-17,2.52411287024731e-14,"kansl1a"
991.668902982559,-16.7275249451158,3.887377274156,5.78370310795082e-17,2.86395369192529e-14,"klhl18"
1658.70294911147,7.22730600812375,0.92713587101839,1.8426529861081e-16,8.61747379836556e-14,"slc20a1b"
1157.78372744497,-15.0749803895537,3.64869009216464,3.24074558623561e-16,1.43582086025955e-13,"shisa2b"
8165.52299560372,-16.103963891833,3.82907711289111,6.03072185575852e-16,2.53833082908876e-13,"stx5a"
1350.43993686419,-14.7612647937138,3.6291501120475,2.14561959709799e-15,8.57321458007727e-13,"lrrc14b"
330.341866761682,-15.0194398535553,3.67232993209085,2.2405645136814e-15,8.57321458007727e-13,"nck1b"
687.762723152692,-16.1169339579287,3.85613291770385,2.48973613785423e-15,9.11243426454648e-13,"msto1"
2764.27282009521,-15.6115554817625,3.77693688981502,2.72737974395497e-15,9.56628445192205e-13,"cpsf4"
