"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
17920.2652668455,16.1302054271994,1.36924108247594,2.78398313088797e-32,1.88670536780278e-28,"map2k1"
3529.41115659414,-12.5931490744611,1.1216639416043,1.62750838492898e-29,5.51481216233186e-26,"nfe2"
1004.27036669807,9.72354373844499,0.907065740897918,7.83100598744495e-28,1.76902425256381e-24,"COG5"
1116.2629369664,-9.99284225417527,1.00813250328369,1.9143030666816e-24,3.24330797072531e-21,"gltpd2"
2030.02890009173,-9.42916296464747,1.00462606992174,7.39282502287133e-23,9.16313124865462e-20,"usp4"
10366.2163674878,12.6919589201905,1.31778264629602,8.11255533302755e-23,9.16313124865462e-20,"gnai3"
3209.5175441249,-13.5646510360673,1.43784319083008,3.33008189541554e-22,3.22399500074731e-19,"pcyt1aa"
850.521763369094,8.10680460137107,0.860536347329902,5.99916554944076e-22,5.08204311607001e-19,"tnip1"
1550.05403727914,-11.7803985248914,1.26362806584276,8.70786708642428e-22,6.55702391607748e-19,"ube2g1b"
350.194767341376,8.29839138776406,0.88514312390832,1.08475155423355e-21,7.35136128304074e-19,"ciao1"
738.001531549641,-8.76167370606845,0.959491497990334,1.22800069226961e-21,7.56560062864652e-19,"si:ch211-217a12.1"
1691.66673733657,-12.2243606317511,1.30015990190225,1.34426408243886e-21,7.59173140557346e-19,"rbm34"
950.767325766665,-11.4171814004006,1.22263166972301,3.50405375594935e-21,1.82669017723606e-18,"dkk3a"
672.15978334287,-10.1662983757247,1.11899800610192,8.38089284613051e-21,4.05695077273046e-18,"PIP4K2B"
1177.4166429302,12.208838232972,1.34853503322573,3.92148706529977e-20,1.59542918899346e-17,"mat2aa"
4027.79561562454,-8.22001222739557,0.940696088310648,4.07087700170619e-20,1.59542918899346e-17,"acot13"
939.948765877783,-10.0037805807399,1.13340343012926,4.47294593343305e-20,1.59542918899346e-17,"ckmt2a"
284.695830782721,10.553679316261,1.15236187870471,4.32651948001789e-20,1.59542918899346e-17,"cox18"
1658.70294911147,-7.50463167369078,0.854186900305627,3.66540589475452e-20,1.59542918899346e-17,"slc20a1b"
3521.69074170046,-12.2938465132314,1.42623186469006,7.18875907410138e-20,2.43591101225925e-17,"gla"
614.72103006652,9.86829199847303,1.10680878272533,1.18582511974757e-19,3.82682706501396e-17,"zrsr2"
605.604013881262,-11.0532929997617,1.22797283436467,2.02525029654734e-19,6.23869148168242e-17,"higd2a"
355.797187974283,9.72159731211547,1.09933308566193,2.55803286148569e-19,7.53729943577762e-17,"msh6"
285.20262787485,8.32882928787225,0.9587790164782,5.18106237770478e-19,1.46300248890439e-16,"flii"
839.826951147132,9.37577452590496,1.09578444399591,1.89896475151186e-18,4.94972466192148e-16,"mfap1"
148.062492233112,6.92786327400091,0.813253740453749,1.89287560483521e-18,4.94972466192148e-16,"ccnh"
265.498234522119,9.7971202433364,1.13865790397697,2.06326173227564e-18,5.17878694801186e-16,"eps8l2"
733.542089420192,-9.38810456189941,1.1067269325169,2.71959563739197e-18,6.58239272664478e-16,"ddx49"
616.229618855626,10.0558583197551,1.17754887856091,3.08482830246078e-18,7.20892462268161e-16,"cttnbp2nlb"
3524.44882695095,-14.6113795081642,1.68407846892232,3.50872280440512e-18,7.92620481515116e-16,"jph2"
1030.91817779934,-10.7969099905858,1.31932051214937,7.42564720405031e-18,1.62334229360803e-15,"pmvk"
1018.21835683395,15.6452805065598,3.1862438170188,9.75489348482603e-18,2.06590353583331e-15,"dnajb12b"
231.227154247691,8.35816781577895,1.00738461017957,1.32674973439293e-17,2.72466149999421e-15,"tmem50a"
165.756884128158,8.96291927964253,1.07404401520031,1.46684300850361e-17,2.92376325547911e-15,"sema4e"
179.936557853748,7.30560696674499,0.883916651059435,1.72176440570325e-17,3.33382782212885e-15,"TMEM19"
378.729203065867,9.2431869637586,1.11837197412516,1.77316125526217e-17,3.33797606303103e-15,"mus81"
452.162337177222,10.1822733719316,1.23338429958023,3.89621899736918e-17,7.1363989581543e-15,"acod1"
240.43008820866,6.67572526167378,0.819060014564349,4.71573244151022e-17,8.30170553134067e-15,"RPL5"
1755.19823368251,14.6367433300432,1.89304937700566,4.80045227054696e-17,8.30170553134067e-15,"tor1"
314.091329905172,7.57721607609291,0.928094373744764,4.89992948581418e-17,8.30170553134067e-15,"LLGL1"
162.50560826973,-6.40617137274777,0.801990794845619,5.32039899484576e-17,8.79423024099262e-15,"cyfip1"
323.725544751125,14.2741251501484,3.08520342844644,6.50737651673965e-17,1.05001168223678e-14,"nkiras1"
458.613175460474,-9.12960786586904,1.14632193527095,7.4003931468509e-17,1.16633638037694e-14,"cilp"
1600.31170560772,-13.5051937950305,1.63775161369069,1.06683027742475e-16,1.64316108866081e-14,"znf710a"
629.760399964707,7.6575889841031,0.951129026717858,1.11756313274843e-16,1.68305007791914e-14,"prmt7"
467.814813211901,-8.63613251424976,1.12092503911215,2.33625923242905e-16,3.44191930829819e-14,"ppp4r3b"
978.045295936872,12.8120757772373,1.58952636539277,2.74364775611763e-16,3.95610656238493e-14,"nvl"
396.223627032703,8.69807607181638,1.10701763704034,3.90441901106838e-16,5.51255159125216e-14,"coro2ba"
177.569577007183,-7.95197651715015,1.02349637290639,5.11068803152247e-16,6.92702655792555e-14,"dnajc14"
279.886642574599,7.56059578188818,0.959702864952147,5.02694737121135e-16,6.92702655792555e-14,"prdx3"
357.939904590016,9.50873897690669,1.20332902729685,5.29298052803662e-16,7.03343706637337e-14,"mrpl30"
954.570109364176,-7.04505984862131,0.931750032139551,7.31837320928361e-16,9.5378106229452e-14,"hspa12b"
223.826146762406,13.8248388762272,3.10600890330598,8.03351637862984e-16,1.02722906599952e-13,"bbip1"
152.45320386874,8.42188325917703,1.0761215936218,8.78003396225739e-16,1.1018942622633e-13,"nelfa"
1013.19200072009,-10.508186836519,1.3993737741551,9.54826557946683e-16,1.17651992421903e-13,"mief1"
168.054236134997,9.11880759233996,1.16115761817834,9.86771330804287e-16,1.1941695194394e-13,"gtf2b"
148.438895887823,7.54150453644598,0.968265185251286,1.10873512062722e-15,1.31822770394573e-13,"nup88"
363.85641524533,-8.28622908551434,1.09860955054865,1.1409387665595e-15,1.33312793465064e-13,"capza1b"
212.176412741401,7.91662045983144,1.02249814023046,1.2562720007373e-15,1.44300938118588e-13,"slc26a5"
222.685513728011,11.3947817061047,1.56552005252773,1.49035201981611e-15,1.6833526063823e-13,"tmem138"
214.646075048406,7.98309879012994,1.03272620943309,1.65654119794941e-15,1.84039011450872e-13,"ppwd1"
803.43386557194,-7.82935191201556,1.04966922645746,1.99701651989394e-15,2.18286789601956e-13,"VDAC2"
2148.88561521081,-11.7041405016927,1.55306952271791,2.47470265768177e-15,2.66207300176339e-13,"pold2"
176.605707954651,-7.91846526217107,1.04464477162223,2.55785512706985e-15,2.70852878064881e-13,"fasn"
151.18914209866,5.58506655181549,0.732411164410317,2.70228190810698e-15,2.81744069096016e-13,"mtres1"
356.753346220503,11.1871813941031,1.42794749436433,3.35940714162661e-15,3.44950033315205e-13,"pold1"
96.2522549384118,6.69639761424536,0.88318056763131,3.59179581374723e-15,3.63307466115895e-13,"ctns"
481.692673339776,7.12344013191878,0.93615195775709,4.42568615800369e-15,4.41071692541045e-13,"cep72"
574.200204177127,9.23096228865187,1.22713503892077,6.15214703236543e-15,6.04247832439718e-13,"pif1"
204.773520214063,-7.40872712557066,1.00467910222213,6.3967593684597e-15,6.19297689143591e-13,"usp14"
240.610367529595,9.04796578640144,1.19451997513399,6.88239849198866e-15,6.56929782819819e-13,"si:dkey-40g16.6"
280.86626153099,10.5089940153659,1.37829600146922,8.77227126028338e-15,8.25690032374173e-13,"gng3"
656.357072270876,-10.5057433667429,1.4097326418514,9.10025314342148e-15,8.44827610314622e-13,"pdss1"
440.850631693556,-14.2150056155781,3.56600712471723,9.31619654640255e-15,8.5318735128338e-13,"fbxl15"
16416.3090774323,-7.73461139921263,1.07831597212714,1.04917710670463e-14,9.48036433618306e-13,"nudcd2"
322.498258926682,11.329339392202,1.60908518939318,1.07284059561479e-14,9.56663252168605e-13,"ap1g2"
308.110205506631,-7.74136052107164,1.06557373845265,1.48044114827061e-14,1.30298047556233e-12,"zgc:163098"
655.3097987332,-14.2192302543879,3.57678641074803,1.56566829750532e-14,1.33961592486296e-12,"zgc:123238"
165.10116482405,9.69648528336106,1.29101262615192,1.59949944027644e-14,1.33961592486296e-12,"psmc3ip"
400.526301179318,-9.62895299633719,1.32867975747342,1.62090166502527e-14,1.33961592486296e-12,"dph7"
153.182104776533,7.93086083633863,1.06916743095182,1.61335022279741e-14,1.33961592486296e-12,"si:ch1073-390k14.1"
245.895737369513,7.91775874798152,1.06931317269639,1.60137019404403e-14,1.33961592486296e-12,"ap2s1"
249.461802107731,13.7603843579263,3.14349010165583,1.65423603691471e-14,1.35069368941819e-12,"lipca"
176.894102789225,12.7028724038161,2.95018690805862,1.70035580500886e-14,1.37182277268394e-12,"zdhhc15b"
161.295414367526,8.18999482433427,1.10287776865615,2.11475707848247e-14,1.68608337892656e-12,"usp11"
262.832505834762,9.1534450722363,1.24282980368671,2.42505148104485e-14,1.91099696360941e-12,"tmod1"
380.638439229528,9.72677151356128,1.32262351293363,2.74983306521324e-14,2.14202513597128e-12,"thyn1"
292.788042848113,11.9627704565432,1.72495538038447,2.84690858452926e-14,2.19244312242668e-12,"ddr1"
174.504390052992,-6.13596863566654,0.861378166569319,2.96707583255428e-14,2.25931156373263e-12,"gtf2e2"
245.554901740465,10.6029852437405,1.53291925109474,4.15772569761397e-14,3.13076745030332e-12,"l3hypdh"
679.3192035358,-8.3369089033985,1.1944140323464,4.76294659784493e-14,3.54708671358188e-12,"fam118b"
157.641121849536,6.46513520903615,0.887890193114633,4.85076246919895e-14,3.57321926671319e-12,"mad2l1bp"
334.267440796152,-7.73866525822077,1.10804080890347,7.10574856979895e-14,5.17802774812123e-12,"psmb3"
216.091087594904,-9.61818688157185,1.33026098147963,7.46741274709522e-14,5.38368682841109e-12,"esr1"
611.934467313214,9.81536069043483,1.35877913095837,7.69546923285304e-14,5.48970473589948e-12,"csrp2"
886.777902889,-5.45074021285069,0.782431930561506,8.88228791700685e-14,6.27034012641202e-12,"rhd"
264.895956070755,6.91554874490966,0.969050057634754,1.03657666468081e-13,7.16824495565492e-12,"cnot3a"
390.789680050507,8.02093569259717,1.1208419715148,1.03008698453212e-13,7.16824495565492e-12,"ubap2a"
209.166721033298,11.172571970343,1.65806263694203,1.31445479448973e-13,8.99804054773426e-12,"pigt"
182.928252040023,8.59288992096483,1.21167110296772,1.54528491023566e-13,1.04723958366671e-11,"rsph9"
171.12402320322,9.4778378125582,1.2868519298374,1.60673160456006e-13,1.07810099842609e-11,"si:ch211-160o17.2"
326.201515889667,-5.25729637759847,0.762147855484934,1.66581853102693e-13,1.10678942987936e-11,"atp6v0cb"
103.096714189784,-7.30438004111955,1.04635874014911,1.70163226588378e-13,1.10884248710523e-11,"aldh1l2"
275.071359643796,8.91214784711885,1.25603517721281,1.69854390859812e-13,1.10884248710523e-11,"rpf1"
272.400484773412,-8.4430286609241,1.21797023963983,1.72628337657016e-13,1.11419261362057e-11,"lsm5"
221.812509588044,-6.93124336982519,1.00380761341013,1.75477044453958e-13,1.12189427383441e-11,"map7d3"
688.772782729765,7.91492455521829,1.12031981331684,1.91223596430783e-13,1.20473928420702e-11,"rab20"
181.398956468429,9.49655203869065,1.31782585974233,1.91990324176417e-13,1.20473928420702e-11,"prrg1"
158.192540628551,-6.63699417732448,0.967113626438151,2.13761169925765e-13,1.32904536567606e-11,"slc30a7"
410.105489218537,6.76440650072245,0.959779109552769,2.16331529590025e-13,1.33279888730146e-11,"smndc1"
711.573166390953,-11.9395157827784,1.6528269950143,2.41820093226272e-13,1.47640970431932e-11,"RRM2"
287.545793743143,7.60495190766863,1.07707711116469,2.60237828296163e-13,1.57467121639562e-11,"ireb2"
1010.21575503773,11.4636815996378,1.62556330083365,2.75661950132977e-13,1.65323985491255e-11,"ift22"
769.500342087324,-10.779491502597,1.58599497016996,3.06579241923987e-13,1.82253291449023e-11,"clic1"
817.945813633729,-7.65057299990313,1.1266359047779,3.13898343735138e-13,1.84981658738524e-11,"nol7"
