species,gene_name,visual_category,log2FoldChange,padj,direction,WGCNA_module,module_trait_correlation,module_trait_FDR,MM,MM_pvalue,GS,GS_pvalue,species_associated_module,supported_hub,evidence_class
Nb,pde6c,Phototransduction,-7.48111156482011,8.2307923185019e-5,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.6316700128101932,0.02757428254117904,-0.5900676022646684,0.04341847170320453,FALSE,FALSE,DE only
Nb,crx,Photoreceptor regulation,-6.87673628990066,1.3015651607875e-4,Nb lower,pink,-0.6707031667169419,0.22300536578542135,0.8741666152692076,2.004027514146791e-4,-0.7334444445681324,0.00663513795488704,FALSE,FALSE,DE only
Nb,cnga3a,CNG channel,-6.69486108108418,1.6688801558113e-4,Nb lower,black,-0.510104756601962,0.26583297576755593,0.6073510702179594,0.03621064630874683,-0.8236016666036846,9.92154347012447e-4,FALSE,FALSE,DE only
Nb,abca4b,Visual cycle,-6.79049799961818,2.2271489991066e-4,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,0.5546613325602683,0.06125076895870668,-0.6354905261486897,0.02636727412109387,FALSE,FALSE,DE only
Nb,six6a,Retinal regulation,-6.17950994592816,7.3782673974431e-4,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,0.8346634676877298,7.319975982543207e-4,-0.682741555155677,0.01441361500729662,FALSE,FALSE,DE only
Nb,pde6ga,Phototransduction,-6.60259502373079,8.1381065836261e-4,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,0.7864175227147054,0.00241482315585698,-0.5843622122430343,0.04600573362141874,FALSE,FALSE,DE only
Nb,opn1lw1,Opsin / photopigment,-6.04610860281055,0.00125068195472684,Nb lower,lightyellow,-0.5345740909338043,0.2588999302896633,0.8605077721304568,3.2754081740166797e-4,-0.5133150955882103,0.08785152722292187,FALSE,FALSE,DE only
Nb,nrl,Photoreceptor regulation,-5.45987739239002,0.0031648005319268,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,0.8951299311329461,8.356969773234847e-5,-0.625151648348382,0.0297249683965142,FALSE,FALSE,DE only
Nb,cnga1b,CNG channel,-5.11054907144412,0.0100715652500766,Nb lower,black,-0.510104756601962,0.26583297576755593,0.7757802268437313,0.00302020336438509,-0.361331665733303,0.248493528209781,FALSE,FALSE,DE only
Nb,rgs9b,Photoreceptor recovery,-4.69210944778948,0.0106146789228394,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.8108663534767789,0.00137420123824021,-0.5690857816482856,0.05346576238899063,FALSE,FALSE,DE only
