gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class
abca4b,21.5803179388603,-6.79049799961818,1.71820040783061,3.08429253784139e-5,2.2271489991066e-4,Nb_vs_rest,Other species higher,Nb,abca4b,abca4b,Visual cycle,TRUE,Nb lower,abca4b,abca4b,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
six6a,10.4056654647985,-6.17950994592816,1.71915125547723,1.5044038131135e-4,7.3782673974431e-4,Nb_vs_rest,Other species higher,Nb,six6a,six6a,Retinal regulation,TRUE,Nb lower,six6a,six6a,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
pde6ga,44.2251257177041,-6.60259502373079,1.87092383639024,1.6969685908714e-4,8.1381065836261e-4,Nb_vs_rest,Other species higher,Nb,pde6ga,pde6ga,Phototransduction,TRUE,Nb lower,pde6ga,pde6ga,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
opn1lw1,36.4101305274267,-6.04610860281055,1.76806060861657,2.9731123660611e-4,0.00125068195472684,Nb_vs_rest,Other species higher,Nb,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Nb lower,opn1lw1,opn1lw1,lightyellow,-0.5345740909338043,0.2588999302896633,Nb lower,FALSE,DE only
nrl,6.12008102398229,-5.45987739239002,1.75199722036081,9.9028908874952e-4,0.0031648005319268,Nb_vs_rest,Other species higher,Nb,nrl,nrl,Photoreceptor regulation,TRUE,Nb lower,nrl,nrl,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
cnga1b,91.880106660169,-5.11054907144412,1.92940568606231,0.00458899890341835,0.0100715652500766,Nb_vs_rest,Other species higher,Nb,cnga1b,cnga1b,CNG channel,TRUE,Nb lower,cnga1b,cnga1b,black,-0.510104756601962,0.26583297576755593,Nb lower,FALSE,DE only
rgs9b,7.68153964835598,-4.69210944778948,1.76511951239312,0.00492957394587001,0.0106146789228394,Nb_vs_rest,Other species higher,Nb,rgs9b,rgs9b,Photoreceptor recovery,TRUE,Nb lower,rgs9b,rgs9b,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
rx1,3.88729683371985,-4.79827738422544,1.84833997946187,0.00575136477743767,0.0119520549281127,Nb_vs_rest,Other species higher,Nb,rx1,rx1,Retinal regulation,TRUE,Nb lower,rx1,NA,NA,NA,NA,NA,NA,DE only
cngb1b,11.1476521119874,-4.49489306363591,1.76005277797545,0.00692854332794343,0.0137382057385381,Nb_vs_rest,Other species higher,Nb,cngb1b,cngb1b,CNG channel,TRUE,Nb lower,cngb1b,cngb1b,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
pde6a,68.6887571194873,-2.4711932992753,0.973164360486815,0.00984260559235344,0.0180350416422154,Nb_vs_rest,Other species higher,Nb,pde6a,pde6a,Phototransduction,TRUE,Nb lower,pde6a,pde6a,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
NR2E3,14.6707132277912,-4.43414099589879,1.83286168466357,0.0101468918006375,0.0184488941829772,Nb_vs_rest,Other species higher,Nb,nr2e3,nr2e3,Photoreceptor regulation,TRUE,Nb lower,nr2e3,NR2E3,magenta,-0.4038750649358604,0.39911275940489477,Nb lower,FALSE,DE only
rdh8a,50.7547776545052,-1.88493023524026,0.78158482399525,0.0148029596621924,0.0246922278646102,Nb_vs_rest,Other species higher,Nb,rdh8a,rdh8a,Visual cycle,TRUE,Nb lower,rdh8a,rdh8a,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
six7,4.88613589656629,-4.11785407139684,1.81336698445198,0.0159619921409755,0.0262361889361451,Nb_vs_rest,Other species higher,Nb,six7,six7,Retinal regulation,TRUE,Nb lower,six7,six7,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
gnat2,223.287627767456,-2.06071691754821,0.923811722883861,0.0235857120721346,0.0358366303000065,Nb_vs_rest,Other species higher,Nb,gnat2,gnat2,Phototransduction,TRUE,Nb lower,gnat2,gnat2,yellow,-0.5524483624880374,0.2554416259529368,Nb lower,FALSE,DE only
guca1d,3.97266472864489,-3.92916681623424,2.17443299996406,0.04851831126626,0.0642083124220158,Nb_vs_rest,Not significant,Nb,guca1d,guca1d,Photoreceptor recovery,FALSE,Not significant,guca1d,guca1d,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,No significant species-associated evidence
abca4a,34.1993308265369,1.66450455120107,0.858059894853623,0.0494563535621162,0.0652225584904458,Nb_vs_rest,Not significant,Nb,abca4a,abca4a,Visual cycle,FALSE,Not significant,abca4a,abca4a,green,0.6388456405433874,0.22300536578542135,Nb higher,FALSE,No significant species-associated evidence
otx2b,4.14644278012234,-3.58929512555191,2.01859944474714,0.0553610988856847,0.071787987952552,Nb_vs_rest,Not significant,Nb,otx2b,otx2b,Photoreceptor regulation,FALSE,Not significant,otx2b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
rpe65b,43.1908612564652,-1.38817001982229,0.755211127301535,0.0634194490744921,0.0803185531843274,Nb_vs_rest,Not significant,Nb,rpe65b,rpe65b,Visual cycle,FALSE,Not significant,rpe65b,rpe65b,black,-0.510104756601962,0.26583297576755593,Nb lower,FALSE,No significant species-associated evidence
rx2,3.75072025411809,-3.38813115693186,2.1317267794657,0.083846694425499,0.101655518309857,Nb_vs_rest,Not significant,Nb,rx2,rx2,Retinal regulation,FALSE,Not significant,rx2,rx2,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,No significant species-associated evidence
gnat1,412.150530066831,-1.05508502788193,0.81474302475312,0.190235343440721,0.210990693628485,Nb_vs_rest,Not significant,Nb,gnat1,gnat1,Phototransduction,FALSE,Not significant,gnat1,gnat1,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,No significant species-associated evidence
rcvrn2,327.80690955634,-0.761454700945741,0.632659058617623,0.225563300655165,0.247320024626026,Nb_vs_rest,Not significant,Nb,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,No significant species-associated evidence
rdh12,4.65037736506299,-1.97937865358386,2.28041081228011,0.338639683757963,0.361034692904281,Nb_vs_rest,Not significant,Nb,rdh12,rdh12,Visual cycle,FALSE,Not significant,rdh12,rdh12,magenta,-0.4038750649358604,0.39911275940489477,Nb lower,FALSE,No significant species-associated evidence
rdh5,29.1153481606706,-2.31848743143411,3.31166921995684,0.376414544111192,0.397852723444677,Nb_vs_rest,Not significant,Nb,rdh5,rdh5,Visual cycle,FALSE,Not significant,rdh5,rdh5,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,No significant species-associated evidence
rcvrn3,74.7437159429161,-0.702946184064382,1.01744581406175,0.481803656257251,0.502062310907922,Nb_vs_rest,Not significant,Nb,rcvrn3,rcvrn3,Photoreceptor recovery,FALSE,Not significant,rcvrn3,rcvrn3,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,No significant species-associated evidence
rpe65a,153.345016482509,0.836394057178595,1.29136981610662,0.504838637934147,0.524763883120294,Nb_vs_rest,Not significant,Nb,rpe65a,rpe65a,Visual cycle,FALSE,Not significant,rpe65a,rpe65a,green,0.6388456405433874,0.22300536578542135,Nb higher,FALSE,No significant species-associated evidence
rgs9a,122.870403062682,0.372256939399327,1.06383730496194,0.721193184762526,0.73604317871914,Nb_vs_rest,Not significant,Nb,rgs9a,rgs9a,Photoreceptor recovery,FALSE,Not significant,rgs9a,rgs9a,lightcyan,0.539605913845956,0.2554416259529368,Nb higher,FALSE,No significant species-associated evidence
cnga1a,246.561509333681,-9.81245117687572,1.74513833586812,NA,NA,Nb_vs_rest,Not significant,Nb,cnga1a,cnga1a,CNG channel,FALSE,Not significant,cnga1a,cnga1a,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,No significant species-associated evidence
pax6b,1.97341671449506,-3.15861991806961,2.07813553738192,0.0998090160374303,NA,Nb_vs_rest,Not significant,Nb,pax6b,pax6b,Retinal regulation,FALSE,Not significant,pax6b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
pde6b,141.919563851369,2.55772118116569,1.31773627583155,NA,NA,Nb_vs_rest,Not significant,Nb,pde6b,pde6b,Phototransduction,FALSE,Not significant,pde6b,pde6b,green,0.6388456405433874,0.22300536578542135,Nb higher,FALSE,No significant species-associated evidence
gngt1,230.427175935877,4.70912133628811,0.768126773045475,2.54804788412685e-10,8.170807092997331e-9,On_vs_rest,On higher,On,gngt1,gngt1,Phototransduction,TRUE,On higher,gngt1,gngt1,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
cnga1b,91.880106660169,7.07616066368571,1.23579962098335,4.59622296806279e-10,1.4073772960478e-8,On_vs_rest,On higher,On,cnga1b,cnga1b,CNG channel,TRUE,On higher,cnga1b,cnga1b,black,0.3629991923892552,0.4319944103845951,On higher,FALSE,DE only
abca4a,34.1993308265369,4.35588684600711,0.746483835061458,1.87147390606188e-9,4.88562659130577e-8,On_vs_rest,On higher,On,abca4a,abca4a,Visual cycle,TRUE,On higher,abca4a,abca4a,green,0.3832123117419739,0.4103341677449856,On higher,FALSE,DE only
rpe65a,153.345016482509,5.88712823649074,1.08251749586781,6.78976533413175e-9,1.48663007114256e-7,On_vs_rest,On higher,On,rpe65a,rpe65a,Visual cycle,TRUE,On higher,rpe65a,rpe65a,green,0.3832123117419739,0.4103341677449856,On higher,FALSE,DE only
cngb1b,11.1476521119874,5.11652663142096,1.04629596530783,2.11868824184217e-7,2.82896979177123e-6,On_vs_rest,On higher,On,cngb1b,cngb1b,CNG channel,TRUE,On higher,cngb1b,cngb1b,turquoise,0.6191755265029705,0.22300536578542135,On higher,FALSE,DE only
guca1b,91.2242424948658,4.2303839405059,0.848355062615144,2.21308850289823e-7,2.9214920350253e-6,On_vs_rest,On higher,On,guca1b,guca1b,Photoreceptor recovery,TRUE,On higher,guca1b,guca1b,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
NR2E3,14.6707132277912,5.43788838571503,1.13024499206673,2.47792709926695e-7,3.23960131998866e-6,On_vs_rest,On higher,On,nr2e3,nr2e3,Photoreceptor regulation,TRUE,On higher,nr2e3,NR2E3,magenta,0.9213597761125775,0.0024880905905499367,On higher,TRUE,DE + species-associated module
arr3a,265.827696270724,4.34878062243054,0.932228047019811,1.02538363480125e-6,1.07487126196347e-5,On_vs_rest,On higher,On,arr3a,arr3a,Photoreceptor recovery,TRUE,On higher,arr3a,arr3a,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
opn1lw1,36.4101305274267,4.67086271307234,1.04678546571928,2.1934496349686e-6,2.09199616824581e-5,On_vs_rest,On higher,On,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,On higher,opn1lw1,opn1lw1,lightyellow,0.22590033884682767,0.60679411217905,On higher,FALSE,DE only
pde6ga,44.2251257177041,4.8559655273466404,1.15687494612986,6.26131346753975e-6,5.05936490011024e-5,On_vs_rest,On higher,On,pde6ga,pde6ga,Phototransduction,TRUE,On higher,pde6ga,pde6ga,turquoise,0.6191755265029705,0.22300536578542135,On higher,FALSE,DE only
rdh8a,50.7547776545052,2.72434837965901,0.643540307928387,1.5198284333042e-5,1.0754997905528e-4,On_vs_rest,On higher,On,rdh8a,rdh8a,Visual cycle,TRUE,On higher,rdh8a,rdh8a,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
pde6c,46.0198659559165,3.95767871545905,1.04773539669044,6.10754295723923e-5,3.482676200304e-4,On_vs_rest,On higher,On,pde6c,pde6c,Phototransduction,TRUE,On higher,pde6c,pde6c,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
pde6a,68.6887571194873,2.93568314230975,0.79629007965326,1.3777573909441e-4,6.8968385526378e-4,On_vs_rest,On higher,On,pde6a,pde6a,Phototransduction,TRUE,On higher,pde6a,pde6a,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
rdh12,4.65037736506299,5.15230482830147,1.59594570131875,1.7482927363276e-4,8.450946194296e-4,On_vs_rest,On higher,On,rdh12,rdh12,Visual cycle,TRUE,On higher,rdh12,rdh12,magenta,0.9213597761125775,0.0024880905905499367,On higher,TRUE,DE + species-associated module
abca4b,21.5803179388603,3.426079013433,0.973989441035539,2.1446620539863e-4,0.00100047379322557,On_vs_rest,On higher,On,abca4b,abca4b,Visual cycle,TRUE,On higher,abca4b,abca4b,turquoise,0.6191755265029705,0.22300536578542135,On higher,FALSE,DE only
gnat1,412.150530066831,2.41738575599034,0.691419391166591,3.3730692923928e-4,0.00146996518922097,On_vs_rest,On higher,On,gnat1,gnat1,Phototransduction,TRUE,On higher,gnat1,gnat1,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
rgs9b,7.68153964835598,3.48565632403099,1.06863122679969,5.1984634217319e-4,0.00210027205208366,On_vs_rest,On higher,On,rgs9b,rgs9b,Photoreceptor recovery,TRUE,On higher,rgs9b,rgs9b,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
cnga3a,16.6158102651795,2.86272615768502,0.894067909089054,8.344253158645e-4,0.00312765494602688,On_vs_rest,On higher,On,cnga3a,cnga3a,CNG channel,TRUE,On higher,cnga3a,cnga3a,black,0.3629991923892552,0.4319944103845951,On higher,FALSE,DE only
six7,4.88613589656629,3.34654371885334,1.13915929106053,0.00161029422737524,0.00542874440478947,On_vs_rest,On higher,On,six7,six7,Retinal regulation,TRUE,On higher,six7,six7,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
rdh5,29.1153481606706,4.0997870032614,2.30759010888259,0.00854745332395111,0.0213162912809497,On_vs_rest,On higher,On,rdh5,rdh5,Visual cycle,TRUE,On higher,rdh5,rdh5,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
rx2,3.75072025411809,3.36627173880393,1.46876943219959,0.00944822777922979,0.0231306928950486,On_vs_rest,On higher,On,rx2,rx2,Retinal regulation,TRUE,On higher,rx2,rx2,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
rcvrn3,74.7437159429161,1.91145142836938,0.857612327271842,0.020476806230154,0.0436491983105481,On_vs_rest,On higher,On,rcvrn3,rcvrn3,Photoreceptor recovery,TRUE,On higher,rcvrn3,rcvrn3,royalblue,0.13039713739981995,0.7769043808518864,On higher,FALSE,DE only
crx,17.0648031336895,1.78922772895968,0.93405815876602,0.0447506139696616,0.082334255880482,On_vs_rest,Not significant,On,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,0.028672676350144893,0.9533493594195522,On higher,FALSE,No significant species-associated evidence
otx2b,4.14644278012234,2.37378086021138,1.3909779691698,0.0567798288939258,0.0996816196943501,On_vs_rest,Not significant,On,otx2b,otx2b,Photoreceptor regulation,FALSE,Not significant,otx2b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
guca1d,3.97266472864489,2.34601155412905,1.51329572934551,0.076558702790495,0.126974268830906,On_vs_rest,Not significant,On,guca1d,guca1d,Photoreceptor recovery,FALSE,Not significant,guca1d,guca1d,pink,0.028672676350144893,0.9533493594195522,On higher,FALSE,No significant species-associated evidence
rcvrn2,327.80690955634,0.875575438190762,0.541285611632917,0.100521811157649,0.158580312198151,On_vs_rest,Not significant,On,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,0.6191755265029705,0.22300536578542135,On higher,FALSE,No significant species-associated evidence
guca1a,24.0699651560929,1.35530208223291,0.860137718043487,0.101260728723676,0.159468026963329,On_vs_rest,Not significant,On,guca1a,guca1a,Photoreceptor recovery,FALSE,Not significant,guca1a,guca1a,royalblue,0.13039713739981995,0.7769043808518864,On higher,FALSE,No significant species-associated evidence
nrl,6.12008102398229,1.61475806993327,1.07167955586935,0.108783891302728,0.169351069315887,On_vs_rest,Not significant,On,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,0.13039713739981995,0.7769043808518864,On higher,FALSE,No significant species-associated evidence
six6a,10.4056654647985,1.32969081763682,1.01805876553378,0.167215566481736,0.23995257029488,On_vs_rest,Not significant,On,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,0.13039713739981995,0.7769043808518864,On higher,FALSE,No significant species-associated evidence
rx1,3.88729683371985,1.34812129853431,1.21382367681606,0.22822856053182,0.308125580230676,On_vs_rest,Not significant,On,rx1,rx1,Retinal regulation,FALSE,Not significant,rx1,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
rpe65b,43.1908612564652,-0.772566406540843,0.67888093179562,0.24371542269841,0.324781105673847,On_vs_rest,Not significant,On,rpe65b,rpe65b,Visual cycle,FALSE,Not significant,rpe65b,rpe65b,black,0.3629991923892552,0.4319944103845951,On higher,FALSE,No significant species-associated evidence
gnat2,223.287627767456,-0.870973496149236,0.788229601966889,0.253548918567419,0.336125641557882,On_vs_rest,Not significant,On,gnat2,gnat2,Phototransduction,FALSE,Not significant,gnat2,gnat2,yellow,-0.13711328961761843,0.7667304315713559,On lower,FALSE,No significant species-associated evidence
guca1c,435.620949827032,-0.518522010979729,1.05483091013491,0.601593177345866,0.675486135853609,On_vs_rest,Not significant,On,guca1c,guca1c,Photoreceptor recovery,FALSE,Not significant,guca1c,guca1c,yellow,-0.13711328961761843,0.7667304315713559,On lower,FALSE,No significant species-associated evidence
rgs9a,122.870403062682,-0.167771612762264,0.908292948678783,0.846946074177141,0.881356301797983,On_vs_rest,Not significant,On,rgs9a,rgs9a,Photoreceptor recovery,FALSE,Not significant,rgs9a,rgs9a,lightcyan,-0.34768188662731614,0.4564786808214465,On lower,FALSE,No significant species-associated evidence
opn1sw2,401.773466733748,0.1829129302113,1.03814002490753,0.851845032721252,0.885097307247684,On_vs_rest,Not significant,On,opn1sw2,opn1sw2,Opsin / photopigment,FALSE,Not significant,opn1sw2,opn1sw2,pink,0.028672676350144893,0.9533493594195522,On higher,FALSE,No significant species-associated evidence
pax6b,1.97341671449506,0.0294919940977385,1.58546356183036,0.982787794930836,0.988858133380069,On_vs_rest,Not significant,On,pax6b,pax6b,Retinal regulation,FALSE,Not significant,pax6b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
cnga1a,246.561509333681,4.31417244609338,0.998071522300133,NA,NA,On_vs_rest,Not significant,On,cnga1a,cnga1a,CNG channel,FALSE,Not significant,cnga1a,cnga1a,pink,0.028672676350144893,0.9533493594195522,On higher,FALSE,No significant species-associated evidence
pde6b,141.919563851369,2.41200906247967,1.09779727731796,NA,NA,On_vs_rest,Not significant,On,pde6b,pde6b,Phototransduction,FALSE,Not significant,pde6b,pde6b,green,0.3832123117419739,0.4103341677449856,On higher,FALSE,No significant species-associated evidence
gngt1,230.427175935877,3.68954699131481,0.816573231894093,2.06033172047217e-7,2.74479560571534e-6,Pn_vs_rest,Pn higher,Pn,gngt1,gngt1,Phototransduction,TRUE,Pn higher,gngt1,gngt1,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
arr3a,265.827696270724,3.36985362426224,1.00263336184465,3.73594813025162e-5,3.2834833011433e-4,Pn_vs_rest,Pn higher,Pn,arr3a,arr3a,Photoreceptor recovery,TRUE,Pn higher,arr3a,arr3a,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
opn1lw1,36.4101305274267,3.47978669801639,1.14331802338076,1.0332414951419e-4,8.2974012452518e-4,Pn_vs_rest,Pn higher,Pn,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Pn higher,opn1lw1,opn1lw1,lightyellow,0.3966725709066531,0.4034400716411257,Pn higher,FALSE,DE only
guca1b,91.2242424948658,2.74707617684128,0.877423468351644,1.7777312424424e-4,0.00134242044178706,Pn_vs_rest,Pn higher,Pn,guca1b,guca1b,Photoreceptor recovery,TRUE,Pn higher,guca1b,guca1b,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
rgs9a,122.870403062682,-2.76800709799978,0.969485510986438,4.2626482355466e-4,0.00292560065450535,Pn_vs_rest,Other species higher,Pn,rgs9a,rgs9a,Photoreceptor recovery,TRUE,Pn lower,rgs9a,rgs9a,lightcyan,-0.3000219675783688,0.5025387803860338,Pn lower,FALSE,DE only
gnat2,223.287627767456,-2.27199630676202,0.792084457930381,7.9593014544256e-4,0.00499667257972277,Pn_vs_rest,Other species higher,Pn,gnat2,gnat2,Phototransduction,TRUE,Pn lower,gnat2,gnat2,yellow,-0.3013011598833346,0.5025387803860338,Pn lower,FALSE,DE only
guca1a,24.0699651560929,2.04386867935171,0.821100860235389,0.00325333215207838,0.0164696686866816,Pn_vs_rest,Pn higher,Pn,guca1a,guca1a,Photoreceptor recovery,TRUE,Pn higher,guca1a,guca1a,royalblue,0.44767575134524196,0.3356980473144965,Pn higher,FALSE,DE only
rcvrn2,327.80690955634,-1.41867311283575,0.528313270835715,0.00388103381153663,0.0189939535648908,Pn_vs_rest,Other species higher,Pn,rcvrn2,rcvrn2,Photoreceptor recovery,TRUE,Pn lower,rcvrn2,rcvrn2,turquoise,-0.18966476099494292,0.6794958180364775,Pn lower,FALSE,DE only
cnga1b,91.880106660169,-3.03886619360878,1.69242892191537,0.00511101523856636,0.023851404446643,Pn_vs_rest,Other species higher,Pn,cnga1b,cnga1b,CNG channel,TRUE,Pn lower,cnga1b,cnga1b,black,-0.24122004932744578,0.6001094067569378,Pn lower,FALSE,DE only
pde6a,68.6887571194873,1.83210588577823,0.773741970665838,0.00588754849641623,0.026630741161774,Pn_vs_rest,Pn higher,Pn,pde6a,pde6a,Phototransduction,TRUE,Pn higher,pde6a,pde6a,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
rgs9b,7.68153964835598,1.93866601194235,1.0332468965705,0.016205101195103,0.0594813691198445,Pn_vs_rest,Not significant,Pn,rgs9b,rgs9b,Photoreceptor recovery,FALSE,Not significant,rgs9b,rgs9b,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
six7,4.88613589656629,1.78968028733857,1.08057852330206,0.0300777928828175,0.0955963201217826,Pn_vs_rest,Not significant,Pn,six7,six7,Retinal regulation,FALSE,Not significant,six7,six7,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
six6a,10.4056654647985,1.56756948241347,0.925386951161968,0.0368685077075172,0.11136225144304,Pn_vs_rest,Not significant,Pn,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,0.44767575134524196,0.3356980473144965,Pn higher,FALSE,No significant species-associated evidence
gnat1,412.150530066831,1.20929286886685,0.656916840321806,0.0399779709634932,0.118547610242261,Pn_vs_rest,Not significant,Pn,gnat1,gnat1,Phototransduction,FALSE,Not significant,gnat1,gnat1,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
crx,17.0648031336895,1.34012573509737,0.855374394182449,0.0602787363328413,0.160068755146546,Pn_vs_rest,Not significant,Pn,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,0.03880578831704033,0.9387523487632145,Pn higher,FALSE,No significant species-associated evidence
nrl,6.12008102398229,1.34277258570155,0.953652920897106,0.0787234771665969,0.193584094504748,Pn_vs_rest,Not significant,Pn,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,0.44767575134524196,0.3356980473144965,Pn higher,FALSE,No significant species-associated evidence
rdh8a,50.7547776545052,0.826909479018711,0.609206204126534,0.13634277030932,0.285404250915442,Pn_vs_rest,Not significant,Pn,rdh8a,rdh8a,Visual cycle,FALSE,Not significant,rdh8a,rdh8a,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
pde6c,46.0198659559165,1.10464112650097,0.947912725769707,0.145923937958887,0.299418080140265,Pn_vs_rest,Not significant,Pn,pde6c,pde6c,Phototransduction,FALSE,Not significant,pde6c,pde6c,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
pde6ga,44.2251257177041,-1.18689573325159,1.09674306379559,0.148472718135671,0.302587877733503,Pn_vs_rest,Not significant,Pn,pde6ga,pde6ga,Phototransduction,FALSE,Not significant,pde6ga,pde6ga,turquoise,-0.18966476099494292,0.6794958180364775,Pn lower,FALSE,No significant species-associated evidence
abca4b,21.5803179388603,0.962948943080262,0.884243829752647,0.185954911180931,0.353948561917157,Pn_vs_rest,Not significant,Pn,abca4b,abca4b,Visual cycle,FALSE,Not significant,abca4b,abca4b,turquoise,-0.18966476099494292,0.6794958180364775,Pn lower,FALSE,No significant species-associated evidence
rpe65b,43.1908612564652,-0.649994302479512,0.60802885200926,0.241192693099968,0.423492608750443,Pn_vs_rest,Not significant,Pn,rpe65b,rpe65b,Visual cycle,FALSE,Not significant,rpe65b,rpe65b,black,-0.24122004932744578,0.6001094067569378,Pn lower,FALSE,No significant species-associated evidence
opn1sw2,401.773466733748,0.664765674306627,0.90376756866276,0.36710222123581,0.556412660115019,Pn_vs_rest,Not significant,Pn,opn1sw2,opn1sw2,Opsin / photopigment,FALSE,Not significant,opn1sw2,opn1sw2,pink,0.03880578831704033,0.9387523487632145,Pn higher,FALSE,No significant species-associated evidence
cnga3a,16.6158102651795,0.481394043028948,0.811021486756713,0.484269802256022,0.664165433176443,Pn_vs_rest,Not significant,Pn,cnga3a,cnga3a,CNG channel,FALSE,Not significant,cnga3a,cnga3a,black,-0.24122004932744578,0.6001094067569378,Pn lower,FALSE,No significant species-associated evidence
rdh12,4.65037736506299,-0.593870174153555,1.39169517540982,0.49129149773982,0.670492130709777,Pn_vs_rest,Not significant,Pn,rdh12,rdh12,Visual cycle,FALSE,Not significant,rdh12,rdh12,magenta,-0.13931182167716974,0.7667304315713559,Pn lower,FALSE,No significant species-associated evidence
rcvrn3,74.7437159429161,0.431884519807589,0.773072127810426,0.516753756433253,0.691189552041772,Pn_vs_rest,Not significant,Pn,rcvrn3,rcvrn3,Photoreceptor recovery,FALSE,Not significant,rcvrn3,rcvrn3,royalblue,0.44767575134524196,0.3356980473144965,Pn higher,FALSE,No significant species-associated evidence
abca4a,34.1993308265369,0.275439179137529,0.706997278039873,0.659205095915677,0.800815866184374,Pn_vs_rest,Not significant,Pn,abca4a,abca4a,Visual cycle,FALSE,Not significant,abca4a,abca4a,green,-0.22581276319382,0.60679411217905,Pn lower,FALSE,No significant species-associated evidence
rdh5,29.1153481606706,-0.356089225132284,1.72623877932865,0.660735073431888,0.801846898813746,Pn_vs_rest,Not significant,Pn,rdh5,rdh5,Visual cycle,FALSE,Not significant,rdh5,rdh5,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,No significant species-associated evidence
cngb1b,11.1476521119874,0.25722307628006,0.96697704165459,0.736395114053205,0.849882962197462,Pn_vs_rest,Not significant,Pn,cngb1b,cngb1b,CNG channel,FALSE,Not significant,cngb1b,cngb1b,turquoise,-0.18966476099494292,0.6794958180364775,Pn lower,FALSE,No significant species-associated evidence
guca1c,435.620949827032,-0.104135336825333,0.903026579777292,0.887452903053413,0.943039793538539,Pn_vs_rest,Not significant,Pn,guca1c,guca1c,Photoreceptor recovery,FALSE,Not significant,guca1c,guca1c,yellow,-0.3013011598833346,0.5025387803860338,Pn lower,FALSE,No significant species-associated evidence
