gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class,MM,MM_pvalue,GS,GS_pvalue,supported_hub,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,supported_hub_rank
crx,17.0648031336895,2.33573390096344,1.03428630980815,0.0170465909740684,0.0501407283350777,Ab_vs_rest,Not significant,Ab,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant integrated evidence,0.8741666152692076,2.004027514146791e-4,0.34738654204457137,0.2685575481790919,FALSE,NA,NA,NA,NA,NA,NA
cnga1b,91.880106660169,-3.40439626790141,1.75448337130666,0.0208141279574764,0.0571564835170894,Ab_vs_rest,Not significant,Ab,cnga1b,cnga1b,CNG channel,FALSE,Not significant,cnga1b,cnga1b,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant integrated evidence,0.7757802268437313,0.00302020336438509,-0.361331665733303,0.248493528209781,FALSE,NA,NA,NA,NA,NA,NA
rgs9b,7.68153964835598,-3.13361834023894,1.62525485191429,0.025551474219618,0.0651024151572642,Ab_vs_rest,Not significant,Ab,rgs9b,rgs9b,Photoreceptor recovery,FALSE,Not significant,rgs9b,rgs9b,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.8108663534767789,0.00137420123824021,-0.5690857816482856,0.05346576238899063,FALSE,NA,NA,NA,NA,NA,NA
rdh8a,50.7547776545052,-1.6733645391454,0.796868870009623,0.0301710706993883,0.0726728476248471,Ab_vs_rest,Not significant,Ab,rdh8a,rdh8a,Visual cycle,FALSE,Not significant,rdh8a,rdh8a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.7911048238065811,0.00217964196066407,-0.5465021468156437,0.06598610918084075,FALSE,NA,NA,NA,NA,NA,NA
gnat2,223.287627767456,1.73869095920518,0.893932014747518,0.0428542979953297,0.0911733822019331,Ab_vs_rest,Not significant,Ab,gnat2,gnat2,Phototransduction,FALSE,Not significant,gnat2,gnat2,yellow,0.501564687866539,0.26583297576755593,Ab higher,FALSE,No significant integrated evidence,0.8038164506357466,0.00162935939100464,0.3768910330225672,0.2271799541264749,FALSE,NA,NA,NA,NA,NA,NA
NR2E3,14.6707132277912,-2.88713731021247,1.67616705016208,0.0437869695503214,0.0924636192144919,Ab_vs_rest,Not significant,Ab,nr2e3,nr2e3,Photoreceptor regulation,FALSE,Not significant,nr2e3,NR2E3,magenta,-0.38686907335295995,0.4103341677449856,Ab lower,FALSE,No significant integrated evidence,0.8411326819374478,6.064935861507699e-4,-0.443230281754899,0.14897860108940433,FALSE,NA,NA,NA,NA,NA,NA
gngt1,230.427175935877,-1.67568087037308,0.907893582694872,0.0543237342107138,0.105680984642003,Ab_vs_rest,Not significant,Ab,gngt1,gngt1,Phototransduction,FALSE,Not significant,gngt1,gngt1,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.899318311450282,6.865908377334946e-5,-0.4343235523343778,0.15829699174850878,FALSE,NA,NA,NA,NA,NA,NA
guca1d,3.97266472864489,2.70259247512408,1.67547872734153,0.059066623954169,0.111880289379129,Ab_vs_rest,Not significant,Ab,guca1d,guca1d,Photoreceptor recovery,FALSE,Not significant,guca1d,guca1d,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant integrated evidence,0.783044575499461,0.00259569199862227,0.5936318008552796,0.04185547695459837,FALSE,NA,NA,NA,NA,NA,NA
six7,4.88613589656629,-2.63006737538675,1.65948248014701,0.0645449149157831,0.119450004876612,Ab_vs_rest,Not significant,Ab,six7,six7,Retinal regulation,FALSE,Not significant,six7,six7,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.7766467874691363,0.00296696583369793,-0.5540011196324983,0.06162488632764446,FALSE,NA,NA,NA,NA,NA,NA
rx1,3.88729683371985,2.01445850008829,1.31303306365553,0.0928188781291588,0.152357382133754,Ab_vs_rest,Not significant,Ab,rx1,rx1,Retinal regulation,FALSE,Not significant,rx1,NA,NA,NA,NA,NA,NA,No significant integrated evidence,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
