gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction
pde6ga,44.2251257177041,-6.60259502373079,1.87092383639024,1.6969685908714e-4,8.1381065836261e-4,Nb_vs_rest,Other species higher,Nb,pde6ga,pde6ga,Phototransduction,TRUE,Nb lower
opn1lw1,36.4101305274267,-6.04610860281055,1.76806060861657,2.9731123660611e-4,0.00125068195472684,Nb_vs_rest,Other species higher,Nb,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Nb lower
nrl,6.12008102398229,-5.45987739239002,1.75199722036081,9.9028908874952e-4,0.0031648005319268,Nb_vs_rest,Other species higher,Nb,nrl,nrl,Photoreceptor regulation,TRUE,Nb lower
cnga1b,91.880106660169,-5.11054907144412,1.92940568606231,0.00458899890341835,0.0100715652500766,Nb_vs_rest,Other species higher,Nb,cnga1b,cnga1b,CNG channel,TRUE,Nb lower
rgs9b,7.68153964835598,-4.69210944778948,1.76511951239312,0.00492957394587001,0.0106146789228394,Nb_vs_rest,Other species higher,Nb,rgs9b,rgs9b,Photoreceptor recovery,TRUE,Nb lower
rx1,3.88729683371985,-4.79827738422544,1.84833997946187,0.00575136477743767,0.0119520549281127,Nb_vs_rest,Other species higher,Nb,rx1,rx1,Retinal regulation,TRUE,Nb lower
cngb1b,11.1476521119874,-4.49489306363591,1.76005277797545,0.00692854332794343,0.0137382057385381,Nb_vs_rest,Other species higher,Nb,cngb1b,cngb1b,CNG channel,TRUE,Nb lower
pde6a,68.6887571194873,-2.4711932992753,0.973164360486815,0.00984260559235344,0.0180350416422154,Nb_vs_rest,Other species higher,Nb,pde6a,pde6a,Phototransduction,TRUE,Nb lower
NR2E3,14.6707132277912,-4.43414099589879,1.83286168466357,0.0101468918006375,0.0184488941829772,Nb_vs_rest,Other species higher,Nb,nr2e3,nr2e3,Photoreceptor regulation,TRUE,Nb lower
rdh8a,50.7547776545052,-1.88493023524026,0.78158482399525,0.0148029596621924,0.0246922278646102,Nb_vs_rest,Other species higher,Nb,rdh8a,rdh8a,Visual cycle,TRUE,Nb lower
six7,4.88613589656629,-4.11785407139684,1.81336698445198,0.0159619921409755,0.0262361889361451,Nb_vs_rest,Other species higher,Nb,six7,six7,Retinal regulation,TRUE,Nb lower
gnat2,223.287627767456,-2.06071691754821,0.923811722883861,0.0235857120721346,0.0358366303000065,Nb_vs_rest,Other species higher,Nb,gnat2,gnat2,Phototransduction,TRUE,Nb lower
gngt1,230.427175935877,4.70912133628811,0.768126773045475,2.54804788412685e-10,8.170807092997331e-9,On_vs_rest,On higher,On,gngt1,gngt1,Phototransduction,TRUE,On higher
cnga1b,91.880106660169,7.07616066368571,1.23579962098335,4.59622296806279e-10,1.4073772960478e-8,On_vs_rest,On higher,On,cnga1b,cnga1b,CNG channel,TRUE,On higher
abca4a,34.1993308265369,4.35588684600711,0.746483835061458,1.87147390606188e-9,4.88562659130577e-8,On_vs_rest,On higher,On,abca4a,abca4a,Visual cycle,TRUE,On higher
rpe65a,153.345016482509,5.88712823649074,1.08251749586781,6.7897653341317505e-9,1.48663007114256e-7,On_vs_rest,On higher,On,rpe65a,rpe65a,Visual cycle,TRUE,On higher
cngb1b,11.1476521119874,5.11652663142096,1.04629596530783,2.11868824184217e-7,2.82896979177123e-6,On_vs_rest,On higher,On,cngb1b,cngb1b,CNG channel,TRUE,On higher
guca1b,91.2242424948658,4.2303839405059,0.848355062615144,2.21308850289823e-7,2.9214920350253e-6,On_vs_rest,On higher,On,guca1b,guca1b,Photoreceptor recovery,TRUE,On higher
NR2E3,14.6707132277912,5.43788838571503,1.13024499206673,2.47792709926695e-7,3.23960131998866e-6,On_vs_rest,On higher,On,nr2e3,nr2e3,Photoreceptor regulation,TRUE,On higher
arr3a,265.827696270724,4.34878062243054,0.932228047019811,1.02538363480125e-6,1.07487126196347e-5,On_vs_rest,On higher,On,arr3a,arr3a,Photoreceptor recovery,TRUE,On higher
opn1lw1,36.4101305274267,4.67086271307234,1.04678546571928,2.1934496349686e-6,2.09199616824581e-5,On_vs_rest,On higher,On,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,On higher
pde6ga,44.2251257177041,4.8559655273466404,1.15687494612986,6.26131346753975e-6,5.05936490011024e-5,On_vs_rest,On higher,On,pde6ga,pde6ga,Phototransduction,TRUE,On higher
rdh8a,50.7547776545052,2.72434837965901,0.643540307928387,1.5198284333042e-5,1.0754997905528e-4,On_vs_rest,On higher,On,rdh8a,rdh8a,Visual cycle,TRUE,On higher
pde6c,46.0198659559165,3.95767871545905,1.04773539669044,6.10754295723923e-5,3.482676200304e-4,On_vs_rest,On higher,On,pde6c,pde6c,Phototransduction,TRUE,On higher
pde6a,68.6887571194873,2.93568314230975,0.79629007965326,1.3777573909441e-4,6.8968385526378e-4,On_vs_rest,On higher,On,pde6a,pde6a,Phototransduction,TRUE,On higher
rdh12,4.65037736506299,5.15230482830147,1.59594570131875,1.7482927363276e-4,8.450946194296e-4,On_vs_rest,On higher,On,rdh12,rdh12,Visual cycle,TRUE,On higher
abca4b,21.5803179388603,3.426079013433,0.973989441035539,2.1446620539863e-4,0.00100047379322557,On_vs_rest,On higher,On,abca4b,abca4b,Visual cycle,TRUE,On higher
gnat1,412.150530066831,2.41738575599034,0.691419391166591,3.3730692923928e-4,0.00146996518922097,On_vs_rest,On higher,On,gnat1,gnat1,Phototransduction,TRUE,On higher
rgs9b,7.68153964835598,3.48565632403099,1.06863122679969,5.1984634217319e-4,0.00210027205208366,On_vs_rest,On higher,On,rgs9b,rgs9b,Photoreceptor recovery,TRUE,On higher
cnga3a,16.6158102651795,2.86272615768502,0.894067909089054,8.344253158645e-4,0.00312765494602688,On_vs_rest,On higher,On,cnga3a,cnga3a,CNG channel,TRUE,On higher
six7,4.88613589656629,3.34654371885334,1.13915929106053,0.00161029422737524,0.00542874440478947,On_vs_rest,On higher,On,six7,six7,Retinal regulation,TRUE,On higher
rdh5,29.1153481606706,4.0997870032614,2.30759010888259,0.00854745332395111,0.0213162912809497,On_vs_rest,On higher,On,rdh5,rdh5,Visual cycle,TRUE,On higher
rx2,3.75072025411809,3.36627173880393,1.46876943219959,0.00944822777922979,0.0231306928950486,On_vs_rest,On higher,On,rx2,rx2,Retinal regulation,TRUE,On higher
rcvrn3,74.7437159429161,1.91145142836938,0.857612327271842,0.020476806230154,0.0436491983105481,On_vs_rest,On higher,On,rcvrn3,rcvrn3,Photoreceptor recovery,TRUE,On higher
gngt1,230.427175935877,3.68954699131481,0.816573231894093,2.06033172047217e-7,2.74479560571534e-6,Pn_vs_rest,Pn higher,Pn,gngt1,gngt1,Phototransduction,TRUE,Pn higher
arr3a,265.827696270724,3.36985362426224,1.00263336184465,3.73594813025162e-5,3.2834833011433e-4,Pn_vs_rest,Pn higher,Pn,arr3a,arr3a,Photoreceptor recovery,TRUE,Pn higher
opn1lw1,36.4101305274267,3.47978669801639,1.14331802338076,1.0332414951419e-4,8.2974012452518e-4,Pn_vs_rest,Pn higher,Pn,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Pn higher
guca1b,91.2242424948658,2.74707617684128,0.877423468351644,1.7777312424424e-4,0.00134242044178706,Pn_vs_rest,Pn higher,Pn,guca1b,guca1b,Photoreceptor recovery,TRUE,Pn higher
rgs9a,122.870403062682,-2.76800709799978,0.969485510986438,4.2626482355466e-4,0.00292560065450535,Pn_vs_rest,Other species higher,Pn,rgs9a,rgs9a,Photoreceptor recovery,TRUE,Pn lower
gnat2,223.287627767456,-2.27199630676202,0.792084457930381,7.9593014544256e-4,0.00499667257972277,Pn_vs_rest,Other species higher,Pn,gnat2,gnat2,Phototransduction,TRUE,Pn lower
guca1a,24.0699651560929,2.04386867935171,0.821100860235389,0.00325333215207838,0.0164696686866816,Pn_vs_rest,Pn higher,Pn,guca1a,guca1a,Photoreceptor recovery,TRUE,Pn higher
rcvrn2,327.80690955634,-1.41867311283575,0.528313270835715,0.00388103381153663,0.0189939535648908,Pn_vs_rest,Other species higher,Pn,rcvrn2,rcvrn2,Photoreceptor recovery,TRUE,Pn lower
cnga1b,91.880106660169,-3.03886619360878,1.69242892191537,0.00511101523856636,0.023851404446643,Pn_vs_rest,Other species higher,Pn,cnga1b,cnga1b,CNG channel,TRUE,Pn lower
pde6a,68.6887571194873,1.83210588577823,0.773741970665838,0.00588754849641623,0.026630741161774,Pn_vs_rest,Pn higher,Pn,pde6a,pde6a,Phototransduction,TRUE,Pn higher
