"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"zgc:101765",170.276684399305,7.81967228704822,1.42089857926218,4.07735395304558e-09,9.17404639435255e-08,"Mz_vs_On","Mz higher"
"wdr46",163.059737727462,5.41765494581538,0.979734758177313,4.12077188861488e-09,9.23777434370808e-08,"Mz_vs_On","Mz higher"
"lgi1a",75.6683007457307,6.78739926214001,1.24819786185179,4.18411925503659e-09,9.34555103679705e-08,"Mz_vs_On","Mz higher"
"dennd4a",1987.10327495951,7.47158833214322,1.36282345827319,4.42327191806361e-09,9.84379059583611e-08,"Mz_vs_On","Mz higher"
"ccng2",50.4694260348327,4.74659527544924,0.848259802271784,4.64307911056382e-09,1.02955232451633e-07,"Mz_vs_On","Mz higher"
"ptprn2",204.113195767588,-7.27602389361011,1.4064786731303,4.83820941801864e-09,1.06894735156224e-07,"Mz_vs_On","On higher"
"mrpl13",101.683805580095,6.92651083677469,1.22257802590058,4.91770515230366e-09,1.08260271698196e-07,"Mz_vs_On","Mz higher"
"hacd1",181.626381522184,7.68180299352289,1.41762856985596,5.05101224940345e-09,1.1079639772885e-07,"Mz_vs_On","Mz higher"
"ift20",165.302719537476,5.25070410323868,0.973430980142425,5.09363996595382e-09,1.11332416398705e-07,"Mz_vs_On","Mz higher"
"ap1s2",52.8297879740104,6.56366464160437,1.19121515209711,5.18094330352878e-09,1.12837626397139e-07,"Mz_vs_On","Mz higher"
"ecrg4a",228.042495213843,5.33817435517317,0.960087075357503,5.26455329098394e-09,1.14252007591566e-07,"Mz_vs_On","Mz higher"
"plag1",89.7612273868245,-11.4896827601671,3.45253145222642,5.59470953850389e-09,1.20139025879452e-07,"Mz_vs_On","On higher"
"nyap2b",121.787710174393,-7.78511569837619,1.47768295432404,5.5697948094316e-09,1.20139025879452e-07,"Mz_vs_On","On higher"
"psen1",156.435676143955,6.54292204294932,1.16539448517578,5.57755712521973e-09,1.20139025879452e-07,"Mz_vs_On","Mz higher"
"narfl",242.118433799621,5.30644305815748,0.951443171679866,5.67805552000865e-09,1.21502446791793e-07,"Mz_vs_On","Mz higher"
"aqp12",77.8174299822401,9.54920869938259,2.69742134208069,5.7339351906165e-09,1.22270673751125e-07,"Mz_vs_On","Mz higher"
"mrps36",358.80370511478,4.66434389048885,0.867109420352996,6.01955064033251e-09,1.27915451107066e-07,"Mz_vs_On","Mz higher"
"plch2a",146.64095979232,-12.1963938225604,3.61758186146044,6.20901120235762e-09,1.3148494310875e-07,"Mz_vs_On","On higher"
"pfkfb4b",788.600412758103,5.3278874198776,0.991101010113229,6.31759924118146e-09,1.33323128813898e-07,"Mz_vs_On","Mz higher"
"sart3",404.77344552877,4.20296193947348,0.774069228930439,6.51001140956897e-09,1.36911580160007e-07,"Mz_vs_On","Mz higher"
"wfdc2",159.247999075409,6.42444962603971,1.16588633201187,6.53349642341290e-09,1.36934925038654e-07,"Mz_vs_On","Mz higher"
"cab39l",51.139426401425,5.84164466034052,1.06380398779299,6.79274862835173e-09,1.41882667595606e-07,"Mz_vs_On","Mz higher"
"slc25a4",74.6542574741907,8.86112854602895,2.54971891974234,7.05396348480161e-09,1.46547133957509e-07,"Mz_vs_On","Mz higher"
"dgcr8",148.934145572085,4.3948556728942,0.818601530077549,7.06395498651389e-09,1.46547133957509e-07,"Mz_vs_On","Mz higher"
"phospho2",173.937365315081,-10.1096446860105,1.84450613166655,7.66982198997195e-09,1.58578751954825e-07,"Mz_vs_On","On higher"
"rd3",106.976392225782,6.64560778508095,1.25486578650221,7.97130682332705e-09,1.64257231510982e-07,"Mz_vs_On","Mz higher"
"ppp4r4",203.463009771435,-4.9289961481755,0.960210604523616,8.24981401621908e-09,1.6942571066866e-07,"Mz_vs_On","On higher"
"smndc1",410.105489218537,5.16696526230724,0.956786489329166,8.41810880541964e-09,1.72303765515613e-07,"Mz_vs_On","Mz higher"
"nucb2a",314.553768370157,5.10208165101672,0.9354809811791,8.97569219201158e-09,1.82495801379106e-07,"Mz_vs_On","Mz higher"
"C6orf62",241.890140009739,4.01157221761674,0.739370779708858,8.94782655286032e-09,1.82495801379106e-07,"Mz_vs_On","Mz higher"
"ada",501.390275951586,5.46214890955292,1.01167630385005,9.11172595570728e-09,1.84648221354068e-07,"Mz_vs_On","Mz higher"
"FBXO40",98.3207252466124,10.8620756377301,3.12279803930722,9.28808345050241e-09,1.86990081316706e-07,"Mz_vs_On","Mz higher"
"si:ch211-160o17.2",171.12402320322,4.93334881984257,0.922627988826071,9.28839619612394e-09,1.86990081316706e-07,"Mz_vs_On","Mz higher"
"arfgap2",281.67191896911,4.67934920205899,0.86686171966273,9.60259668119363e-09,1.9268161209477e-07,"Mz_vs_On","Mz higher"
"prcc",277.710401709296,5.00242093898894,0.921224816140757,9.67412302070655e-09,1.93482460414131e-07,"Mz_vs_On","Mz higher"
"si:ch211-203d1.3",409.669258847715,5.85058430841004,1.06556477317288,9.72968740435158e-09,1.93959892230071e-07,"Mz_vs_On","Mz higher"
"zgc:172182",1380.22772345217,-7.01285837332651,1.41880618408896,9.95360083382571e-09,1.9777934124355e-07,"Mz_vs_On","On higher"
"ercc2",459.36420078715,8.50851635386516,1.52826238848384,1.00463744092441e-08,1.98976735872408e-07,"Mz_vs_On","Mz higher"
"psmc2",53.2762432206633,-5.13261201650197,0.975222486179987,1.0115588107338e-08,1.99701287796479e-07,"Mz_vs_On","On higher"
"sult3st1",100.331179907929,-11.5980058071799,3.50736005529907,1.10133645287371e-08,2.1672601580666e-07,"Mz_vs_On","On higher"
"osgep",476.876811813988,5.34909118838785,1.00719054163673,1.11474786792643e-08,2.17963480885296e-07,"Mz_vs_On","Mz higher"
"mrps7",130.851161791879,5.24252515106754,0.965808311659667,1.1132273872953e-08,2.17963480885296e-07,"Mz_vs_On","Mz higher"
"mlf1",83.2631303419511,9.00172256288382,1.90970898325151,1.11880312614828e-08,2.18059717580492e-07,"Mz_vs_On","Mz higher"
"hif1al",150.659973651018,-5.61783842114817,1.1191087220762,1.15589136712807e-08,2.24573179899167e-07,"Mz_vs_On","On higher"
"hspbap1",70.4141741227056,7.8150592279599,1.62918832589486,1.16278189948698e-08,2.25197000786719e-07,"Mz_vs_On","Mz higher"
"ttll9",72.054514110141,-11.1244680808023,3.40493953620327,1.27379797809277e-08,2.45458663460068e-07,"Mz_vs_On","On higher"
