sample,MEdarkturquoise,MEgrey60,MElightcyan,MEpurple,MEgreen,MEsalmon,MElightgreen,MEgreenyellow,MElightyellow,MEroyalblue,MEred,MEtan,MEcyan,MEdarkgreen,MEdarkred,MEblue,MEmagenta,MEturquoise,MEbrown,MEpink,MEblack,MEmidnightblue,MEyellow,MEgrey
Ab_5_Eye,0.3837823807571068,-0.2797969171615314,0.2501029005608002,0.3087170856415816,-0.41756175125194506,-0.11264751582357856,-0.25130858055826905,0.2004467594778359,0.214046386406804,-0.14490601878856674,0.26666323375391715,-0.2674655770465721,-0.44900373711823727,0.271497609912253,-0.29078297590224994,-0.3673318883894031,-0.22452639711842956,0.10664805071176853,0.40311050571624574,0.3934833697585468,-0.2253682200985552,0.3188404922381456,0.3691979822428924,0.31487670969019277
Ab_6_Eye,0.23345378226300073,-0.2178528597936933,0.30481025427319153,0.3807458175818027,-0.3799383008216447,0.2548115744163225,-0.25372930898727475,0.2377027250476358,0.17459250743908594,-0.05947110869523731,0.1267520867480073,-0.21495638779436155,-0.38903237694258774,0.13742696312094804,-0.18574943825031698,-0.339778211622881,-0.2227734778426299,0.34167189664650577,0.5640356103299307,0.40286553920418977,-0.18944803339591276,0.25059488800108076,0.3191611997700896,0.058986578462724176
Mz_1_Eye,0.3398508605493183,0.52232812061703,-0.32735056090979775,-0.22793030495549652,-0.08391007892706873,-0.26778316747200764,-0.1647954150701787,-0.21594975168928787,-0.2606609091591547,-0.030876115975886673,0.23623904758935083,0.3599030656947442,0.23072867195734592,-0.3902465327674357,-0.3185690618527215,0.17482318065983882,-0.07635988288375639,-0.008189143075194055,-0.016688806660119793,-0.1887807103836568,0.568885106757575,0.250294955635492,0.4420464685536952,0.32461950563640835
Mz_2_Eye,0.36273002243994873,0.4414895635040672,0.043984579034203795,-0.219043819660393,-0.14555576785703903,-0.3334081590543891,-0.21112699740886556,-0.15183189689601717,-0.17987739400606173,0.2776757850972993,0.2393311997581328,0.2995279245113538,0.2706217167741077,-0.35779563490990457,-0.32193186190613754,0.027561598270389412,-0.15282404941579955,-0.116119323967243,-0.06826207818585564,0.16005452210398285,0.5326421329427352,0.2318363106203949,0.4076439655156899,-0.22909961838262544
Nb_4_Eye,0.18302681789810024,0.28584545447376963,0.34347686396116384,0.43334391969041175,0.495101910761039,0.3858485971871306,-0.22374331423360957,-0.4065486338087834,-0.5287540568581651,-0.4671263370266824,-0.39002081954768303,-0.35058136568398124,0.15543946649270673,0.13860942012710256,0.26409711388897056,-0.4175259931686358,-0.24177981252178302,-0.5065518378210074,-0.37353209758087946,-0.44821733648692835,-0.3178175543192438,-0.38998651661563277,-0.37213008441841505,0.1510292894617348
Nb_5_Eye,0.1563259360527543,0.2869466478619257,0.3584315097550727,0.44355628293667515,0.5117536408781869,0.41562684722245996,-0.22425907157002817,-0.39704259578641493,-0.5316211195736736,-0.4417946673002804,-0.39928966323803367,-0.3418840888899267,0.10952168663766401,0.09825487937156518,0.23926455734195326,-0.41059545561391225,-0.2203319663767611,-0.5003761004661529,-0.3643642813928857,-0.4394300291559686,-0.31273264101010234,-0.38975222348146044,-0.3622782837288362,0.08182749527729212
On_1_Eye,-0.25718069756346335,-0.1723720275244191,0.2745174502693283,-0.1948330134368636,0.06146998395621485,0.03795854371583271,-0.06327080712100494,-0.13388449368755956,0.25021636654415624,0.4776274152120966,-0.31551942018682827,-0.19957680284488097,-0.2816967176826396,-0.2837175893064855,-0.21465228541319006,0.20008933261530296,0.48311275785848085,0.1464445576558,0.017043934468076845,0.4029669857009085,0.08844174398239218,0.20835628969459952,-0.1551058517448808,0.011033304399244565
On_2_Eye,-0.3654437434797899,-0.12338991259773072,-0.4918507770102169,-0.3190105341736388,0.029426738713513208,0.25490183713066783,-0.09186015844766471,-0.22166855072521444,0.23109400966841143,-0.324933455972515,-0.3348917072159365,-0.22169381919992306,-0.32017203649798975,-0.346112113192016,-0.22032277322078672,0.23529034780501745,0.5493075631889336,0.33205991723663564,-0.33830062532229466,-0.20677044237567072,0.10380889155110762,0.2540543028886903,-0.13375745103793574,0.20163701741225548
On_3_Eye,-0.1266008521070241,0.02234532419812118,-0.31701126649799943,0.026408507219773524,0.30623457787989083,0.2735356748462756,0.05027036468398974,-0.060123568218305695,-0.026612075205646634,0.06741652090822252,-0.2397047854160474,-0.05747604013362362,-0.20813555429951175,-0.2615346043345037,-0.10385235581864488,0.4653796776425794,0.43801320716383485,0.4466022184816389,0.3431761800627847,-0.12147049136931468,0.1718879273449267,0.17601697646019046,2.018429551034675e-4,-0.07879946280485976
Pn_2_Eye,-0.2775159493608428,-0.2859910503728706,-0.08972170852056244,-0.1771750701866649,-0.11375675756001859,-0.3006794877226958,0.46885178357721125,0.38800739583966126,0.22406783429603444,0.2668502611843111,0.26324159852678397,0.3007513069383548,0.28630718567725505,0.3429458441724294,0.3726344808311874,0.11610387478032103,-0.11633813183248479,-0.09263729153488241,-0.05485218833621373,0.06928820325944124,-0.14523086432363647,-0.2998240293125663,-0.1776078258407854,-0.7907764756808684
Pn_3_Eye,-0.331790958878348,-0.2510790041361285,-0.14200560142092086,-0.23168398578139254,-0.12807747268630673,-0.32967594344277995,0.4809850435337256,0.37963778766753975,0.22915765911246067,0.22533939102931266,0.2763255069982721,0.3514754071796976,0.29663664503012677,0.3362417802993036,0.3746462162466528,0.1583386175463556,-0.11115938965876401,-0.0895530512619143,-0.07021396512245083,0.02431609988157752,-0.1447443226347727,-0.30357377465225444,-0.17644996658610798,-0.15805473696999597
Pn_4_Eye,-0.3006375985707613,-0.22847333906854084,-0.20738364349426322,-0.22309488487579515,-0.13518672308482194,-0.2784888010032382,0.48398646160196906,0.3812548227789109,0.2043507913357491,0.15419833032792613,0.27087372223006456,0.34197637726911917,0.29878504997176014,0.31442997750674345,0.4052183840552835,0.1576449194750281,-0.10434042056084095,-0.05999989260595638,-0.041152187976339155,-0.04830571013710659,-0.13032416679651437,-0.3068576714766799,-0.1609219956805095,0.11272039349849672
