Gene	Pn_2_Eye	Pn_3_Eye	Pn_4_Eye
ENSPNYG00000000177	3	7	3
ENSPNYG00000000178	5	0	5
ENSPNYG00000000179	5	4	3
ENSPNYG00000000180	1	0	0
ENSPNYG00000000181	240	304	315
ENSPNYG00000000182	2	2	2
ENSPNYG00000000183	16	21	21
ENSPNYG00000000184	9	2	13
ENSPNYG00000000185	0	0	0
ENSPNYG00000000186	8	4	4
ENSPNYG00000000187	4	7	6
ENSPNYG00000000188	1	0	0
ENSPNYG00000000189	0	0	0
ENSPNYG00000000190	4	3	0
ENSPNYG00000000191	11	8	27
ENSPNYG00000000192	0	0	0
ENSPNYG00000000193	30	16	27
ENSPNYG00000000194	9	54	39
ENSPNYG00000000195	0	0	0
ENSPNYG00000000196	13	15	24
ENSPNYG00000000197	0	0	0
ENSPNYG00000000198	0	1	0
ENSPNYG00000000199	0	1	0
ENSPNYG00000000200	10	9	14
ENSPNYG00000000201	0	0	1
ENSPNYG00000000202	7	0	11
ENSPNYG00000000203	871	559	958
ENSPNYG00000000204	516	351	511
ENSPNYG00000000205	5	7	5
ENSPNYG00000000206	1839	2174	2599
ENSPNYG00000000207	762	1143	999
ENSPNYG00000000208	9	1	7
ENSPNYG00000000209	6	1	2
ENSPNYG00000000210	27	13	18
ENSPNYG00000000211	0	2	0
ENSPNYG00000000212	1	3	3
ENSPNYG00000000213	1	0	1
ENSPNYG00000000214	1050	1318	1577
ENSPNYG00000000215	0	1	1
ENSPNYG00000000216	0	0	3
ENSPNYG00000000217	1	2	1
ENSPNYG00000000218	1	0	2
ENSPNYG00000000219	3	6	8
ENSPNYG00000000220	0	1	5
ENSPNYG00000000221	5	1	6
ENSPNYG00000000222	3	4	3
ENSPNYG00000000223	0	1	0
ENSPNYG00000000224	4	0	0
ENSPNYG00000000225	0	0	0
ENSPNYG00000000226	1	0	0
ENSPNYG00000000227	0	0	1
ENSPNYG00000000228	1	0	0
ENSPNYG00000000229	0	0	0
ENSPNYG00000000230	0	0	0
ENSPNYG00000000231	0	0	0
ENSPNYG00000000232	0	0	0
ENSPNYG00000000233	106	92	76
ENSPNYG00000000234	0	0	0
ENSPNYG00000000235	0	0	1
ENSPNYG00000000236	1	1	0
ENSPNYG00000000237	1	0	0
ENSPNYG00000000238	5	2	6
ENSPNYG00000000239	0	0	1
ENSPNYG00000000240	7	7	2
ENSPNYG00000000241	4	12	5
ENSPNYG00000000242	3	2	6
ENSPNYG00000000243	1	1	1
ENSPNYG00000000244	0	0	0
ENSPNYG00000000245	1	4	7
ENSPNYG00000000246	0	0	0
ENSPNYG00000000247	1	0	0
ENSPNYG00000000248	0	0	0
ENSPNYG00000000249	0	0	0
ENSPNYG00000000250	0	0	0
ENSPNYG00000000251	0	0	0
ENSPNYG00000000252	1	0	0
ENSPNYG00000000253	0	0	0
ENSPNYG00000000254	3	1	1
ENSPNYG00000000255	1	0	0
ENSPNYG00000000256	0	0	0
ENSPNYG00000000257	4	5	3
ENSPNYG00000000258	623	536	506
ENSPNYG00000000259	0	0	0
ENSPNYG00000000260	0	0	0
ENSPNYG00000000261	6	1	1
ENSPNYG00000000262	4	5	5
ENSPNYG00000000263	0	0	2
ENSPNYG00000000264	0	0	0
ENSPNYG00000000265	12	9	5
ENSPNYG00000000266	2	0	0
ENSPNYG00000000267	307	275	285
ENSPNYG00000000268	1	1	3
ENSPNYG00000000269	0	0	0
ENSPNYG00000000270	0	0	0
ENSPNYG00000000271	5	6	8
ENSPNYG00000000272	2	5	4
ENSPNYG00000000273	0	0	0
ENSPNYG00000000274	1	0	0
ENSPNYG00000000275	2	6	1
ENSPNYG00000000276	38850	78049	58961
ENSPNYG00000000277	16	28	17
ENSPNYG00000000278	9	3	8
ENSPNYG00000000279	10	7	11
ENSPNYG00000000280	0	0	0
ENSPNYG00000000281	0	0	0
ENSPNYG00000000282	406	413	402
ENSPNYG00000000283	0	0	0
ENSPNYG00000000284	0	0	0
ENSPNYG00000000285	12	1	9
ENSPNYG00000000286	8	14	7
ENSPNYG00000000287	1	1	1
ENSPNYG00000000288	0	0	0
ENSPNYG00000000289	5	1	7
ENSPNYG00000000290	0	1	0
ENSPNYG00000000291	0	0	0
ENSPNYG00000000292	1	3	9
ENSPNYG00000000293	4	5	7
ENSPNYG00000000294	1	0	0
ENSPNYG00000000295	0	0	0
ENSPNYG00000000296	5	3	10
ENSPNYG00000000297	1	0	1
ENSPNYG00000000298	3	5	4
ENSPNYG00000000299	0	0	0
ENSPNYG00000000300	0	0	0
ENSPNYG00000000301	23	47	15
ENSPNYG00000000302	10333	8372	9553
ENSPNYG00000000303	87	122	171
ENSPNYG00000000304	0	0	0
ENSPNYG00000000305	45	78	162
ENSPNYG00000000306	0	0	0
ENSPNYG00000000307	4	0	2
ENSPNYG00000000308	1	2	0
ENSPNYG00000000309	0	2	0
ENSPNYG00000000310	0	0	0
ENSPNYG00000000311	604	617	770
ENSPNYG00000000312	0	1	0
ENSPNYG00000000313	3	3	0
ENSPNYG00000000314	1	0	6
ENSPNYG00000000315	257	186	161
ENSPNYG00000000316	0	0	2
ENSPNYG00000000317	1	0	5
ENSPNYG00000000318	0	0	0
ENSPNYG00000000319	0	0	0
ENSPNYG00000000320	0	0	0
ENSPNYG00000000321	0	0	0
ENSPNYG00000000322	7	8	11
ENSPNYG00000000323	0	2	0
ENSPNYG00000000324	7	2	7
ENSPNYG00000000325	0	0	1
ENSPNYG00000000326	2168	2533	2487
ENSPNYG00000000327	2	3	0
ENSPNYG00000000328	0	0	0
ENSPNYG00000000329	1	1	3
ENSPNYG00000000330	122	106	120
ENSPNYG00000000331	0	0	1
ENSPNYG00000000332	1	2	1
ENSPNYG00000000333	0	0	1
ENSPNYG00000000334	0	0	0
ENSPNYG00000000335	1	0	0
ENSPNYG00000000336	0	1	0
ENSPNYG00000000337	0	0	0
ENSPNYG00000000338	0	0	0
ENSPNYG00000000339	3	0	0
ENSPNYG00000000340	0	0	0
ENSPNYG00000000341	0	0	0
ENSPNYG00000000342	1	5	10
ENSPNYG00000000343	61	13	39
ENSPNYG00000000344	0	0	3
ENSPNYG00000000345	2	2	0
ENSPNYG00000000346	0	0	0
ENSPNYG00000000347	0	4	6
ENSPNYG00000000348	0	0	1
ENSPNYG00000000349	0	0	0
ENSPNYG00000000350	0	0	0
ENSPNYG00000000351	18	14	28
ENSPNYG00000000352	0	0	0
ENSPNYG00000000353	0	0	0
ENSPNYG00000000354	0	0	0
ENSPNYG00000000355	4	4	19
ENSPNYG00000000356	0	1	0
ENSPNYG00000000357	0	0	0
ENSPNYG00000000358	13	6	10
ENSPNYG00000000359	0	3	2
ENSPNYG00000000360	11	6	6
ENSPNYG00000000361	1649	2149	1605
ENSPNYG00000000362	1	0	0
ENSPNYG00000000363	1	0	0
ENSPNYG00000000364	117	117	97
ENSPNYG00000000365	14	2	9
ENSPNYG00000000366	0	0	2
ENSPNYG00000000367	0	1	0
ENSPNYG00000000368	0	0	0
ENSPNYG00000000369	7	10	10
ENSPNYG00000000370	1	0	1
ENSPNYG00000000371	0	3	1
ENSPNYG00000000372	1	0	0
ENSPNYG00000000373	5	5	25
ENSPNYG00000000374	0	0	0
ENSPNYG00000000375	25	5	9
ENSPNYG00000000376	4	0	2
ENSPNYG00000000377	2246	1753	2041
ENSPNYG00000000378	1922	1823	1701
ENSPNYG00000000379	6	6	2
ENSPNYG00000000380	0	5	1
ENSPNYG00000000381	12	4	2
ENSPNYG00000000382	4	0	2
ENSPNYG00000000383	0	0	0
ENSPNYG00000000384	5	7	11
ENSPNYG00000000385	0	0	0
ENSPNYG00000000386	0	0	0
ENSPNYG00000000387	2452	1686	1928
ENSPNYG00000000388	0	0	0
ENSPNYG00000000389	0	1	6
ENSPNYG00000000390	0	0	0
ENSPNYG00000000391	0	0	0
ENSPNYG00000000392	9	4	5
ENSPNYG00000000393	63	35	32
ENSPNYG00000000394	243	245	317
ENSPNYG00000000395	1	4	10
ENSPNYG00000000396	0	0	0
ENSPNYG00000000397	0	1	2
ENSPNYG00000000398	4	6	5
ENSPNYG00000000399	2	5	2
ENSPNYG00000000400	5	3	1
ENSPNYG00000000401	7	2	4
ENSPNYG00000000402	0	2	0
ENSPNYG00000000403	7	1	0
ENSPNYG00000000404	2	2	3
ENSPNYG00000000405	0	0	1
ENSPNYG00000000406	1	3	4
ENSPNYG00000000407	8	4	1
ENSPNYG00000000408	0	0	0
ENSPNYG00000000409	0	0	0
ENSPNYG00000000410	2	5	14
ENSPNYG00000000411	0	0	0
