Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000200	0	0
ENSHBUG00000000201	0	0
ENSHBUG00000000202	0	0
ENSHBUG00000000203	0	0
ENSHBUG00000000204	0	0
ENSHBUG00000000205	559	570
ENSHBUG00000000206	67	76
ENSHBUG00000000207	0	0
ENSHBUG00000000208	175	212
ENSHBUG00000000209	2	37
ENSHBUG00000000210	0	0
ENSHBUG00000000211	0	0
ENSHBUG00000000212	2	6
ENSHBUG00000000213	0	0
ENSHBUG00000000214	1	49
ENSHBUG00000000215	1	43
ENSHBUG00000000216	0	0
ENSHBUG00000000217	1	22
ENSHBUG00000000218	0	0
ENSHBUG00000000219	0	0
ENSHBUG00000000220	0	0
ENSHBUG00000000221	0	0
ENSHBUG00000000222	72	83
ENSHBUG00000000223	1	32
ENSHBUG00000000224	1	23
ENSHBUG00000000225	1	45
ENSHBUG00000000226	0	0
ENSHBUG00000000227	1	2
ENSHBUG00000000228	286	318
ENSHBUG00000000229	0	0
ENSHBUG00000000230	0	0
ENSHBUG00000000231	17	19
ENSHBUG00000000232	0	0
ENSHBUG00000000233	1	12
ENSHBUG00000000234	41	54
ENSHBUG00000000235	0	0
ENSHBUG00000000236	0	0
ENSHBUG00000000237	0	0
ENSHBUG00000000238	0	0
ENSHBUG00000000239	3	25
ENSHBUG00000000240	0	0
ENSHBUG00000000241	0	0
ENSHBUG00000000242	0	0
ENSHBUG00000000243	9	11
ENSHBUG00000000244	0	0
ENSHBUG00000000245	2	32
ENSHBUG00000000246	0	0
ENSHBUG00000000247	1	45
ENSHBUG00000000248	0	0
ENSHBUG00000000249	0	0
ENSHBUG00000000250	0	0
ENSHBUG00000000251	3	39
ENSHBUG00000000252	1	46
ENSHBUG00000000253	0	0
ENSHBUG00000000254	0	0
ENSHBUG00000000255	4	25
ENSHBUG00000000256	1	14
ENSHBUG00000000257	0	0
ENSHBUG00000000258	0	0
ENSHBUG00000000259	4	6
ENSHBUG00000000260	9	30
ENSHBUG00000000261	0	0
ENSHBUG00000000262	1	39
