Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000006552	3	28
ENSHBUG00000006553	11	28
ENSHBUG00000006554	0	0
ENSHBUG00000006555	0	0
ENSHBUG00000006556	0	0
ENSHBUG00000006557	0	0
ENSHBUG00000006558	8	17
ENSHBUG00000006559	0	0
ENSHBUG00000006560	1	37
ENSHBUG00000006561	2	50
ENSHBUG00000006562	11	43
ENSHBUG00000006563	2	22
ENSHBUG00000006564	0	0
ENSHBUG00000006565	6	21
ENSHBUG00000006566	42	71
ENSHBUG00000006567	0	0
ENSHBUG00000006568	0	0
ENSHBUG00000006569	0	0
ENSHBUG00000006570	0	0
ENSHBUG00000006571	0	0
ENSHBUG00000006572	0	0
ENSHBUG00000006573	0	0
ENSHBUG00000006574	2	12
ENSHBUG00000006575	1	17
ENSHBUG00000006576	10	57
ENSHBUG00000006577	0	0
ENSHBUG00000006578	0	0
ENSHBUG00000006579	1	39
ENSHBUG00000006580	0	0
ENSHBUG00000006581	2	40
ENSHBUG00000006582	0	0
ENSHBUG00000006583	0	0
ENSHBUG00000006584	154	200
ENSHBUG00000006585	0	0
ENSHBUG00000006586	1	31
ENSHBUG00000006587	182	197
ENSHBUG00000006588	767	779
ENSHBUG00000006589	0	0
ENSHBUG00000006590	0	0
ENSHBUG00000006591	0	0
ENSHBUG00000006592	573	601
ENSHBUG00000006593	0	0
ENSHBUG00000006594	0	0
ENSHBUG00000006595	2	6
ENSHBUG00000006596	1	46
ENSHBUG00000006597	0	0
ENSHBUG00000006598	5	51
ENSHBUG00000006599	0	0
ENSHBUG00000006600	0	0
ENSHBUG00000006601	0	0
ENSHBUG00000006602	0	0
ENSHBUG00000006603	0	0
ENSHBUG00000006604	1	39
ENSHBUG00000006605	2	37
ENSHBUG00000006606	0	0
ENSHBUG00000006607	4	51
ENSHBUG00000006608	0	0
ENSHBUG00000006609	105	130
ENSHBUG00000006610	0	0
ENSHBUG00000006611	0	0
ENSHBUG00000006612	0	0
ENSHBUG00000006613	2	50
ENSHBUG00000006614	3	7
ENSHBUG00000006615	0	0
ENSHBUG00000006616	0	0
ENSHBUG00000006617	0	0
ENSHBUG00000006618	0	0
ENSHBUG00000006619	0	0
ENSHBUG00000006620	1	48
ENSHBUG00000006621	0	0
ENSHBUG00000006622	90	93
ENSHBUG00000006623	1	22
ENSHBUG00000006624	0	0
ENSHBUG00000006625	5	46
ENSHBUG00000006626	0	0
ENSHBUG00000006627	0	0
ENSHBUG00000006628	0	0
ENSHBUG00000006629	2	35
ENSHBUG00000006630	39	42
ENSHBUG00000006631	0	0
ENSHBUG00000006632	0	0
ENSHBUG00000006633	0	0
ENSHBUG00000006634	1	24
ENSHBUG00000006635	15	52
ENSHBUG00000006636	0	0
ENSHBUG00000006637	3	22
ENSHBUG00000006638	0	0
ENSHBUG00000006639	0	0
ENSHBUG00000006640	0	0
ENSHBUG00000006641	0	0
ENSHBUG00000006642	0	0
ENSHBUG00000006643	0	0
ENSHBUG00000006644	0	0
ENSHBUG00000006645	0	0
ENSHBUG00000006646	0	0
ENSHBUG00000006647	6	11
ENSHBUG00000006648	0	0
ENSHBUG00000006649	0	0
ENSHBUG00000006650	30	36
ENSHBUG00000006651	0	0
ENSHBUG00000006652	11	57
ENSHBUG00000006653	1	49
ENSHBUG00000006654	4	26
ENSHBUG00000006655	0	0
ENSHBUG00000006656	0	0
ENSHBUG00000006657	0	0
ENSHBUG00000006658	0	0
ENSHBUG00000006659	3	12
ENSHBUG00000006660	0	0
ENSHBUG00000006661	2	33
ENSHBUG00000006662	0	0
ENSHBUG00000006663	0	0
ENSHBUG00000006664	3	21
ENSHBUG00000006665	6	37
ENSHBUG00000006666	152	185
ENSHBUG00000006667	0	0
ENSHBUG00000006668	2	26
ENSHBUG00000006669	0	0
ENSHBUG00000006670	0	0
ENSHBUG00000006671	7	52
ENSHBUG00000006672	0	0
ENSHBUG00000006673	0	0
ENSHBUG00000006674	0	0
ENSHBUG00000006675	0	0
ENSHBUG00000006676	0	0
ENSHBUG00000006677	866	891
ENSHBUG00000006678	0	0
ENSHBUG00000006679	7	25
ENSHBUG00000006680	0	0
ENSHBUG00000006681	1	29
ENSHBUG00000006682	0	0
ENSHBUG00000006683	0	0
ENSHBUG00000006684	1	7
ENSHBUG00000006685	0	0
ENSHBUG00000006686	14	19
ENSHBUG00000006687	0	0
ENSHBUG00000006688	131	162
ENSHBUG00000006689	103	125
ENSHBUG00000006690	1	35
ENSHBUG00000006691	1	43
ENSHBUG00000006692	1	20
ENSHBUG00000006693	0	0
ENSHBUG00000006694	7	45
ENSHBUG00000006695	0	0
ENSHBUG00000006696	0	0
ENSHBUG00000006697	2	9
ENSHBUG00000006698	0	0
ENSHBUG00000006699	1	28
ENSHBUG00000006700	0	0
ENSHBUG00000006701	1	16
ENSHBUG00000006702	313	336
ENSHBUG00000006703	0	0
ENSHBUG00000006704	0	0
ENSHBUG00000006705	0	0
ENSHBUG00000006706	0	0
ENSHBUG00000006707	0	0
ENSHBUG00000006708	0	0
ENSHBUG00000006709	0	0
ENSHBUG00000006710	4	37
ENSHBUG00000006711	4	35
ENSHBUG00000006712	0	0
ENSHBUG00000006713	0	0
ENSHBUG00000006714	3	41
ENSHBUG00000006715	1504	1533
ENSHBUG00000006716	0	0
ENSHBUG00000006717	0	0
ENSHBUG00000006718	0	0
ENSHBUG00000006719	0	0
ENSHBUG00000006720	0	0
ENSHBUG00000006721	0	0
ENSHBUG00000006722	0	0
ENSHBUG00000006723	459	460
ENSHBUG00000006724	0	0
ENSHBUG00000006725	0	0
ENSHBUG00000006726	0	0
ENSHBUG00000006727	0	0
ENSHBUG00000006728	2	19
ENSHBUG00000006729	0	0
ENSHBUG00000006730	17	57
ENSHBUG00000006731	2	5
ENSHBUG00000006732	1	16
ENSHBUG00000006733	1	43
ENSHBUG00000006734	1	30
ENSHBUG00000006735	3	34
ENSHBUG00000006736	0	0
ENSHBUG00000006737	0	0
ENSHBUG00000006738	0	0
ENSHBUG00000006739	620	629
ENSHBUG00000006740	2	35
ENSHBUG00000006741	0	0
ENSHBUG00000006742	0	0
ENSHBUG00000006743	0	0
ENSHBUG00000006744	0	0
ENSHBUG00000006745	0	0
ENSHBUG00000006746	0	0
ENSHBUG00000006747	1	22
ENSHBUG00000006748	4	29
ENSHBUG00000006749	0	0
ENSHBUG00000006750	0	0
ENSHBUG00000006751	0	0
ENSHBUG00000006752	0	0
ENSHBUG00000006753	0	0
ENSHBUG00000006754	0	0
ENSHBUG00000006755	81	102
ENSHBUG00000006756	1	19
ENSHBUG00000006757	0	0
ENSHBUG00000006758	0	0
ENSHBUG00000006759	1	10
ENSHBUG00000006760	0	0
ENSHBUG00000006761	1	39
ENSHBUG00000006762	2	10
ENSHBUG00000006763	7	34
ENSHBUG00000006764	2	46
ENSHBUG00000006765	1	39
ENSHBUG00000006766	0	0
ENSHBUG00000006767	1	40
ENSHBUG00000006768	0	0
ENSHBUG00000006769	0	0
ENSHBUG00000006770	2	10
ENSHBUG00000006771	0	0
ENSHBUG00000006772	0	0
ENSHBUG00000006773	0	0
ENSHBUG00000006774	30	69
ENSHBUG00000006775	9	52
ENSHBUG00000006776	0	0
ENSHBUG00000006777	142	144
ENSHBUG00000006778	1	9
ENSHBUG00000006779	1	44
ENSHBUG00000006780	1	2
ENSHBUG00000006781	5	18
ENSHBUG00000006782	0	0
ENSHBUG00000006783	0	0
ENSHBUG00000006784	8	43
ENSHBUG00000006785	28	60
ENSHBUG00000006786	0	0
ENSHBUG00000006787	25	51
ENSHBUG00000006788	0	0
ENSHBUG00000006789	0	0
ENSHBUG00000006790	0	0
ENSHBUG00000006791	0	0
ENSHBUG00000006792	7	23
ENSHBUG00000006793	1	37
ENSHBUG00000006794	0	0
ENSHBUG00000006795	30	42
ENSHBUG00000006796	1	33
ENSHBUG00000006797	0	0
ENSHBUG00000006798	22	65
ENSHBUG00000006799	4	24
ENSHBUG00000006800	1	39
ENSHBUG00000006801	0	0
ENSHBUG00000006802	0	0
ENSHBUG00000006803	1	5
ENSHBUG00000006804	0	0
ENSHBUG00000006805	0	0
ENSHBUG00000006806	0	0
ENSHBUG00000006807	0	0
ENSHBUG00000006808	4	49
ENSHBUG00000006809	9	20
ENSHBUG00000006810	340	368
ENSHBUG00000006811	7	54
ENSHBUG00000006812	8	36
ENSHBUG00000006813	0	0
ENSHBUG00000006814	6	36
ENSHBUG00000006815	9	57
ENSHBUG00000006816	0	0
ENSHBUG00000006817	0	0
ENSHBUG00000006818	0	0
ENSHBUG00000006819	0	0
ENSHBUG00000006820	3	10
ENSHBUG00000006821	90	93
ENSHBUG00000006822	0	0
ENSHBUG00000006823	0	0
ENSHBUG00000006824	0	0
ENSHBUG00000006825	118	160
ENSHBUG00000006826	9	43
ENSHBUG00000006827	0	0
ENSHBUG00000006828	0	0
ENSHBUG00000006829	1	37
ENSHBUG00000006830	0	0
ENSHBUG00000006831	1	14
ENSHBUG00000006832	1	33
ENSHBUG00000006833	0	0
ENSHBUG00000006834	0	0
ENSHBUG00000006835	0	0
ENSHBUG00000006836	3	24
ENSHBUG00000006837	0	0
ENSHBUG00000006838	0	0
ENSHBUG00000006839	0	0
ENSHBUG00000006840	0	0
ENSHBUG00000006841	0	0
ENSHBUG00000006842	52	61
ENSHBUG00000006843	0	0
ENSHBUG00000006844	0	0
ENSHBUG00000006845	0	0
ENSHBUG00000006846	0	0
ENSHBUG00000006847	0	0
ENSHBUG00000006848	0	0
ENSHBUG00000006849	1442	1453
ENSHBUG00000006850	0	0
ENSHBUG00000006851	56	66
ENSHBUG00000006852	0	0
ENSHBUG00000006853	27	65
ENSHBUG00000006854	0	0
ENSHBUG00000006855	0	0
ENSHBUG00000006856	0	0
ENSHBUG00000006857	2	44
ENSHBUG00000006858	35	62
ENSHBUG00000006859	0	0
ENSHBUG00000006860	5	33
ENSHBUG00000006861	0	0
ENSHBUG00000006862	0	0
ENSHBUG00000006863	0	0
ENSHBUG00000006864	0	0
ENSHBUG00000006865	0	0
ENSHBUG00000006866	0	0
ENSHBUG00000006867	0	0
ENSHBUG00000006868	0	0
ENSHBUG00000006869	4	26
ENSHBUG00000006870	307	329
ENSHBUG00000006871	4	45
ENSHBUG00000006872	1	30
ENSHBUG00000006873	0	0
ENSHBUG00000006874	0	0
ENSHBUG00000006875	0	0
ENSHBUG00000006876	3	13
ENSHBUG00000006877	4	22
ENSHBUG00000006878	0	0
ENSHBUG00000006879	0	0
ENSHBUG00000006880	0	0
ENSHBUG00000006881	0	0
ENSHBUG00000006882	0	0
ENSHBUG00000006883	0	0
ENSHBUG00000006884	2	34
ENSHBUG00000006885	0	0
ENSHBUG00000006886	0	0
ENSHBUG00000006887	2	43
ENSHBUG00000006888	0	0
ENSHBUG00000006889	0	0
ENSHBUG00000006890	0	0
ENSHBUG00000006891	1	21
ENSHBUG00000006892	0	0
ENSHBUG00000006893	1	8
ENSHBUG00000006894	0	0
ENSHBUG00000006895	0	0
ENSHBUG00000006896	0	0
ENSHBUG00000006897	14	52
ENSHBUG00000006898	0	0
ENSHBUG00000006899	8	14
ENSHBUG00000006900	41	48
ENSHBUG00000006901	0	0
ENSHBUG00000006902	0	0
ENSHBUG00000006903	0	0
ENSHBUG00000006904	172	210
ENSHBUG00000006905	0	0
ENSHBUG00000006906	0	0
ENSHBUG00000006907	0	0
ENSHBUG00000006908	0	0
ENSHBUG00000006909	0	0
ENSHBUG00000006910	0	0
ENSHBUG00000006911	54	98
ENSHBUG00000006912	1	28
ENSHBUG00000006913	1	31
ENSHBUG00000006914	1	47
ENSHBUG00000006915	0	0
ENSHBUG00000006916	5	44
ENSHBUG00000006917	0	0
ENSHBUG00000006918	1	36
ENSHBUG00000006919	0	0
ENSHBUG00000006920	126	134
ENSHBUG00000006921	1	26
ENSHBUG00000006922	0	0
ENSHBUG00000006923	0	0
ENSHBUG00000006924	6	52
ENSHBUG00000006925	0	0
ENSHBUG00000006926	1	19
ENSHBUG00000006927	0	0
ENSHBUG00000006928	1	6
ENSHBUG00000006929	0	0
ENSHBUG00000006930	0	0
ENSHBUG00000006931	0	0
ENSHBUG00000006932	5	24
ENSHBUG00000006933	0	0
ENSHBUG00000006934	0	0
ENSHBUG00000006935	1	16
ENSHBUG00000006936	0	0
ENSHBUG00000006937	0	0
ENSHBUG00000006938	2	9
ENSHBUG00000006939	0	0
ENSHBUG00000006940	0	0
ENSHBUG00000006941	0	0
ENSHBUG00000006942	0	0
ENSHBUG00000006943	1	2
ENSHBUG00000006944	0	0
ENSHBUG00000006945	0	0
ENSHBUG00000006946	1	41
ENSHBUG00000006947	4	34
ENSHBUG00000006948	0	0
ENSHBUG00000006949	0	0
ENSHBUG00000006950	0	0
ENSHBUG00000006951	0	0
ENSHBUG00000006952	0	0
ENSHBUG00000006953	27	37
ENSHBUG00000006954	0	0
ENSHBUG00000006955	0	0
ENSHBUG00000006956	25	65
ENSHBUG00000006957	2	8
ENSHBUG00000006958	1089	1104
ENSHBUG00000006959	0	0
ENSHBUG00000006960	0	0
ENSHBUG00000006961	175	208
ENSHBUG00000006962	0	0
ENSHBUG00000006963	0	0
ENSHBUG00000006964	179	216
ENSHBUG00000006965	0	0
ENSHBUG00000006966	0	0
ENSHBUG00000006967	0	0
ENSHBUG00000006968	44	54
ENSHBUG00000006969	0	0
ENSHBUG00000006970	0	0
ENSHBUG00000006971	0	0
ENSHBUG00000006972	0	0
ENSHBUG00000006973	0	0
ENSHBUG00000006974	0	0
ENSHBUG00000006975	6	47
ENSHBUG00000006976	0	0
ENSHBUG00000006977	1	41
ENSHBUG00000006978	0	0
ENSHBUG00000006979	1	18
ENSHBUG00000006980	268	279
ENSHBUG00000006981	0	0
ENSHBUG00000006982	0	0
ENSHBUG00000006983	1	45
ENSHBUG00000006984	0	0
ENSHBUG00000006985	0	0
ENSHBUG00000006986	1	41
ENSHBUG00000006987	1	14
ENSHBUG00000006988	2	29
ENSHBUG00000006989	0	0
ENSHBUG00000006990	1	49
ENSHBUG00000006991	0	0
ENSHBUG00000006992	4	32
ENSHBUG00000006993	0	0
ENSHBUG00000006994	1	39
ENSHBUG00000006995	0	0
ENSHBUG00000006996	0	0
ENSHBUG00000006997	0	0
ENSHBUG00000006998	0	0
ENSHBUG00000006999	0	0
ENSHBUG00000007000	1	33
ENSHBUG00000007001	0	0
ENSHBUG00000007002	0	0
ENSHBUG00000007003	155	196
ENSHBUG00000007004	0	0
ENSHBUG00000007005	39	60
ENSHBUG00000007006	3	11
ENSHBUG00000007007	0	0
ENSHBUG00000007008	0	0
ENSHBUG00000007009	0	0
ENSHBUG00000007010	5	22
ENSHBUG00000007011	0	0
ENSHBUG00000007012	1	40
ENSHBUG00000007013	0	0
ENSHBUG00000007014	0	0
ENSHBUG00000007015	0	0
ENSHBUG00000007016	0	0
ENSHBUG00000007017	0	0
ENSHBUG00000007018	397	431
ENSHBUG00000007019	1	47
ENSHBUG00000007020	0	0
ENSHBUG00000007021	0	0
ENSHBUG00000007022	0	0
ENSHBUG00000007023	1	9
ENSHBUG00000007024	0	0
ENSHBUG00000007025	0	0
ENSHBUG00000007026	4	40
ENSHBUG00000007027	3	49
ENSHBUG00000007028	2	34
ENSHBUG00000007029	2	29
ENSHBUG00000007030	1	33
ENSHBUG00000007031	0	0
ENSHBUG00000007032	1	2
ENSHBUG00000007033	0	0
ENSHBUG00000007034	20	57
ENSHBUG00000007035	0	0
ENSHBUG00000007036	1	21
ENSHBUG00000007037	0	0
ENSHBUG00000007038	0	0
ENSHBUG00000007039	0	0
ENSHBUG00000007040	0	0
ENSHBUG00000007041	0	0
ENSHBUG00000007042	0	0
ENSHBUG00000007043	940	975
ENSHBUG00000007044	5	18
ENSHBUG00000007045	1	44
ENSHBUG00000007046	0	0
ENSHBUG00000007047	5	32
ENSHBUG00000007048	5	32
ENSHBUG00000007049	0	0
ENSHBUG00000007050	0	0
ENSHBUG00000007051	0	0
ENSHBUG00000007052	2488	2523
ENSHBUG00000007053	2	20
ENSHBUG00000007054	2	50
ENSHBUG00000007055	15	39
ENSHBUG00000007056	0	0
ENSHBUG00000007057	1	7
ENSHBUG00000007058	0	0
ENSHBUG00000007059	0	0
ENSHBUG00000007060	9	28
ENSHBUG00000007061	0	0
ENSHBUG00000007062	0	0
ENSHBUG00000007063	4	29
ENSHBUG00000007064	1	26
ENSHBUG00000007065	7	37
ENSHBUG00000007066	1	45
ENSHBUG00000007067	617	630
ENSHBUG00000007068	0	0
ENSHBUG00000007069	78	102
ENSHBUG00000007070	0	0
ENSHBUG00000007071	1	15
ENSHBUG00000007072	0	0
ENSHBUG00000007073	0	0
ENSHBUG00000007074	5	53
ENSHBUG00000007075	2	45
ENSHBUG00000007076	150	196
ENSHBUG00000007077	0	0
ENSHBUG00000007078	2	45
ENSHBUG00000007079	2	18
ENSHBUG00000007080	0	0
ENSHBUG00000007081	1	27
ENSHBUG00000007082	0	0
ENSHBUG00000007083	50	67
ENSHBUG00000007084	0	0
ENSHBUG00000007085	16	17
ENSHBUG00000007086	0	0
ENSHBUG00000007087	0	0
ENSHBUG00000007088	0	0
ENSHBUG00000007089	0	0
ENSHBUG00000007090	12	15
ENSHBUG00000007091	6	11
ENSHBUG00000007092	837	847
ENSHBUG00000007093	7	40
ENSHBUG00000007094	3	38
ENSHBUG00000007095	0	0
ENSHBUG00000007096	0	0
ENSHBUG00000007097	3	40
ENSHBUG00000007098	0	0
ENSHBUG00000007099	145	175
ENSHBUG00000007100	2	39
ENSHBUG00000007101	0	0
ENSHBUG00000007102	1	11
ENSHBUG00000007103	5	12
ENSHBUG00000007104	0	0
ENSHBUG00000007105	0	0
ENSHBUG00000007106	79	93
ENSHBUG00000007107	0	0
ENSHBUG00000007108	0	0
ENSHBUG00000007109	0	0
ENSHBUG00000007110	2	24
ENSHBUG00000007111	7	46
ENSHBUG00000007112	0	0
ENSHBUG00000007113	0	0
ENSHBUG00000007114	0	0
ENSHBUG00000007115	431	474
ENSHBUG00000007116	4	18
ENSHBUG00000007117	3	29
ENSHBUG00000007118	0	0
ENSHBUG00000007119	322	327
ENSHBUG00000007120	0	0
ENSHBUG00000007121	0	0
ENSHBUG00000007122	1	29
ENSHBUG00000007123	0	0
ENSHBUG00000007124	1	45
ENSHBUG00000007125	1	30
ENSHBUG00000007126	0	0
ENSHBUG00000007127	0	0
ENSHBUG00000007128	0	0
ENSHBUG00000007129	0	0
ENSHBUG00000007130	0	0
ENSHBUG00000007131	47	78
ENSHBUG00000007132	0	0
ENSHBUG00000007133	179	202
ENSHBUG00000007134	8	17
ENSHBUG00000007135	0	0
ENSHBUG00000007136	2	10
ENSHBUG00000007137	18	58
ENSHBUG00000007138	0	0
ENSHBUG00000007139	1	33
ENSHBUG00000007140	0	0
ENSHBUG00000007141	0	0
ENSHBUG00000007142	781	790
ENSHBUG00000007143	0	0
ENSHBUG00000007144	0	0
ENSHBUG00000007145	1	12
ENSHBUG00000007146	1	34
ENSHBUG00000007147	1	28
ENSHBUG00000007148	0	0
ENSHBUG00000007149	0	0
ENSHBUG00000007150	52	60
ENSHBUG00000007151	0	0
ENSHBUG00000007152	1	46
ENSHBUG00000007153	0	0
ENSHBUG00000007154	0	0
ENSHBUG00000007155	0	0
ENSHBUG00000007156	55	87
ENSHBUG00000007157	13	61
ENSHBUG00000007158	0	0
ENSHBUG00000007159	4	30
ENSHBUG00000007160	1	36
ENSHBUG00000007161	2	25
ENSHBUG00000007162	0	0
ENSHBUG00000007163	6	21
ENSHBUG00000007164	7	26
ENSHBUG00000007165	0	0
ENSHBUG00000007166	616	619
ENSHBUG00000007167	0	0
ENSHBUG00000007168	0	0
ENSHBUG00000007169	2	11
ENSHBUG00000007170	0	0
ENSHBUG00000007171	0	0
ENSHBUG00000007172	0	0
ENSHBUG00000007173	0	0
ENSHBUG00000007174	0	0
ENSHBUG00000007175	1	44
ENSHBUG00000007176	0	0
ENSHBUG00000007177	0	0
ENSHBUG00000007178	0	0
ENSHBUG00000007179	52	87
ENSHBUG00000007180	0	0
ENSHBUG00000007181	7	32
ENSHBUG00000007182	0	0
ENSHBUG00000007183	1	42
ENSHBUG00000007184	0	0
ENSHBUG00000007185	0	0
ENSHBUG00000007186	0	0
ENSHBUG00000007187	3	10
ENSHBUG00000007188	0	0
ENSHBUG00000007189	0	0
ENSHBUG00000007190	3	39
ENSHBUG00000007191	0	0
ENSHBUG00000007192	0	0
ENSHBUG00000007193	0	0
ENSHBUG00000007194	0	0
ENSHBUG00000007195	0	0
ENSHBUG00000007196	4568	4576
ENSHBUG00000007197	0	0
ENSHBUG00000007198	0	0
ENSHBUG00000007199	1	36
ENSHBUG00000007200	0	0
ENSHBUG00000007201	5	11
ENSHBUG00000007202	0	0
ENSHBUG00000007203	0	0
ENSHBUG00000007204	357	367
ENSHBUG00000007205	3	11
ENSHBUG00000007206	0	0
ENSHBUG00000007207	0	0
ENSHBUG00000007208	0	0
ENSHBUG00000007209	0	0
ENSHBUG00000007210	5	47
ENSHBUG00000007211	2	18
ENSHBUG00000007212	0	0
ENSHBUG00000007213	29	58
ENSHBUG00000007214	20	37
ENSHBUG00000007215	3	33
ENSHBUG00000007216	0	0
ENSHBUG00000007217	6	47
ENSHBUG00000007218	0	0
ENSHBUG00000007219	2	21
ENSHBUG00000007220	0	0
ENSHBUG00000007221	0	0
ENSHBUG00000007222	0	0
ENSHBUG00000007223	4	41
ENSHBUG00000007224	1	4
ENSHBUG00000007225	0	0
ENSHBUG00000007226	1	5
ENSHBUG00000007227	0	0
ENSHBUG00000007228	2	26
ENSHBUG00000007229	5	53
ENSHBUG00000007230	0	0
ENSHBUG00000007231	0	0
ENSHBUG00000007232	0	0
ENSHBUG00000007233	1264	1284
ENSHBUG00000007234	0	0
ENSHBUG00000007235	8	56
ENSHBUG00000007236	64	95
ENSHBUG00000007237	0	0
ENSHBUG00000007238	4	5
ENSHBUG00000007239	0	0
ENSHBUG00000007240	0	0
ENSHBUG00000007241	0	0
ENSHBUG00000007242	0	0
ENSHBUG00000007243	1	22
ENSHBUG00000007244	3	51
ENSHBUG00000007245	0	0
ENSHBUG00000007246	151	194
ENSHBUG00000007247	0	0
ENSHBUG00000007248	0	0
ENSHBUG00000007249	5	49
ENSHBUG00000007250	6	7
ENSHBUG00000007251	6	12
ENSHBUG00000007252	9	22
ENSHBUG00000007253	0	0
ENSHBUG00000007254	9	19
ENSHBUG00000007255	0	0
ENSHBUG00000007256	0	0
ENSHBUG00000007257	1	10
ENSHBUG00000007258	48	87
ENSHBUG00000007259	0	0
ENSHBUG00000007260	1	36
ENSHBUG00000007261	0	0
ENSHBUG00000007262	0	0
ENSHBUG00000007263	0	0
ENSHBUG00000007264	0	0
ENSHBUG00000007265	2	47
ENSHBUG00000007266	0	0
ENSHBUG00000007267	5	37
ENSHBUG00000007268	0	0
ENSHBUG00000007269	2	8
ENSHBUG00000007270	3	42
ENSHBUG00000007271	0	0
ENSHBUG00000007272	0	0
ENSHBUG00000007273	3	6
ENSHBUG00000007274	0	0
ENSHBUG00000007275	0	0
ENSHBUG00000007276	1	37
ENSHBUG00000007277	0	0
ENSHBUG00000007278	0	0
ENSHBUG00000007279	0	0
ENSHBUG00000007280	0	0
ENSHBUG00000007281	0	0
ENSHBUG00000007282	0	0
ENSHBUG00000007283	0	0
ENSHBUG00000007284	1	47
ENSHBUG00000007285	0	0
ENSHBUG00000007286	0	0
ENSHBUG00000007287	5	45
ENSHBUG00000007288	0	0
ENSHBUG00000007289	6	13
ENSHBUG00000007290	0	0
ENSHBUG00000007291	1	18
ENSHBUG00000007292	0	0
ENSHBUG00000007293	0	0
ENSHBUG00000007294	0	0
ENSHBUG00000007295	3	28
ENSHBUG00000007296	19	36
ENSHBUG00000007297	1	28
ENSHBUG00000007298	8	23
ENSHBUG00000007299	0	0
ENSHBUG00000007300	6	51
ENSHBUG00000007301	0	0
ENSHBUG00000007302	8	56
ENSHBUG00000007303	0	0
ENSHBUG00000007304	0	0
ENSHBUG00000007305	0	0
ENSHBUG00000007306	0	0
ENSHBUG00000007307	2	23
ENSHBUG00000007308	0	0
ENSHBUG00000007309	0	0
ENSHBUG00000007310	3	40
ENSHBUG00000007311	0	0
ENSHBUG00000007312	0	0
ENSHBUG00000007313	2	3
ENSHBUG00000007314	1	39
ENSHBUG00000007315	0	0
ENSHBUG00000007316	2	50
ENSHBUG00000007317	6	46
ENSHBUG00000007318	0	0
ENSHBUG00000007319	0	0
ENSHBUG00000007320	53	72
ENSHBUG00000007321	3	12
ENSHBUG00000007322	80	113
ENSHBUG00000007323	1	36
ENSHBUG00000007324	0	0
ENSHBUG00000007325	0	0
ENSHBUG00000007326	1	46
ENSHBUG00000007327	0	0
ENSHBUG00000007328	0	0
ENSHBUG00000007329	10	27
ENSHBUG00000007330	0	0
ENSHBUG00000007331	1	9
ENSHBUG00000007332	0	0
ENSHBUG00000007333	0	0
ENSHBUG00000007334	1	6
ENSHBUG00000007335	122	148
ENSHBUG00000007336	18	41
ENSHBUG00000007337	1	11
ENSHBUG00000007338	0	0
ENSHBUG00000007339	8	44
ENSHBUG00000007340	1	28
ENSHBUG00000007341	0	0
ENSHBUG00000007342	0	0
ENSHBUG00000007343	221	268
ENSHBUG00000007344	0	0
ENSHBUG00000007345	24	39
ENSHBUG00000007346	0	0
ENSHBUG00000007347	4	46
ENSHBUG00000007348	0	0
ENSHBUG00000007349	4	44
ENSHBUG00000007350	2	13
ENSHBUG00000007351	2	23
ENSHBUG00000007352	0	0
ENSHBUG00000007353	1	38
ENSHBUG00000007354	0	0
ENSHBUG00000007355	6	30
ENSHBUG00000007356	5	23
ENSHBUG00000007357	5	7
ENSHBUG00000007358	0	0
ENSHBUG00000007359	0	0
ENSHBUG00000007360	0	0
ENSHBUG00000007361	2	46
ENSHBUG00000007362	0	0
ENSHBUG00000007363	0	0
ENSHBUG00000007364	5	30
ENSHBUG00000007365	0	0
ENSHBUG00000007366	0	0
ENSHBUG00000007367	0	0
ENSHBUG00000007368	56	104
ENSHBUG00000007369	4	39
ENSHBUG00000007370	1	5
ENSHBUG00000007371	2	37
ENSHBUG00000007372	0	0
ENSHBUG00000007373	0	0
ENSHBUG00000007374	6351	6376
ENSHBUG00000007375	4	12
ENSHBUG00000007376	0	0
ENSHBUG00000007377	1	26
ENSHBUG00000007378	14	47
ENSHBUG00000007379	0	0
ENSHBUG00000007380	246	277
ENSHBUG00000007381	0	0
ENSHBUG00000007382	1	35
ENSHBUG00000007383	0	0
ENSHBUG00000007384	0	0
ENSHBUG00000007385	65	88
ENSHBUG00000007386	2	18
ENSHBUG00000007387	0	0
ENSHBUG00000007388	0	0
ENSHBUG00000007389	0	0
ENSHBUG00000007390	3	49
ENSHBUG00000007391	1	13
ENSHBUG00000007392	0	0
ENSHBUG00000007393	0	0
ENSHBUG00000007394	0	0
ENSHBUG00000007395	0	0
ENSHBUG00000007396	0	0
ENSHBUG00000007397	0	0
ENSHBUG00000007398	0	0
ENSHBUG00000007399	2	48
ENSHBUG00000007400	7	31
ENSHBUG00000007401	76	116
ENSHBUG00000007402	0	0
ENSHBUG00000007403	0	0
ENSHBUG00000007404	93	122
ENSHBUG00000007405	3	41
ENSHBUG00000007406	0	0
ENSHBUG00000007407	0	0
ENSHBUG00000007408	0	0
ENSHBUG00000007409	0	0
ENSHBUG00000007410	405	439
ENSHBUG00000007411	0	0
ENSHBUG00000007412	0	0
ENSHBUG00000007413	0	0
ENSHBUG00000007414	0	0
ENSHBUG00000007415	0	0
ENSHBUG00000007416	0	0
ENSHBUG00000007417	1	45
ENSHBUG00000007418	2	7
ENSHBUG00000007419	106	115
ENSHBUG00000007420	0	0
ENSHBUG00000007421	2	26
ENSHBUG00000007422	1	43
ENSHBUG00000007423	0	0
