Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000199	0	0
ENSMZEG00005000200	1585	2892
ENSMZEG00005000201	0	0
ENSMZEG00005000202	0	0
ENSMZEG00005000203	0	11
ENSMZEG00005000204	0	0
ENSMZEG00005000205	195	49
ENSMZEG00005000206	0	0
ENSMZEG00005000207	9	8
ENSMZEG00005000208	3	0
ENSMZEG00005000209	0	0
ENSMZEG00005000210	0	0
ENSMZEG00005000211	0	0
ENSMZEG00005000212	2	5
ENSMZEG00005000213	5	0
ENSMZEG00005000214	5	5
ENSMZEG00005000215	6	9
ENSMZEG00005000216	2	0
ENSMZEG00005000217	0	0
ENSMZEG00005000218	0	0
ENSMZEG00005000219	384	555
ENSMZEG00005000220	0	1
ENSMZEG00005000221	0	0
ENSMZEG00005000222	7	12
ENSMZEG00005000223	0	0
ENSMZEG00005000224	1	1
ENSMZEG00005000225	0	0
ENSMZEG00005000226	6	11
ENSMZEG00005000227	27	17
ENSMZEG00005000228	0	0
ENSMZEG00005000229	0	0
ENSMZEG00005000230	0	0
ENSMZEG00005000231	0	2
ENSMZEG00005000232	88	59
ENSMZEG00005000233	0	1
ENSMZEG00005000234	7	5
ENSMZEG00005000235	7	1
ENSMZEG00005000236	125	15
ENSMZEG00005000237	7	26
ENSMZEG00005000238	1	0
ENSMZEG00005000239	0	0
ENSMZEG00005000240	0	0
ENSMZEG00005000241	0	0
ENSMZEG00005000242	0	0
ENSMZEG00005000243	0	0
ENSMZEG00005000244	0	0
ENSMZEG00005000245	1	0
ENSMZEG00005000246	0	0
ENSMZEG00005000247	0	0
ENSMZEG00005000248	0	0
ENSMZEG00005000249	0	0
ENSMZEG00005000250	0	0
ENSMZEG00005000251	0	0
ENSMZEG00005000252	0	0
ENSMZEG00005000253	0	0
ENSMZEG00005000254	0	1
ENSMZEG00005000255	4	1
ENSMZEG00005000256	0	0
ENSMZEG00005000257	1	16
ENSMZEG00005000258	0	0
ENSMZEG00005000259	1	1
ENSMZEG00005000260	0	0
ENSMZEG00005000261	165	143
ENSMZEG00005000262	0	0
ENSMZEG00005000263	4	35
ENSMZEG00005000264	0	0
ENSMZEG00005000265	946	149
ENSMZEG00005000266	0	0
ENSMZEG00005000267	1	2
ENSMZEG00005000268	0	3
ENSMZEG00005000269	1	2
ENSMZEG00005000270	1	0
ENSMZEG00005000271	43	8
ENSMZEG00005000272	0	0
ENSMZEG00005000273	1	3
ENSMZEG00005000274	5	1
ENSMZEG00005000275	0	0
ENSMZEG00005000276	2	4
ENSMZEG00005000277	0	0
ENSMZEG00005000278	0	0
ENSMZEG00005000279	0	0
ENSMZEG00005000280	4	4
ENSMZEG00005000281	0	3
ENSMZEG00005000282	0	0
ENSMZEG00005000283	3	1
ENSMZEG00005000284	11	42
ENSMZEG00005000285	0	0
ENSMZEG00005000286	0	0
ENSMZEG00005000287	303	1951
ENSMZEG00005000288	0	0
ENSMZEG00005000289	1	0
ENSMZEG00005000290	4	1
ENSMZEG00005000291	0	0
ENSMZEG00005000292	0	2
ENSMZEG00005000293	4	5
ENSMZEG00005000294	0	0
ENSMZEG00005000295	2	2
ENSMZEG00005000296	0	0
ENSMZEG00005000297	0	1
ENSMZEG00005000298	1	1
ENSMZEG00005000299	9	7
ENSMZEG00005000300	0	0
ENSMZEG00005000301	0	0
ENSMZEG00005000302	0	3
ENSMZEG00005000303	5	6
ENSMZEG00005000304	0	0
ENSMZEG00005000305	0	0
ENSMZEG00005000306	0	0
ENSMZEG00005000307	0	0
ENSMZEG00005000308	1	1
ENSMZEG00005000309	1005	1667
ENSMZEG00005000310	2	5
ENSMZEG00005000311	0	0
ENSMZEG00005000312	0	0
ENSMZEG00005000313	0	0
ENSMZEG00005000314	5	0
ENSMZEG00005000315	1	0
ENSMZEG00005000316	0	0
ENSMZEG00005000317	2	3
ENSMZEG00005000318	0	0
ENSMZEG00005000319	0	0
ENSMZEG00005000320	23	34
ENSMZEG00005000321	1	0
ENSMZEG00005000322	0	0
ENSMZEG00005000323	206	212
ENSMZEG00005000324	6	1
ENSMZEG00005000325	0	0
ENSMZEG00005000326	0	0
ENSMZEG00005000327	0	0
ENSMZEG00005000328	1308	481
ENSMZEG00005000329	12	7
ENSMZEG00005000330	0	0
ENSMZEG00005000331	6	2
ENSMZEG00005000332	2	0
ENSMZEG00005000333	0	0
ENSMZEG00005000334	0	0
ENSMZEG00005000335	14	9
ENSMZEG00005000336	0	0
ENSMZEG00005000337	0	0
ENSMZEG00005000338	0	0
ENSMZEG00005000339	5	53
ENSMZEG00005000340	10	65
ENSMZEG00005000341	9	2
ENSMZEG00005000342	0	2
ENSMZEG00005000343	0	0
ENSMZEG00005000344	0	3
ENSMZEG00005000345	0	0
ENSMZEG00005000346	0	0
ENSMZEG00005000347	0	1
ENSMZEG00005000348	0	0
ENSMZEG00005000349	0	0
ENSMZEG00005000350	0	0
ENSMZEG00005000351	0	0
ENSMZEG00005000352	3	12
ENSMZEG00005000353	0	0
ENSMZEG00005000354	1	2
ENSMZEG00005000355	10	9
ENSMZEG00005000356	0	2
ENSMZEG00005000357	0	2
ENSMZEG00005000358	7	0
ENSMZEG00005000359	2	7
ENSMZEG00005000360	7	4
ENSMZEG00005000361	7	6
ENSMZEG00005000362	3	12
ENSMZEG00005000363	0	0
ENSMZEG00005000364	0	0
ENSMZEG00005000365	0	0
ENSMZEG00005000366	0	0
ENSMZEG00005000367	0	0
ENSMZEG00005000368	0	0
ENSMZEG00005000369	4	4
ENSMZEG00005000370	0	11
ENSMZEG00005000371	0	0
ENSMZEG00005000372	0	0
ENSMZEG00005000373	3	4
ENSMZEG00005000374	3	1
ENSMZEG00005000375	6	7
ENSMZEG00005000376	2	1
ENSMZEG00005000377	0	3
ENSMZEG00005000378	77	130
ENSMZEG00005000379	12	4
ENSMZEG00005000380	75	24
ENSMZEG00005000381	3	2
ENSMZEG00005000382	0	1
ENSMZEG00005000383	4	5
ENSMZEG00005000384	1	1
ENSMZEG00005000385	9	2
ENSMZEG00005000386	0	0
ENSMZEG00005000387	0	0
ENSMZEG00005000388	8	5
ENSMZEG00005000389	25	9
ENSMZEG00005000390	0	0
ENSMZEG00005000391	0	0
ENSMZEG00005000392	2	0
ENSMZEG00005000393	3	0
ENSMZEG00005000394	0	0
ENSMZEG00005000395	6	4
ENSMZEG00005000396	1	0
ENSMZEG00005000397	0	0
ENSMZEG00005000398	0	0
ENSMZEG00005000399	39	2
ENSMZEG00005000400	592	871
ENSMZEG00005000401	0	3
ENSMZEG00005000402	3	8
