Gene	Nb_4_Eye	Nb_5_Eye
ENSNBRG00000000200	0	0
ENSNBRG00000000201	0	0
ENSNBRG00000000202	0	0
ENSNBRG00000000203	0	0
ENSNBRG00000000204	0	0
ENSNBRG00000000205	0	0
ENSNBRG00000000206	0	0
ENSNBRG00000000207	0	0
ENSNBRG00000000208	0	0
ENSNBRG00000000209	0	0
ENSNBRG00000000210	0	0
ENSNBRG00000000211	0	0
ENSNBRG00000000212	0	0
ENSNBRG00000000213	0	0
ENSNBRG00000000214	0	0
ENSNBRG00000000215	0	0
ENSNBRG00000000216	0	0
ENSNBRG00000000217	0	0
ENSNBRG00000000218	0	0
ENSNBRG00000000219	0	0
ENSNBRG00000000220	0	0
ENSNBRG00000000221	0	0
ENSNBRG00000000222	0	0
ENSNBRG00000000223	0	0
ENSNBRG00000000224	0	0
ENSNBRG00000000225	0	0
ENSNBRG00000000226	0	0
ENSNBRG00000000227	0	0
ENSNBRG00000000228	0	0
ENSNBRG00000000229	0	0
ENSNBRG00000000230	0	0
ENSNBRG00000000231	0	0
ENSNBRG00000000232	0	0
ENSNBRG00000000233	0	0
ENSNBRG00000000234	0	0
ENSNBRG00000000235	0	0
ENSNBRG00000000236	0	0
ENSNBRG00000000237	0	0
ENSNBRG00000000238	0	0
ENSNBRG00000000239	0	0
ENSNBRG00000000240	0	0
ENSNBRG00000000241	0	0
ENSNBRG00000000242	0	0
ENSNBRG00000000243	29	67
ENSNBRG00000000244	0	0
ENSNBRG00000000245	0	0
ENSNBRG00000000246	0	0
ENSNBRG00000000247	0	0
ENSNBRG00000000248	63	83
ENSNBRG00000000249	0	0
ENSNBRG00000000250	0	0
ENSNBRG00000000251	0	0
ENSNBRG00000000252	0	0
ENSNBRG00000000253	0	0
ENSNBRG00000000254	0	0
ENSNBRG00000000255	0	0
ENSNBRG00000000256	0	0
ENSNBRG00000000257	293	324
ENSNBRG00000000258	0	0
ENSNBRG00000000259	51	69
ENSNBRG00000000260	0	0
ENSNBRG00000000261	0	0
ENSNBRG00000000262	0	0
ENSNBRG00000000263	0	0
ENSNBRG00000000264	0	0
ENSNBRG00000000265	0	0
ENSNBRG00000000266	0	0
ENSNBRG00000000267	396	424
ENSNBRG00000000268	0	0
ENSNBRG00000000269	0	0
ENSNBRG00000000270	0	0
ENSNBRG00000000271	0	0
ENSNBRG00000000272	0	0
ENSNBRG00000000273	0	0
ENSNBRG00000000274	0	0
ENSNBRG00000000275	0	0
ENSNBRG00000000276	24	54
ENSNBRG00000000277	242	255
ENSNBRG00000000278	0	0
ENSNBRG00000000279	0	0
ENSNBRG00000000280	0	0
ENSNBRG00000000281	0	0
ENSNBRG00000000282	0	0
ENSNBRG00000000283	0	0
ENSNBRG00000000284	81	107
ENSNBRG00000000285	0	0
ENSNBRG00000000286	0	0
ENSNBRG00000000287	0	0
ENSNBRG00000000288	0	0
ENSNBRG00000000289	0	0
ENSNBRG00000000290	0	0
ENSNBRG00000000291	21	63
ENSNBRG00000000292	0	0
ENSNBRG00000000293	0	0
ENSNBRG00000000294	0	0
ENSNBRG00000000295	0	0
ENSNBRG00000000296	30	37
ENSNBRG00000000297	0	0
ENSNBRG00000000298	0	0
ENSNBRG00000000299	0	0
ENSNBRG00000000300	41	76
ENSNBRG00000000301	0	0
ENSNBRG00000000302	0	0
ENSNBRG00000000303	0	0
ENSNBRG00000000304	0	0
ENSNBRG00000000305	0	0
ENSNBRG00000000306	0	0
ENSNBRG00000000307	0	0
ENSNBRG00000000308	0	0
ENSNBRG00000000309	0	0
ENSNBRG00000000310	159	165
ENSNBRG00000000311	0	0
ENSNBRG00000000312	0	0
ENSNBRG00000000313	28	52
ENSNBRG00000000314	0	0
ENSNBRG00000000315	27	70
ENSNBRG00000000316	0	0
ENSNBRG00000000317	0	0
ENSNBRG00000000318	40	76
ENSNBRG00000000319	7	26
ENSNBRG00000000320	0	0
ENSNBRG00000000321	0	0
ENSNBRG00000000322	0	0
ENSNBRG00000000323	0	0
ENSNBRG00000000324	0	0
ENSNBRG00000000325	0	0
ENSNBRG00000000326	100	142
ENSNBRG00000000327	0	0
ENSNBRG00000000328	0	0
ENSNBRG00000000329	0	0
ENSNBRG00000000330	0	0
ENSNBRG00000000331	0	0
ENSNBRG00000000332	0	0
ENSNBRG00000000333	12	47
ENSNBRG00000000334	79	87
