Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000008513	0	37	48
ENSONIG00000008514	0	0	11
ENSONIG00000008515	2	0	22
ENSONIG00000008518	4	2	20
ENSONIG00000008519	0	0	0
ENSONIG00000008520	2	0	13
ENSONIG00000008521	0	0	0
ENSONIG00000008522	0	1	68
ENSONIG00000008523	5	6	100
ENSONIG00000008524	2	0	0
ENSONIG00000008525	2	1	7
ENSONIG00000008526	4	3	132
ENSONIG00000008527	1	0	20
ENSONIG00000008528	1	3	55
ENSONIG00000008529	0	1	18
ENSONIG00000008530	0	0	0
ENSONIG00000008531	0	4	49
ENSONIG00000008534	2	5	12
ENSONIG00000008535	3	2	29
ENSONIG00000008536	0	0	13
ENSONIG00000008537	1	1	7
ENSONIG00000008539	0	0	0
ENSONIG00000008540	1	3	13
ENSONIG00000008541	0	0	7
ENSONIG00000008542	8	2	167
ENSONIG00000008543	50	0	3
ENSONIG00000008544	3	1	21
ENSONIG00000008545	7	0	1
ENSONIG00000008546	6	353	35
ENSONIG00000008547	1	0	0
ENSONIG00000008548	1	0	12
ENSONIG00000008549	6	2	8
ENSONIG00000008550	1	0	0
ENSONIG00000008551	2	1	10
ENSONIG00000008553	2	3	42
ENSONIG00000008555	49	7	105
ENSONIG00000008556	0	2	1
ENSONIG00000008557	1	0	2
ENSONIG00000008558	5	9	42
ENSONIG00000008559	2	0	5
ENSONIG00000008560	1	0	8
ENSONIG00000008561	4	21	146
ENSONIG00000008566	1	0	9
ENSONIG00000008567	0	0	0
ENSONIG00000008569	3	3	129
ENSONIG00000008570	612	13	554
ENSONIG00000008571	0	0	12
ENSONIG00000008572	0	0	7
ENSONIG00000008574	0	0	0
ENSONIG00000008575	0	0	3
ENSONIG00000008577	0	0	0
ENSONIG00000008578	2	0	3
ENSONIG00000008579	1	1	15
ENSONIG00000008580	0	0	6
ENSONIG00000008581	0	8	32
ENSONIG00000008582	0	2	2
ENSONIG00000008583	15	0	0
ENSONIG00000008585	0	0	0
ENSONIG00000008586	0	0	1
ENSONIG00000008588	0	0	0
ENSONIG00000008589	0	0	0
ENSONIG00000008590	28	0	0
ENSONIG00000008591	0	0	2
ENSONIG00000008592	10	0	0
ENSONIG00000008593	0	0	5
ENSONIG00000008595	13	7	44
ENSONIG00000008598	1	0	0
ENSONIG00000008599	24	88	174
ENSONIG00000008600	2	0	40
ENSONIG00000008601	0	3	43
ENSONIG00000008602	1	1	19
ENSONIG00000008603	0	0	9
ENSONIG00000008604	96	29	174
ENSONIG00000008605	0	0	0
ENSONIG00000008606	0	0	7
ENSONIG00000008607	8	1	54
ENSONIG00000008608	8	5	142
ENSONIG00000008609	1	0	1
ENSONIG00000008610	0	0	0
ENSONIG00000008612	0	0	0
ENSONIG00000008614	0	0	0
ENSONIG00000008615	0	0	18
ENSONIG00000008618	0	0	0
ENSONIG00000008619	0	0	0
ENSONIG00000008620	2	0	8
ENSONIG00000008621	0	0	7
ENSONIG00000008622	0	0	0
ENSONIG00000008623	8	1	3
ENSONIG00000008624	0	1	10
ENSONIG00000008625	13	3	126
ENSONIG00000008626	3	1	20
ENSONIG00000008627	0	1	46
ENSONIG00000008628	16	16	164
ENSONIG00000008629	0	0	8
ENSONIG00000008630	0	0	6
ENSONIG00000008631	0	0	17
ENSONIG00000008632	4	2	49
ENSONIG00000008633	4	1	13
ENSONIG00000008634	1	1	6
ENSONIG00000008635	0	0	3
ENSONIG00000008636	0	0	1
ENSONIG00000008638	5	0	44
ENSONIG00000008642	0	0	1
ENSONIG00000008643	75	1	117
ENSONIG00000008644	15	18	53
ENSONIG00000008645	92	85	93
ENSONIG00000008646	0	0	2
ENSONIG00000008647	0	2	11
ENSONIG00000008648	0	2	18
ENSONIG00000008649	1	2	17
ENSONIG00000008650	5	0	7
ENSONIG00000008651	7	4	71
ENSONIG00000008652	8	2	63
ENSONIG00000008655	8	3	75
ENSONIG00000008656	0	0	8
ENSONIG00000008657	0	0	0
ENSONIG00000008659	0	0	2
ENSONIG00000008662	0	0	0
ENSONIG00000008663	0	0	61
ENSONIG00000008664	0	0	0
ENSONIG00000008665	0	0	0
ENSONIG00000008666	2	1	20
ENSONIG00000008668	14	2	10
ENSONIG00000008670	0	0	0
ENSONIG00000008671	0	0	5
ENSONIG00000008672	9	1	36
ENSONIG00000008673	2	3	1
ENSONIG00000008674	0	3	6
ENSONIG00000008675	3	0	38
ENSONIG00000008676	3	2	25
ENSONIG00000008678	0	1	5
ENSONIG00000008680	0	0	2
ENSONIG00000008681	0	0	3
ENSONIG00000008683	1	0	5
ENSONIG00000008684	0	0	7
ENSONIG00000008685	0	0	0
ENSONIG00000008686	13	13	3
ENSONIG00000008687	4	1	19
ENSONIG00000008688	8	1	12
ENSONIG00000008690	4	0	3
ENSONIG00000008691	6	9	53
ENSONIG00000008692	3	3	2
ENSONIG00000008693	12	9	85
ENSONIG00000008694	2	0	31
ENSONIG00000008695	2	0	5
ENSONIG00000008697	3	3	63
ENSONIG00000008698	3	0	0
ENSONIG00000008699	15	12	141
ENSONIG00000008700	1	1	54
ENSONIG00000008703	2	0	6
ENSONIG00000008704	0	0	1
ENSONIG00000008705	0	0	2
ENSONIG00000008706	4	0	13
ENSONIG00000008707	2	1	11
ENSONIG00000008708	2	0	12
ENSONIG00000008709	3	0	0
ENSONIG00000008710	2	2	42
ENSONIG00000008711	0	0	8
ENSONIG00000008712	1	1	17
ENSONIG00000008713	0	0	0
ENSONIG00000008714	0	0	0
ENSONIG00000008715	0	0	1
ENSONIG00000008716	0	0	21
ENSONIG00000008717	1	0	3
ENSONIG00000008718	1	1	2
ENSONIG00000008720	0	0	8
ENSONIG00000008721	1	0	0
ENSONIG00000008724	0	0	2
ENSONIG00000008725	0	0	0
ENSONIG00000008726	0	0	28
ENSONIG00000008727	0	0	0
ENSONIG00000008728	9	0	0
ENSONIG00000008729	1	1	16
ENSONIG00000008730	9	8	9
ENSONIG00000008731	0	0	4
ENSONIG00000008732	2	0	0
ENSONIG00000008733	37	16	35
ENSONIG00000008735	0	0	0
ENSONIG00000008736	5	3	15
ENSONIG00000008737	0	0	0
ENSONIG00000008739	8	7	43
ENSONIG00000008740	3	3	62
ENSONIG00000008742	0	4	66
ENSONIG00000008743	0	0	1
ENSONIG00000008744	0	1	13
ENSONIG00000008745	2	0	10
ENSONIG00000008746	0	0	5
ENSONIG00000008747	1	0	11
ENSONIG00000008749	3	0	0
ENSONIG00000008750	16	9	358
ENSONIG00000008751	28	24	24
ENSONIG00000008752	7	0	3
ENSONIG00000008753	5	2	19
ENSONIG00000008754	7	1	3
ENSONIG00000008755	3	1	6
ENSONIG00000008756	0	0	0
ENSONIG00000008757	0	0	1
ENSONIG00000008759	0	0	4
ENSONIG00000008760	2	0	24
ENSONIG00000008761	0	0	0
ENSONIG00000008762	89	0	3
ENSONIG00000008763	7	1	45
ENSONIG00000008765	0	0	0
ENSONIG00000008766	0	0	6
ENSONIG00000008767	0	0	0
ENSONIG00000008769	0	0	0
ENSONIG00000008770	0	5	150
ENSONIG00000008771	3	11	39
ENSONIG00000008773	0	1	19
ENSONIG00000008774	1	0	19
ENSONIG00000008776	6	1	30
ENSONIG00000008778	0	0	1
ENSONIG00000008779	7	0	17
ENSONIG00000008780	0	2	5
ENSONIG00000008781	1	1	31
ENSONIG00000008782	1	0	0
ENSONIG00000008785	19	17	76
ENSONIG00000008787	0	0	1
ENSONIG00000008788	0	0	3
ENSONIG00000008789	11	0	1
ENSONIG00000008791	0	0	14
ENSONIG00000008792	1	0	29
ENSONIG00000008794	13	0	13
ENSONIG00000008795	0	0	0
ENSONIG00000008796	1	5	6
ENSONIG00000008797	6	3	14
ENSONIG00000008798	3	0	5
ENSONIG00000008800	7	5	130
ENSONIG00000008801	0	0	4
ENSONIG00000008802	1	0	1
ENSONIG00000008803	84	30	594
ENSONIG00000008804	2	0	23
ENSONIG00000008805	3567	884	1080
ENSONIG00000008806	0	0	0
ENSONIG00000008807	21	11	112
ENSONIG00000008808	1	2	7
ENSONIG00000008809	0	1	3
ENSONIG00000008810	0	0	1
ENSONIG00000008811	4	5	11
ENSONIG00000008812	12	8	85
ENSONIG00000008813	0	0	0
ENSONIG00000008814	0	0	6
ENSONIG00000008815	3	6	13
ENSONIG00000008816	3	0	6
ENSONIG00000008817	0	4	33
ENSONIG00000008818	4	0	41
ENSONIG00000008819	14	4	123
ENSONIG00000008820	1	0	6
ENSONIG00000008821	0	0	0
ENSONIG00000008822	1	0	28
ENSONIG00000008823	0	0	1
ENSONIG00000008824	5	0	42
ENSONIG00000008825	0	0	4
ENSONIG00000008826	2	2	16
ENSONIG00000008827	4	10	15
ENSONIG00000008828	6	9	0
ENSONIG00000008829	0	1	3
ENSONIG00000008830	0	0	5
ENSONIG00000008831	2	2	9
ENSONIG00000008832	3	0	23
ENSONIG00000008833	2	4	23
ENSONIG00000008834	2	2	23
ENSONIG00000008835	0	0	1
ENSONIG00000008836	0	0	4
ENSONIG00000008838	0	0	0
ENSONIG00000008839	0	7	2
ENSONIG00000008840	4	1	13
ENSONIG00000008841	2	0	2
ENSONIG00000008842	1	11	548
ENSONIG00000008843	1	0	15
ENSONIG00000008844	3	2	3
ENSONIG00000008845	13	13	22
ENSONIG00000008846	0	21	212
ENSONIG00000008847	1	0	0
ENSONIG00000008850	0	0	0
ENSONIG00000008851	1	0	0
ENSONIG00000008852	0	0	0
ENSONIG00000008854	1	1	5
ENSONIG00000008855	2	3	20
ENSONIG00000008857	0	0	9
ENSONIG00000008858	0	0	5
ENSONIG00000008859	1	2	92
ENSONIG00000008860	21	212	23
ENSONIG00000008861	3	1	45
ENSONIG00000008862	1	0	0
ENSONIG00000008863	0	0	34
ENSONIG00000008864	6	4	21
ENSONIG00000008865	22	5	37
ENSONIG00000008866	14	6	239
ENSONIG00000008867	0	0	1
ENSONIG00000008868	203	129	240
ENSONIG00000008869	15	0	24
ENSONIG00000008870	0	0	1
ENSONIG00000008871	8	0	6
ENSONIG00000008872	0	0	4
ENSONIG00000008874	0	0	0
ENSONIG00000008875	0	0	1
ENSONIG00000008876	0	0	2
ENSONIG00000008878	2	0	23
ENSONIG00000008880	1	0	4
ENSONIG00000008881	0	2	27
ENSONIG00000008882	26	2	9
ENSONIG00000008884	0	0	10
ENSONIG00000008885	9	0	1
ENSONIG00000008886	7	1	7
ENSONIG00000008887	17	0	1
ENSONIG00000008888	1	1	0
ENSONIG00000008889	0	1	26
ENSONIG00000008890	0	0	1
ENSONIG00000008892	3	0	0
ENSONIG00000008894	0	0	0
ENSONIG00000008895	1	2	1
ENSONIG00000008897	0	0	0
ENSONIG00000008898	0	0	0
ENSONIG00000008899	0	0	0
ENSONIG00000008901	3	7	52
ENSONIG00000008902	3	0	0
ENSONIG00000008903	0	0	6
ENSONIG00000008904	7	47	72
ENSONIG00000008905	26	0	2
ENSONIG00000008906	29	212	30
ENSONIG00000008907	0	1	13
ENSONIG00000008908	0	0	0
ENSONIG00000008909	5	0	0
ENSONIG00000008910	0	0	0
ENSONIG00000008911	0	0	2
ENSONIG00000008912	0	0	0
ENSONIG00000008913	0	0	0
ENSONIG00000008914	3	0	0
ENSONIG00000008917	3	0	3
ENSONIG00000008918	6	9	38
ENSONIG00000008919	0	0	0
ENSONIG00000008920	8	0	0
ENSONIG00000008921	25	51	156
ENSONIG00000008922	0	0	5
ENSONIG00000008924	57	33	79
ENSONIG00000008925	9	3	5
ENSONIG00000008926	2	1	15
ENSONIG00000008927	259	107	138
ENSONIG00000008928	8	0	20
ENSONIG00000008929	7	0	2
ENSONIG00000008930	0	0	4
ENSONIG00000008931	2	0	0
ENSONIG00000008932	0	0	28
ENSONIG00000008933	2	0	0
ENSONIG00000008934	1	3	22
ENSONIG00000008935	2	0	0
ENSONIG00000008936	1	0	0
ENSONIG00000008937	9	0	10
ENSONIG00000008938	0	3	31
ENSONIG00000008939	0	0	10
ENSONIG00000008940	1	1	32
ENSONIG00000008941	0	0	2
ENSONIG00000008942	6	0	1
ENSONIG00000008943	3	0	1
ENSONIG00000008944	4	2	31
ENSONIG00000008945	4	5	48
ENSONIG00000008946	0	0	1
ENSONIG00000008947	0	0	2
ENSONIG00000008949	4	0	30
ENSONIG00000008951	0	0	0
ENSONIG00000008952	0	1	0
ENSONIG00000008954	0	0	12
ENSONIG00000008955	7	1	30
ENSONIG00000008956	1	0	11
ENSONIG00000008957	0	4	34
ENSONIG00000008958	1	0	1
ENSONIG00000008960	1	0	2
ENSONIG00000008961	4	4	49
ENSONIG00000008963	2	3	12
ENSONIG00000008964	0	0	0
ENSONIG00000008965	0	0	11
ENSONIG00000008966	2	1	22
ENSONIG00000008968	0	0	0
ENSONIG00000008969	17	6	32
ENSONIG00000008970	0	0	28
ENSONIG00000008972	1	4	14
ENSONIG00000008973	0	0	8
ENSONIG00000008974	0	0	1
ENSONIG00000008975	21	40	11
ENSONIG00000008976	0	0	0
ENSONIG00000008979	0	0	0
ENSONIG00000008980	5	0	0
ENSONIG00000008981	7	1	1
ENSONIG00000008982	1	2	5
ENSONIG00000008984	0	0	3
ENSONIG00000008985	0	0	0
ENSONIG00000008986	13	0	32
ENSONIG00000008987	0	2	27
ENSONIG00000008988	0	0	11
ENSONIG00000008989	0	0	0
ENSONIG00000008990	0	0	0
ENSONIG00000008991	0	2	21
ENSONIG00000008992	45	71	3702
ENSONIG00000008993	6	4	71
ENSONIG00000008994	4	3	9
ENSONIG00000008995	0	0	0
ENSONIG00000008997	0	0	11
ENSONIG00000008999	3	1	5
ENSONIG00000009000	6	2	59
ENSONIG00000009002	3	1	92
ENSONIG00000009004	6	2	19
ENSONIG00000009006	0	0	15
ENSONIG00000009007	1	0	51
ENSONIG00000009008	0	0	3
ENSONIG00000009009	3	0	4
ENSONIG00000009010	267	598	684
ENSONIG00000009011	0	0	0
ENSONIG00000009012	1	15	13
ENSONIG00000009013	1	1	3
ENSONIG00000009014	1	2	18
ENSONIG00000009015	8	10	29
ENSONIG00000009016	1	0	16
ENSONIG00000009017	0	0	0
ENSONIG00000009018	0	0	7
ENSONIG00000009020	3	5	13
ENSONIG00000009021	0	0	1
ENSONIG00000009022	0	0	0
ENSONIG00000009023	0	0	0
ENSONIG00000009024	6	0	0
ENSONIG00000009025	8	2	43
ENSONIG00000009026	1	0	6
ENSONIG00000009027	4	0	9
ENSONIG00000009028	2	3	13
ENSONIG00000009029	5	0	5
ENSONIG00000009031	1	1	1
ENSONIG00000009034	0	0	2
ENSONIG00000009035	1	0	11
ENSONIG00000009036	2	0	12
ENSONIG00000009037	0	1	42
ENSONIG00000009038	0	0	0
ENSONIG00000009039	0	0	1
ENSONIG00000009040	0	0	0
ENSONIG00000009041	0	0	0
ENSONIG00000009042	0	1	10
ENSONIG00000009043	6	0	15
ENSONIG00000009044	0	0	0
ENSONIG00000009046	1	0	14
ENSONIG00000009047	0	0	0
ENSONIG00000009048	4	0	0
ENSONIG00000009049	0	0	1
ENSONIG00000009050	3	0	1
ENSONIG00000009051	1	2	23
ENSONIG00000009052	2	0	0
ENSONIG00000009053	3	0	9
ENSONIG00000009054	1	0	15
ENSONIG00000009055	3	1	16
ENSONIG00000009056	3	1	24
ENSONIG00000009057	1	1	29
ENSONIG00000009058	2	0	0
ENSONIG00000009061	0	6	21
ENSONIG00000009062	12	1	2
ENSONIG00000009063	22	9	29
ENSONIG00000009065	0	0	11
ENSONIG00000009068	0	0	0
ENSONIG00000009069	0	0	0
ENSONIG00000009075	0	0	23
ENSONIG00000009076	0	1	10
ENSONIG00000009077	4	2	1
ENSONIG00000009078	0	0	2
ENSONIG00000009080	4	0	0
ENSONIG00000009081	5	1	60
ENSONIG00000009082	2	0	13
ENSONIG00000009083	5	2	53
ENSONIG00000009084	3	0	4
ENSONIG00000009085	0	4	18
ENSONIG00000009086	0	0	0
ENSONIG00000009088	0	0	0
ENSONIG00000009093	0	0	2
ENSONIG00000009094	1	0	11
ENSONIG00000009095	2	1	21
ENSONIG00000009096	17	215	99
ENSONIG00000009097	0	0	0
ENSONIG00000009098	1	0	38
ENSONIG00000009099	1	0	12
ENSONIG00000009102	4	1	60
ENSONIG00000009105	0	0	0
ENSONIG00000009106	1	0	5
ENSONIG00000009109	0	0	0
ENSONIG00000009111	7	13	251
ENSONIG00000009112	5	0	5
ENSONIG00000009114	0	1	1
ENSONIG00000009115	0	1	4
ENSONIG00000009117	0	0	0
ENSONIG00000009118	0	0	0
ENSONIG00000009120	0	1	1
ENSONIG00000009121	0	0	0
ENSONIG00000009122	11	18	334
ENSONIG00000009125	0	0	0
ENSONIG00000009126	0	0	0
ENSONIG00000009127	0	0	0
ENSONIG00000009128	0	0	27
ENSONIG00000009129	0	1	41
ENSONIG00000009131	0	2	7
ENSONIG00000009132	0	0	71
ENSONIG00000009133	28	87	2763
ENSONIG00000009134	4	0	28
ENSONIG00000009135	0	5	8
ENSONIG00000009136	5	0	14
ENSONIG00000009137	0	0	42
ENSONIG00000009139	0	0	7
ENSONIG00000009140	8	0	9
ENSONIG00000009141	0	0	0
ENSONIG00000009142	0	0	1
ENSONIG00000009143	0	1	0
ENSONIG00000009144	14	3	84
ENSONIG00000009147	6	2	14
ENSONIG00000009150	0	0	0
ENSONIG00000009152	0	0	1
ENSONIG00000009154	0	0	3
ENSONIG00000009155	12	0	14
ENSONIG00000009157	0	0	0
ENSONIG00000009159	0	1	2
ENSONIG00000009160	1	2	3
ENSONIG00000009161	3	0	0
ENSONIG00000009163	0	0	15
ENSONIG00000009165	0	6	8
ENSONIG00000009166	1	0	3
ENSONIG00000009167	0	0	5
ENSONIG00000009168	143	94	152
ENSONIG00000009169	1	0	4
ENSONIG00000009170	0	0	0
ENSONIG00000009171	7	1	3
ENSONIG00000009172	0	0	0
ENSONIG00000009175	1	0	16
ENSONIG00000009176	2	7	116
ENSONIG00000009177	0	0	0
ENSONIG00000009179	0	0	2
ENSONIG00000009182	12	0	7
ENSONIG00000009183	0	0	0
ENSONIG00000009184	0	4	21
ENSONIG00000009185	13	0	1
ENSONIG00000009186	8	0	3
ENSONIG00000009187	3	0	36
ENSONIG00000009188	0	0	0
ENSONIG00000009189	0	0	1
ENSONIG00000009190	0	0	0
ENSONIG00000009191	0	0	0
ENSONIG00000009192	21	6	166
ENSONIG00000009193	6	2	118
ENSONIG00000009194	0	3	31
ENSONIG00000009196	80	2	40
ENSONIG00000009197	0	0	0
ENSONIG00000009198	0	0	0
ENSONIG00000009200	3	0	3
ENSONIG00000009201	6	1	0
ENSONIG00000009202	0	0	0
ENSONIG00000009203	0	0	10
ENSONIG00000009204	4	1	40
ENSONIG00000009205	1	0	1
ENSONIG00000009206	1	4	76
ENSONIG00000009207	1	6	79
ENSONIG00000009209	5	1	27
ENSONIG00000009210	2	1	7
ENSONIG00000009211	12	7	26
ENSONIG00000009212	0	0	2
ENSONIG00000009213	0	0	0
ENSONIG00000009214	0	0	31
ENSONIG00000009215	1	2	9
ENSONIG00000009217	2	2	8
ENSONIG00000009218	5	2	27
ENSONIG00000009219	5	34	90
ENSONIG00000009220	6	4	26
ENSONIG00000009222	9	4	18
ENSONIG00000009223	0	0	4
ENSONIG00000009224	0	0	3
ENSONIG00000009225	6	5	40
ENSONIG00000009226	0	1	2
ENSONIG00000009227	2	0	4
ENSONIG00000009230	5	2	36
ENSONIG00000009231	21	10	122
ENSONIG00000009232	0	0	0
ENSONIG00000009233	0	0	17
ENSONIG00000009234	2	1	29
ENSONIG00000009235	2	1	1
ENSONIG00000009236	5	1	32
ENSONIG00000009237	3	3	35
ENSONIG00000009239	0	0	0
ENSONIG00000009240	0	0	0
ENSONIG00000009244	0	1	1
ENSONIG00000009245	0	0	0
ENSONIG00000009246	41	32	625
ENSONIG00000009247	4	25	63
ENSONIG00000009248	23	11	155
ENSONIG00000009249	0	0	1
ENSONIG00000009250	2	0	0
ENSONIG00000009251	0	0	10
ENSONIG00000009252	1	0	2
ENSONIG00000009253	7	0	0
ENSONIG00000009254	12	12	172
ENSONIG00000009256	3	1	11
ENSONIG00000009258	0	0	1
ENSONIG00000009259	0	0	0
ENSONIG00000009261	224	55	110
ENSONIG00000009262	0	1	6
ENSONIG00000009264	0	1	0
ENSONIG00000009265	0	0	25
ENSONIG00000009266	4	0	4
ENSONIG00000009269	8	4	153
ENSONIG00000009270	0	1	5
ENSONIG00000009271	0	0	0
ENSONIG00000009272	0	0	1
ENSONIG00000009273	2	0	4
ENSONIG00000009275	11	6	76
ENSONIG00000009276	1	0	0
ENSONIG00000009277	3	0	17
ENSONIG00000009278	0	0	2
ENSONIG00000009279	0	0	3
ENSONIG00000009280	1	2	19
ENSONIG00000009281	2	2	13
ENSONIG00000009282	1	2	31
ENSONIG00000009283	0	0	8
ENSONIG00000009284	0	0	0
ENSONIG00000009285	1	0	0
ENSONIG00000009286	3	0	17
ENSONIG00000009288	0	0	4
ENSONIG00000009289	5	6	52
ENSONIG00000009290	3	0	1
ENSONIG00000009291	4	0	27
ENSONIG00000009292	87	30	450
ENSONIG00000009293	12	0	18
ENSONIG00000009294	5	18	490
ENSONIG00000009295	25	1	0
ENSONIG00000009296	3	0	45
ENSONIG00000009297	1	1	16
ENSONIG00000009298	763	1435	2562
ENSONIG00000009299	0	0	0
ENSONIG00000009302	0	1	0
ENSONIG00000009303	0	0	5
ENSONIG00000009304	0	0	10
ENSONIG00000009305	0	0	1
ENSONIG00000009307	0	0	0
ENSONIG00000009308	1	0	19
ENSONIG00000009309	11	21	352
ENSONIG00000009312	2	2	21
ENSONIG00000009313	0	0	3
ENSONIG00000009314	0	0	0
ENSONIG00000009315	1	0	0
ENSONIG00000009316	0	0	13
ENSONIG00000009317	4	0	5
ENSONIG00000009318	6	7	74
ENSONIG00000009319	1	1	24
ENSONIG00000009320	0	0	0
ENSONIG00000009321	0	1	2
ENSONIG00000009323	0	28	22
ENSONIG00000009325	0	1	11
ENSONIG00000009326	13	0	34
ENSONIG00000009327	1	0	73
ENSONIG00000009328	2	0	7
ENSONIG00000009329	5	1	43
ENSONIG00000009330	0	4	9
ENSONIG00000009331	0	0	0
ENSONIG00000009332	4	1	11
ENSONIG00000009333	4	4	37
ENSONIG00000009334	1	0	5
ENSONIG00000009335	0	2	54
ENSONIG00000009336	6	1	41
ENSONIG00000009337	3	4	16
ENSONIG00000009338	11	19	110
ENSONIG00000009339	1	0	23
ENSONIG00000009341	0	0	1
ENSONIG00000009344	0	7	11
ENSONIG00000009346	11	0	5
ENSONIG00000009349	1	0	12
ENSONIG00000009350	0	0	0
ENSONIG00000009351	5	0	1
ENSONIG00000009352	5	0	0
ENSONIG00000009354	4	3	7
ENSONIG00000009355	0	0	6
ENSONIG00000009356	0	0	0
ENSONIG00000009357	0	2	9
ENSONIG00000009358	1	6	38
ENSONIG00000009361	0	0	0
ENSONIG00000009362	7	9	99
ENSONIG00000009363	0	0	0
ENSONIG00000009364	0	0	1
ENSONIG00000009365	1	1	5
ENSONIG00000009366	0	0	0
ENSONIG00000009367	2	0	8
ENSONIG00000009368	8	3	0
ENSONIG00000009374	10	2	7
ENSONIG00000009377	0	0	6
ENSONIG00000009380	0	2	2
ENSONIG00000009384	0	4	42
ENSONIG00000009386	4	2	56
ENSONIG00000009387	0	0	3
ENSONIG00000009388	9	7	35
ENSONIG00000009389	9	0	34
ENSONIG00000009392	0	0	0
ENSONIG00000009393	1	0	9
ENSONIG00000009394	0	3	6
ENSONIG00000009396	6	3	9
ENSONIG00000009401	7	1	36
ENSONIG00000009402	1	0	30
ENSONIG00000009404	0	0	7
ENSONIG00000009405	0	0	5
ENSONIG00000009406	0	0	0
ENSONIG00000009407	1	1	16
ENSONIG00000009408	0	4	32
ENSONIG00000009411	0	0	0
ENSONIG00000009413	2	1	6
ENSONIG00000009414	3	2	9
ENSONIG00000009415	0	0	0
ENSONIG00000009417	11	4	69
ENSONIG00000009419	0	0	0
ENSONIG00000009422	0	0	0
ENSONIG00000009423	2	1	0
ENSONIG00000009424	0	0	18
ENSONIG00000009426	0	0	0
ENSONIG00000009428	8	7	48
ENSONIG00000009430	0	0	0
ENSONIG00000009431	0	0	0
ENSONIG00000009432	1	3	13
ENSONIG00000009434	0	0	0
ENSONIG00000009435	0	0	0
ENSONIG00000009436	8	3	33
ENSONIG00000009437	0	0	0
ENSONIG00000009438	0	0	0
ENSONIG00000009440	100	72	174
ENSONIG00000009443	4	2	18
ENSONIG00000009444	0	0	2
ENSONIG00000009445	2	1	34
ENSONIG00000009446	10	7	581
ENSONIG00000009447	1	0	0
ENSONIG00000009449	0	0	0
ENSONIG00000009451	3	4	79
ENSONIG00000009452	2	3	20
ENSONIG00000009454	0	0	0
ENSONIG00000009456	3	4	1
ENSONIG00000009457	0	0	2
ENSONIG00000009458	0	0	7
ENSONIG00000009460	0	0	5
ENSONIG00000009462	2	0	3
ENSONIG00000009463	0	0	0
ENSONIG00000009465	6	0	12
ENSONIG00000009466	0	0	2
ENSONIG00000009467	0	0	3
ENSONIG00000009468	8	0	8
ENSONIG00000009469	0	1	0
ENSONIG00000009470	13	2	10
ENSONIG00000009471	0	0	1
ENSONIG00000009473	2	11	30
ENSONIG00000009474	7	4	52
ENSONIG00000009475	49	14	10
ENSONIG00000009476	1	2	1
ENSONIG00000009477	0	0	0
ENSONIG00000009478	103	52	68
ENSONIG00000009479	10	0	8
ENSONIG00000009481	40	27	37
ENSONIG00000009484	2	1	9
ENSONIG00000009485	18	91	73
ENSONIG00000009486	0	0	4
ENSONIG00000009487	0	2	16
ENSONIG00000009488	4	3	6
ENSONIG00000009489	5	2	4
ENSONIG00000009490	87	22	34
ENSONIG00000009491	0	0	5
ENSONIG00000009492	2	0	8
ENSONIG00000009494	8	2	2
ENSONIG00000009495	0	1	8
ENSONIG00000009496	8	3	17
ENSONIG00000009497	0	0	15
ENSONIG00000009499	0	0	6
ENSONIG00000009500	1	0	3
ENSONIG00000009501	0	1	11
ENSONIG00000009502	3	2	37
ENSONIG00000009503	2	0	0
ENSONIG00000009504	0	0	0
ENSONIG00000009505	17	0	21
ENSONIG00000009506	2	0	19
ENSONIG00000009508	0	1	1
ENSONIG00000009509	2	1	5
ENSONIG00000009510	4	11	27
ENSONIG00000009511	2	3	42
ENSONIG00000009512	1	1	23
ENSONIG00000009513	1	0	19
ENSONIG00000009514	0	0	0
ENSONIG00000009515	0	0	0
ENSONIG00000009516	0	0	0
ENSONIG00000009517	1	0	8
ENSONIG00000009518	2	0	2
ENSONIG00000009519	0	1	12
ENSONIG00000009520	0	0	0
ENSONIG00000009522	12	3	19
ENSONIG00000009523	6	0	2
ENSONIG00000009525	0	0	8
ENSONIG00000009526	19	0	37
ENSONIG00000009527	10	0	23
ENSONIG00000009528	3	1	29
ENSONIG00000009529	1	0	1
ENSONIG00000009530	0	1	5
ENSONIG00000009532	90	53	70
ENSONIG00000009534	3	1	41
ENSONIG00000009535	0	31	1
ENSONIG00000009536	3	0	0
ENSONIG00000009537	15	10	62
ENSONIG00000009538	0	0	0
ENSONIG00000009539	9	0	2
ENSONIG00000009541	0	0	0
ENSONIG00000009542	0	5	21
ENSONIG00000009543	3	0	4
ENSONIG00000009545	0	0	11
ENSONIG00000009546	0	0	4
ENSONIG00000009547	0	0	14
ENSONIG00000009548	2	0	0
ENSONIG00000009549	0	1	0
ENSONIG00000009550	0	2	1
ENSONIG00000009551	2	0	20
ENSONIG00000009552	0	1	4
ENSONIG00000009553	0	1	2
ENSONIG00000009555	0	0	0
ENSONIG00000009556	1	1	4
ENSONIG00000009557	10	1	32
ENSONIG00000009559	1	2	37
ENSONIG00000009560	0	0	3
ENSONIG00000009562	2	0	7
ENSONIG00000009564	5	2	34
ENSONIG00000009565	0	0	0
ENSONIG00000009567	250	22	126
ENSONIG00000009568	0	0	0
ENSONIG00000009569	0	0	11
