Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000231	1	0	3
ENSONIG00000000232	5	0	0
ENSONIG00000000234	1	0	6
ENSONIG00000000235	0	0	2
ENSONIG00000000236	0	0	0
ENSONIG00000000237	458	267	340
ENSONIG00000000241	4	1	13
ENSONIG00000000242	5	3	57
ENSONIG00000000245	0	0	6
ENSONIG00000000246	13	9	37
ENSONIG00000000247	0	0	11
ENSONIG00000000248	12	14	110
ENSONIG00000000249	0	0	0
ENSONIG00000000250	0	0	1
ENSONIG00000000251	3	2	30
ENSONIG00000000252	0	0	0
ENSONIG00000000255	0	0	2
ENSONIG00000000256	16	17	53
ENSONIG00000000257	0	0	0
ENSONIG00000000258	0	0	1
ENSONIG00000000259	2	2	26
ENSONIG00000000260	0	0	3
ENSONIG00000000261	2	2	40
ENSONIG00000000262	18	9	21
ENSONIG00000000263	0	2	200
ENSONIG00000000264	81	3	2
ENSONIG00000000265	0	0	0
ENSONIG00000000266	2	0	33
ENSONIG00000000267	14	2	31
ENSONIG00000000268	11	3	33
ENSONIG00000000272	7	2	6
ENSONIG00000000273	1	0	2
ENSONIG00000000274	6	5	18
ENSONIG00000000277	5	1	34
ENSONIG00000000278	3	5	13
ENSONIG00000000280	0	0	0
ENSONIG00000000281	0	5	50
ENSONIG00000000283	0	0	9
ENSONIG00000000284	2	0	12
ENSONIG00000000285	8	4	24
ENSONIG00000000286	0	0	1
ENSONIG00000000287	2	1	10
ENSONIG00000000289	3	0	2
ENSONIG00000000290	2	4	20
ENSONIG00000000292	0	1	0
ENSONIG00000000293	4	7	72
ENSONIG00000000294	12	7	31
ENSONIG00000000297	0	0	1
ENSONIG00000000298	11	4	54
ENSONIG00000000299	0	2	3
ENSONIG00000000300	2	0	19
ENSONIG00000000301	0	0	0
ENSONIG00000000302	0	0	2
ENSONIG00000000303	0	0	1
ENSONIG00000000304	4	2	13
ENSONIG00000000305	2	11	122
ENSONIG00000000306	0	0	6
ENSONIG00000000307	1	0	3
ENSONIG00000000308	3	0	5
ENSONIG00000000310	6	0	51
ENSONIG00000000311	0	1	2
ENSONIG00000000315	5	5	21
ENSONIG00000000317	2	0	0
ENSONIG00000000323	0	0	0
ENSONIG00000000326	0	3	35
ENSONIG00000000328	0	0	0
ENSONIG00000000334	0	0	8
ENSONIG00000000337	11	3	21
ENSONIG00000000339	0	0	0
ENSONIG00000000342	0	0	0
ENSONIG00000000343	0	0	0
ENSONIG00000000344	1	1	13
ENSONIG00000000345	0	0	0
ENSONIG00000000346	0	0	5
ENSONIG00000000347	6	0	2
ENSONIG00000000348	1	2	3
ENSONIG00000000349	1	0	10
ENSONIG00000000351	1	0	0
ENSONIG00000000352	16	0	0
ENSONIG00000000353	0	1	2
ENSONIG00000000354	1	0	33
ENSONIG00000000355	2	1	16
ENSONIG00000000357	0	1	36
ENSONIG00000000358	0	1	2
ENSONIG00000000360	1	1	8
ENSONIG00000000365	0	4	2
ENSONIG00000000367	0	0	1
ENSONIG00000000368	1	0	4
ENSONIG00000000369	2	4	12
ENSONIG00000000370	0	1	20
ENSONIG00000000371	1	3	25
ENSONIG00000000372	4	4	10
ENSONIG00000000373	1	2	0
ENSONIG00000000375	0	0	5
ENSONIG00000000376	1	2	29
ENSONIG00000000377	5	5	49
ENSONIG00000000378	1	0	6
ENSONIG00000000379	6	1	34
ENSONIG00000000380	0	0	0
ENSONIG00000000381	3	0	10
ENSONIG00000000383	0	0	2
ENSONIG00000000384	2	0	0
ENSONIG00000000385	0	3	3
ENSONIG00000000386	12	3	60
ENSONIG00000000387	4	2	13
ENSONIG00000000388	0	4	18
ENSONIG00000000389	9	16	91
ENSONIG00000000390	4	1	134
ENSONIG00000000392	0	0	0
ENSONIG00000000393	2	1	11
ENSONIG00000000395	3	2	9
ENSONIG00000000396	15	8	2
ENSONIG00000000397	8	12	29
ENSONIG00000000398	3	20	25
ENSONIG00000000399	2	1	8
ENSONIG00000000400	2	1	5
ENSONIG00000000401	3	4	45
ENSONIG00000000402	5	3	40
ENSONIG00000000403	0	0	2
ENSONIG00000000404	0	0	7
ENSONIG00000000405	2	2	37
ENSONIG00000000407	1	4	68
ENSONIG00000000408	0	8	4
ENSONIG00000000409	0	0	0
ENSONIG00000000410	0	0	0
ENSONIG00000000411	1	0	10
ENSONIG00000000412	0	0	0
ENSONIG00000000415	0	0	1
ENSONIG00000000416	11	0	68
ENSONIG00000000417	0	0	0
ENSONIG00000000418	1	0	11
ENSONIG00000000419	3	0	0
ENSONIG00000000420	0	1	11
ENSONIG00000000421	2	7	232
ENSONIG00000000422	1	1	2
ENSONIG00000000423	3	14	21
ENSONIG00000000424	3	0	10
ENSONIG00000000426	4	1	47
ENSONIG00000000427	0	0	0
ENSONIG00000000428	1	1	25
ENSONIG00000000429	0	0	0
ENSONIG00000000430	2	0	20
ENSONIG00000000431	3	4	4
ENSONIG00000000433	33	11	3
ENSONIG00000000434	13	6	77
ENSONIG00000000435	1	17	1213
ENSONIG00000000436	0	1	10
ENSONIG00000000437	0	0	9
ENSONIG00000000438	0	4	52
ENSONIG00000000440	0	0	0
